계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
2024070002100,물품,영주고등학교 실습 기자재 CAM프로그램 및 응용소프트웨어 구입,2024-07-02,65340000,경상북도교육청 영주고등학교,영주고등학교,9290089,고등학교,제주특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240700402_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070004170,물품,경기물류고등학교 MS프로그램 연간 라이선스 구입 계약,2024-07-01,5101780,경기도교육청 경기물류고등학교,경기물류고등학교,7530945,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407008A9_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070004839,물품,2024학년도 AI 원서 동화 읽기 온라인 프로그램(텐스토리) 구입 계약,2024-07-01,1700000,대구광역시남부교육청 대구용전초등학교,대구용전초등학교,7271096,초등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407009F2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070005347,물품,평택여자고등학교 MS Office 소프트웨어(MS OVS-ES) 연간 라이선스 구입 계약,2024-07-02,4620000,경기도교육청 평택여자고등학교,평택여자고등학교,7530578,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240700B31_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070005590,물품,전문교과교구및기자재지원관련 소프트웨어 라이센스 구입 건,2024-07-01,7680000,경기도교육청 안산디자인문화고등학교,안산디자인문화고등학교,7530991,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240700BC6_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070024822,물품,동탄중학교 인공지능과 미래사회 정보교과 수업재료 구입,2024-07-02,4257000,경기도화성교육청 동탄중학교,동탄중학교,7679105,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240701874_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070024921,물품,2024년 정품소프트웨어(MS제품군) 1년 사용 계약,2024-07-02,6545000,경기도교육청 성남테크노과학고등학교,성남테크노과학고등학교,7531256,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407018AE_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070045646,물품,AI코스웨어 및 에듀테크 구입,2024-07-03,34765100,인천광역시교육청 인평자동차고등학교,인평자동차고등학교,7310479,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407022A1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070046157,물품,2024년 일동고등학교 직업계학과 실험실습기자재(응용소프트웨어 MS OVS-ES) 구매 계약,2024-07-03,4042500,경기도교육청 일동고등학교,일동고등학교,7530790,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407023E9_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070047183,물품,율목초 코딩드론 교구 구입 계약,2024-07-04,5474600,경기도교육청 경기도안양과천교육지원청 과천율목초등학교,과천율목초등학교,7569216,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240702627_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070071555,물품,2024학년도 디지털기반 교육혁신 선도학교 AI 기반 미술 키트 구매 계약,2024-07-05,9100000,경기도교육청 경기도시흥교육지원청 시흥능곡초등학교,시흥능곡초등학교,7781101,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240703550_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070071895,물품,부산항공고 기계전공동아리 실험실습 소프트웨어 기자재 구입 소액수의 견적 공고(catia V5),2024-07-05,16060000,부산광역시교육청 부산항공고등학교,부산항공고등학교,7150737,고등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240703613_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070072073,물품,2024학년도 디지털 선도학교 AI코스웨어 프로그램(마타수학) 이용 계약,2024-07-04,18810000,광주광역시서부교육청 진월초등학교,진월초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024070367A_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070072170,물품,디지털 기반 수학교육 지원 AI코스웨어(3-6학년) 구입,2024-07-05,9504000,충청남도교육청 충청남도천안교육지원청 천안봉명초등학교,천안봉명초등학교,8151073,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407036A8_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070073800,물품,2024학년 2분기 방과후학교 재료(코딩로봇) 구매 계약,2024-06-28,1205000,경기도용인교육청 토월초등학교,토월초등학교,7751118,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240703A65_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070073838,물품,2024년 AI 디지털교과서 활성화 지원 프로그램  구입(투닝 학교 Pro 라이선스 이용료),2024-07-08,20580000,충청남도교육청 설화고등학교,설화고등학교,8140266,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240703A74_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070074514,물품,Adobe Plus 라이선스 패키지 구입,2024-07-05,6959700,인천광역시교육청 한국주얼리고등학교,한국주얼리고등학교,7310454,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240703C00_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070096952,물품,2024학년도 교육정보부 MS오피스 라이선스 연간계약,2024-07-08,4235000,경기도교육청 청평고등학교,청평고등학교,7530944,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240704643_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070097421,물품,2024학년도 AI소프트웨어 중심학교(구축교) 환경개선 물품 구입(라운드형테이블 외),2024-07-08,8289000,인천광역시교육청 인천중산고등학교,인천중산고등학교,7310562,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240704766_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070097720,물품,2024학년도 특성화고 SW·AI 교육 강화사업 및 반도체 분야 특성화고 계약학과 홍보 물품 구입,2024-07-05,4567500,경기도교육청 세경고등학교,세경고등학교,7530947,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240704803_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070097829,물품,2024학년도 AI소프트웨어 중심학교(구축교) 환경개선 물품 구입(전자칠판 외),2024-07-08,10995200,인천광역시교육청 인천중산고등학교,인천중산고등학교,7310562,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240704829_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070102514,물품,2024년 기계과 캠소프트웨어 및 cnc시뮬레이터 소액수의,2024-07-08,57701900,전북특별자치도교육청 전주공업고등학교,전주공업고등학교,8321088,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240704F03_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070102678,물품,화홍중학교 소프트웨어(Adobe)구입,2024-07-08,2319900,경기도수원교육청 화홍중학교,화홍중학교,7541047,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240704F53_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070103550,물품,NCS기반 실험실습기자재 응용소프트웨어 구입,2024-07-09,25025000,경상북도교육청 문경공업고등학교,문경공업고등학교,8750246,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024070515B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070143599,물품,순천고등학교 AI교실 비품(우드슬랩 3인용책상) 주문제작,2024-07-09,20845440,전라남도교육청 순천고등학교,순천고등학교,7140307,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240706721_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070146289,물품,인공지능 융합 학습공간 조성 물품 구입,2024-07-09,19250000,서울특별시강남교육청 수서중학교,수서중학교,7091435,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024070697B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070150403,물품,한국도예고 소프트웨어(MS OVS-ES) 구입 계약,2024-07-11,2598750,경기도교육청 한국도예고등학교,한국도예고등학교,7530559,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240706CDE_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070177569,물품,"부평초 AI정보교육중심학교 AI특화프로그램 SW교구 구입(비누로봇, 카미봇파이, 엠봇2)",2024-07-10,19630000,경기도교육청 경기도구리남양주교육청 부평초등학교,부평초등학교,7652237,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240707271_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070182667,물품,분당경영고등학교 2024학년도 응용소프트웨어(Adobe STO 제품군) 구입 계약,2024-07-10,8250000,경기도교육청 분당경영고등학교,분당경영고등학교,7531114,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407076AC_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070183719,물품,2024학년도 남양주다산초 방과후학교 2분기 코딩A 재료 구입,2024-07-10,1725000,경기도교육청 경기도구리남양주교육지원청 남양주다산초등학교,남양주다산초등학교,7652294,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202407077CE_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024070213193,물품,경민여자중학교 하이러닝운영 에듀테크 프로그램 구입,2024-07-15,1515000,경기도의정부교육청 경민여자중학교,경민여자중학교,7561004,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024070835B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
