"과학고·특성화고 에듀테크 활용사례 DB (2023.1~2026.7, 웹 공개자료 기반)",,,,,,,,,,,
,,,,,,,,,,,
연번,학교명,학교유형,지역,제품/서비스명,제품 카테고리,활용 시기,활용 내용,출처 유형,출처 URL,신뢰도,비고
1,서울과학고등학교,영재학교,서울,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),R&E·탐구보고서 표절 검사용 학교 전용 서비스 운영,학교 전용 플랫폼,https://sshs.copykiller.com/,상,학교 전용 인스턴스 직접 확인
2,경기과학고등학교,영재학교,경기 수원,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),과제·연구보고서 표절검사용 학교 전용 서비스 운영,학교 전용 플랫폼,https://gsh.copykiller.com/signup,상,
3,경기과학고등학교,영재학교,경기 수원,교육부 영재학교·과학고 SW-AI 교육지원사업,AI/SW 교육 인프라·사업,2023,"SW·AI 교육지원사업 대상교 선정, SW·AI 교육 운영",언론보도,https://www.eduyonhap.com/m/page/view.php?no=69742,중,"구체 제품명 미공개 / 검증(2026.7.17): 사이트 접속 불가, 기사 제목만 검색으로 확인"
4,광주과학고등학교,영재학교,광주,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),연구·과제물 표절검사용 학교 전용 서비스 운영,학교 전용 플랫폼,https://gsa.copykiller.com/,상,
5,한국과학영재학교(KSA),영재학교,부산,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),R&E·졸업연구 보고서 표절검사용 전용 서비스 운영,학교 전용 플랫폼,https://ksa.copykiller.com/,상,
6,영재학교 8개교 공동(KSA 등),영재학교,전국,KAIST 공동AP 학사관리시스템,학사관리·LMS,2024학년도~,영재학교 공동 AP(대학과목선이수제) 수강·성적 온라인 관리,공식 시스템,https://apgifted.kaist.ac.kr/,상,온라인AP 브릿지(onlineap.kaist.ac.kr) 병행
7,세종과학예술영재학교,영재학교,세종,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),학교 전용 표절검사 서비스 운영,학교 전용 플랫폼,https://sasa.copykiller.com/,상,
8,세종과학예술영재학교,영재학교,세종,마이크로비트·블록코딩·텍스트코딩,코딩 교구·SW,2025.10,세종시교육청 주최 학교연합 AI융합캠프(개최 장소: 세종과학예술영재학교)에서 공공데이터 활용 AI 프로젝트 수업,언론보도,https://www.sjsori.com/news/articleView.html?idxno=82082,중,검증(2026.7.17): 최초 기재 URL 오류 → 세종의소리 기사로 교정
9,세종과학고등학교,과학고,서울,리로스쿨(riroschool),진로진학·학생관리 플랫폼,상시 운영(2026.7 확인),진로진학 상담·과제·학생부 관리 플랫폼 운영,학교 전용 플랫폼,https://sjsh.riroschool.kr/,상,타 과학고(경기북과학고 등)도 사용 정황
10,대전동신과학고등학교,과학고,대전,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,운영 중(2026.7 확인),학교 전용 표절검사 서비스 운영,학교 전용 플랫폼,https://ddshs.copykiller.com/,상,
11,대전동신과학고등학교,과학고,대전,교보문고 전자도서관,전자책·디지털도서관,운영 중(2026.7 확인),학교 전용 전자도서관으로 전자책 대출·독서교육,학교 전용 플랫폼,https://ddsciencehs.dkyobobook.co.kr/,상,
12,부산일과학고등학교,과학고,부산,AI 교육센터(딥러닝 GPU 서버 등),AI 교육 인프라,2024.3 개소,"교육부 영재학교·과학고 SW·AI 교육지원사업(2023 선정)으로 구축, 빅데이터·머신러닝·컴퓨터비전·IoT 실습",언론보도,https://m.localsegye.co.kr/news/view/1065573182058109,중,
13,창원과학고등학교,과학고,경남 창원,아이톡톡(경남교육청),AI 교수학습 플랫폼,2024,아이톡톡 활용 수업 혁신모델·AI 기반 미래형 수업 개발(2024 올해의 과학교사상 수상 교사),언론보도,https://www.gnnews.co.kr/news/articleView.html?idxno=601493,중,경남교육청 공공 플랫폼
14,창원과학고등학교,과학고,경남 창원,생성형 AI 도구(제품명 미공개),생성형 AI 활용 교육,"선정 2025.6, 운영 2025.7~2026.2","경남교육청 미래교육 혁신모델 사업 선정, 학생 주도 융합콘텐츠 제작·생성형 AI 활용 교육",언론보도,https://www.gnnews.co.kr/news/articleView.html?idxno=611529,중,교당 3천만원 지원
15,부산과학고·부산일과학고,과학고,부산,학생 자체개발 AI·SW(파이썬 등),SW·AI 프로젝트 교육,2025.8,"전교생 참여 IT축제에서 AI 분석 쓰레기통, 화재감지 센서, 음성인식 챗봇 등 학생 개발 결과물 전시",언론보도,https://www.busan.com/view/busan/view.php?code=2025081817221617246,중,상용 제품 아닌 자체 개발 활동
16,대구소프트웨어마이스터고등학교,마이스터고,대구,구름EDU(goorm EDU),코딩교육 LMS(클라우드 IDE),2023~2026 운영 중,"학교 전용 채널에서 C·파이썬·DB·웹프로그래밍·코딩테스트 등 19개 클래스 운영, 신입생 비포스쿨 포함",학교 전용 플랫폼,https://dgsw.goorm.io/,상,IT계열
17,부산소프트웨어마이스터고등학교,마이스터고,부산,구름EDU(goorm EDU),코딩교육 LMS(클라우드 IDE),2023~2026 운영 중,학교 전용 채널에서 알고리즘 대회·C/C++·JS/React·리눅스·Git 등 17개 클래스 운영,학교 전용 플랫폼,https://bssm21-hs.goorm.io/,상,IT계열
18,인천전자마이스터고등학교,마이스터고,인천,구름EDU(goorm EDU),코딩교육 LMS(클라우드 IDE),운영 중(2026.7 확인),학교 전용 구름EDU 환경에서 프로그래밍 실습,학교 전용 플랫폼,https://intec-hs.goorm.io/,상,공업계(전자·SW)
19,부산소프트웨어마이스터고등학교,마이스터고,부산,패들렛(Padlet),협업·제작 도구,2026.5 MOU,"패들렛과 MOU — 현장체험·멘토링·에듀테크 동향 공유, 본사 인턴십·취업 연계",언론보도,https://www.gukjenews.com/news/articleView.html?idxno=3592111,중,IT계열
20,대덕소프트웨어마이스터고등학교,마이스터고,대전,"자체 개발 SW(야간자율학습 출석·외출증 관리 'PICK', 입학전형 'ENTRY' 등)",자체 개발 학사지원 SW,2023,"학생 개발 프로그램을 야자 출석·외출증 관리와 입학전형에 실사용, KAIST SW교육센터 멘토링",언론보도,https://www.etnews.com/20230623000211,중,IT계열
