검색어 19종 × 회계연도 4개 = 76조합
[에듀테크 2023] 1페이지까지 · 누적 1건 (요청 2회)
[에듀테크 2024] 4페이지까지 · 누적 31건 (요청 36회)
[에듀테크 2025] 5페이지까지 · 누적 79건 (요청 89회)
[에듀테크 2026] 4페이지까지 · 누적 108건 (요청 122회)
[코스웨어 2023] 1페이지까지 · 누적 108건 (요청 123회)
[코스웨어 2024] 7페이지까지 · 누적 175건 (요청 197회)
[코스웨어 2025] 4페이지까지 · 누적 204건 (요청 230회)
[코스웨어 2026] 1페이지까지 · 누적 211건 (요청 238회)
  재시도(<urlopen error [Errno 8] nodename nor servname provided, or not known>) → 5초
  재시도(<urlopen error [Errno 8] nodename nor servname provided, or not known>) → 20초
  재시도(<urlopen error [Errno 8] nodename nor servname provided, or not known>) → 60초
[인공지능 2023] 10페이지까지 · 누적 296건 (요청 333회)
[인공지능 2024] 5페이지까지 · 누적 336건 (요청 378회)
[인공지능 2025] 5페이지까지 · 누적 376건 (요청 423회)
[인공지능 2026] 1페이지까지 · 누적 381건 (요청 429회)
[소프트웨어 2023] 5페이지까지 · 누적 426건 (요청 479회)
[소프트웨어 2024] 5페이지까지 · 누적 462건 (요청 520회)
[소프트웨어 2025] 6페이지까지 · 누적 510건 (요청 574회)
[소프트웨어 2026] 6페이지까지 · 누적 556건 (요청 626회)
[라이선스 2023] 1페이지까지 · 누적 559건 (요청 630회)
[라이선스 2024] 1페이지까지 · 누적 562건 (요청 634회)
[라이선스 2025] 2페이지까지 · 누적 570건 (요청 644회)
[라이선스 2026] 1페이지까지 · 누적 574건 (요청 649회)
[라이센스 2023] 1페이지까지 · 누적 579건 (요청 655회)
[라이센스 2024] 2페이지까지 · 누적 588건 (요청 666회)
[라이센스 2025] 2페이지까지 · 누적 591건 (요청 671회)
[라이센스 2026] 1페이지까지 · 누적 596건 (요청 677회)
[구독 2023] 2페이지까지 · 누적 611건 (요청 694회)
[구독 2024] 5페이지까지 · 누적 637건 (요청 725회)
[구독 2025] 11페이지까지 · 누적 731건 (요청 830회)
[구독 2026] 5페이지까지 · 누적 766건 (요청 870회)
[플랫폼 2023] 2페이지까지 · 누적 777건 (요청 883회)
[플랫폼 2024] 2페이지까지 · 누적 785건 (요청 893회)
[플랫폼 2025] 2페이지까지 · 누적 789건 (요청 899회)
[플랫폼 2026] 1페이지까지 · 누적 794건 (요청 905회)
[GPT 2023] 1페이지까지 · 누적 795건 (요청 907회)
[GPT 2024] 2페이지까지 · 누적 803건 (요청 917회)
[GPT 2025] 3페이지까지 · 누적 811건 (요청 928회)
[GPT 2026] 1페이지까지 · 누적 812건 (요청 930회)
[어도비 2023] 1페이지까지 · 누적 812건 (요청 931회)
[어도비 2024] 1페이지까지 · 누적 812건 (요청 932회)
[어도비 2025] 1페이지까지 · 누적 813건 (요청 934회)
[어도비 2026] 1페이지까지 · 누적 813건 (요청 935회)
[디지털교과서 2023] 1페이지까지 · 누적 813건 (요청 936회)
[디지털교과서 2024] 1페이지까지 · 누적 813건 (요청 937회)
[디지털교과서 2025] 8페이지까지 · 누적 848건 (요청 980회)
[디지털교과서 2026] 1페이지까지 · 누적 848건 (요청 981회)
[교육자료 2023] 3페이지까지 · 누적 871건 (요청 1007회)
[교육자료 2024] 2페이지까지 · 누적 889건 (요청 1027회)
[교육자료 2025] 4페이지까지 · 누적 911건 (요청 1053회)
[교육자료 2026] 2페이지까지 · 누적 919건 (요청 1063회)
[챗봇 2023] 1페이지까지 · 누적 919건 (요청 1064회)
[챗봇 2024] 1페이지까지 · 누적 919건 (요청 1065회)
[챗봇 2025] 1페이지까지 · 누적 919건 (요청 1066회)
[챗봇 2026] 1페이지까지 · 누적 920건 (요청 1068회)
[메타버스 2023] 1페이지까지 · 누적 925건 (요청 1074회)
[메타버스 2024] 1페이지까지 · 누적 928건 (요청 1078회)
[메타버스 2025] 1페이지까지 · 누적 930건 (요청 1081회)
[메타버스 2026] 1페이지까지 · 누적 931건 (요청 1083회)
[코딩 2023] 6페이지까지 · 누적 978건 (요청 1136회)
[코딩 2024] 4페이지까지 · 누적 1010건 (요청 1172회)
[코딩 2025] 7페이지까지 · 누적 1066건 (요청 1235회)
[코딩 2026] 2페이지까지 · 누적 1079건 (요청 1250회)
[AIDT 2023] 1페이지까지 · 누적 1079건 (요청 1251회)
[AIDT 2024] 6페이지까지 · 누적 1115건 (요청 1293회)
[AIDT 2025] 3페이지까지 · 누적 1118건 (요청 1299회)
[AIDT 2026] 1페이지까지 · 누적 1119건 (요청 1301회)
[클래스팅 2023] 1페이지까지 · 누적 1119건 (요청 1302회)
[클래스팅 2024] 1페이지까지 · 누적 1119건 (요청 1303회)
[클래스팅 2025] 1페이지까지 · 누적 1119건 (요청 1304회)
[클래스팅 2026] 1페이지까지 · 누적 1119건 (요청 1305회)
[패들렛 2023] 1페이지까지 · 누적 1119건 (요청 1306회)
[패들렛 2024] 2페이지까지 · 누적 1123건 (요청 1312회)
[패들렛 2025] 1페이지까지 · 누적 1126건 (요청 1316회)
[패들렛 2026] 2페이지까지 · 누적 1126건 (요청 1318회)
[캔바 2023] 1페이지까지 · 누적 1126건 (요청 1319회)
[캔바 2024] 1페이지까지 · 누적 1126건 (요청 1320회)
[캔바 2025] 1페이지까지 · 누적 1126건 (요청 1321회)
[캔바 2026] 1페이지까지 · 누적 1126건 (요청 1322회)

완료 — 요청 1322회, 학교 계약 1126건 → dje_candidates.csv
