계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
대전-a3042faa194b,물품,교수학습혁신 연구학교 교과 에듀테크 교육콘텐츠(리로스쿨) 사용,2025-02-10,4356000,대전광역시교육청 서대전고등학교,서대전고등학교,주식회사 리로소프트,7430059,고등학교,대전광역시,
대전-646bdc7f8ad3,물품,교원 역량강화 에듀테크(패들렛) 구입비 지급,2025-02-07,2685000,대전광역시교육청 와동초등학교,와동초등학교,(주)아이스크림미디어,7441115,초등학교,대전광역시,
대전-6577bf185c55,물품,교수학습혁신 연구학교 교과 에듀테크 교육콘텐츠(플로우) 구독 사용,2025-01-31,3854400,대전광역시교육청 서대전고등학교,서대전고등학교,마드라스체크 주식회사,7430059,고등학교,대전광역시,
대전-1662a9b3558b,물품,[2024디지털교육 선도학교] 디지털 수업 에듀테크 1HOUR 구독비 원인행위,2024-12-10,4500000,대전광역시교육청 대전경덕중학교,대전경덕중학교,주식회사 제로엑스플로우,7441266,중학교,대전광역시,
대전-f6a3e320a64a,물품,AIDT 수학과 에듀테크(매쓰튜터) 소프트웨어 구입,2024-11-27,1400000,대전광역시교육청 대전어은중학교,대전어은중학교,(주)해피에듀테크,7451040,중학교,대전광역시,
대전-dc425b061ed2,물품,[2024디지털교육 선도학교] 디지털 수업 에듀테크 클라썸구독비 원인행위,2024-11-25,1800000,대전광역시교육청 대전경덕중학교,대전경덕중학교,주식회사 클라썸,7441266,중학교,대전광역시,
대전-0fce0da04f4c,물품,에듀테크 구입(ChatGPT),2024-11-12,1249600,대전광역시교육청 대전둔원고등학교,대전둔원고등학교,티처몰,7430142,고등학교,대전광역시,
대전-be574ea5a0c2,물품,2024년 AIDT 운영을 위한 에듀테크 사용권 구입,2024-11-07,1496000,대전광역시교육청 대전대성여자중학교,대전대성여자중학교,(주)청운정보,7441263,중학교,대전광역시,
대전-e030b5267e2b,물품,AIDT 준비학교 운영 에듀테크 구입,2024-10-31,1480000,대전광역시교육청 회덕초등학교,회덕초등학교,(주)아이스크림미디어,7441117,초등학교,대전광역시,
대전-2e491f5d14be,물품,[디지털 선도학교 및 AI*SW 교구지원] 에듀테크 교구 구입비 지급,2024-10-30,2092700,대전광역시교육청 대전가양중학교,대전가양중학교,엘리펀,7441012,중학교,대전광역시,
대전-b89bfd7a2d88,물품,2024년 영어과 AIDT 준비학교 운영을 위한 에듀테크 구독,2024-10-25,2400000,대전광역시교육청 대전도시과학고등학교,대전도시과학고등학교,주식회사 제로엑스플로우,7430351,고등학교,대전광역시,
대전-29a8a6df0bb5,물품,AIDT 활용 역량 강화를 위한 에듀테크 디지털 도구( 패들렛 플래티넘) 구입...,2024-10-21,1400000,대전광역시교육청 유성초등학교,유성초등학교,레이블랑,7451122,초등학교,대전광역시,
대전-458c87a4292f,물품,에듀테크 구입(패들렛),2024-10-17,1350000,대전광역시교육청 대전둔원고등학교,대전둔원고등학교,티처몰,7430142,고등학교,대전광역시,
대전-08450304da8b,물품,2024학년도 디지털교육 선도학교 운영을 위한 에듀테크 프로그램 구독료  ...,2024-07-12,2726400,대전광역시교육청 청란여자중학교,청란여자중학교,테크빌교육(주),7441041,중학교,대전광역시,
대전-081cea52a31f,물품,[카드] 에듀테크 ChatGPT 구입,2024-07-02,2953600,대전광역시교육청 대전만년고등학교,대전만년고등학교,테크빌교육(주),7430035,고등학교,대전광역시,
대전-d4e0f569c8d8,물품,[2024 디지털교육 선도학교] 학생 수업활동 에듀테크 리딩앤 이용권 구입  ...,2024-06-28,4300000,대전광역시교육청 대전경덕중학교,대전경덕중학교,주식회사 아이포트폴리오,7441266,중학교,대전광역시,
대전-e3cdc43217f0,물품,[2024 교수·학습혁신 연구학교] 수학 교과 에듀테크 교육콘텐츠 구독(마타...,2024-06-05,8000000,대전광역시교육청 서대전고등학교,서대전고등학교,마타에듀 주식회사,7430059,고등학교,대전광역시,
대전-3ffb1868338a,물품,[2024 교수·학습혁신 연구학교]정보 교과 에듀테크 교육콘텐츠 구독비 품 ...,2024-05-17,7344000,대전광역시교육청 서대전고등학교,서대전고등학교,주식회사 팀모노리스,7430059,고등학교,대전광역시,
대전-5a3db858bfc9,물품,2024학년도 교수·학습 연구학교 수학교과 에듀테크 교육콘텐츠 구독(수학...,2024-05-17,9350000,대전광역시교육청 서대전고등학교,서대전고등학교,(주)튜링,7430059,고등학교,대전광역시,
대전-3142e117cf88,물품,[2024 교수·학습혁신 연구학교] 국어교과 에듀테크 교육콘텐츠 구독(키위티),2024-05-14,2100000,대전광역시교육청 서대전고등학교,서대전고등학교,주식회사 투블럭에이아이,7430059,고등학교,대전광역시,
대전-30ebca574890,물품,에듀테크 멘티미터 라이센스 구입,2024-05-13,2099300,대전광역시교육청 대전만년고등학교,대전만년고등학교,티처몰(티처빌),7430035,고등학교,대전광역시,
대전-8e2459729c16,물품,[2024 교수·학습혁신 연구학교] 외국어 교과 에듀테크 교육콘텐츠 구독(플...,2024-05-03,4000000,대전광역시교육청 서대전고등학교,서대전고등학교,주식회사 플랭,7430059,고등학교,대전광역시,
대전-0a0b46b5bc53,물품,에듀테크 기반 미래형수업지원을 위한 패들렛 구입비 지급,2024-04-22,2645930,대전광역시교육청 대전호수초등학교,대전호수초등학교,패들렛(padlet),7451340,초등학교,대전광역시,
대전-71750de08698,물품,스마트교육 연구학교 운영을 위한 에듀테크 소프트웨어 구입,2024-04-11,3386700,대전광역시교육청 대전둔산중학교,대전둔산중학교,티처몰,7451026,중학교,대전광역시,
대전-d33bd29d9940,물품,[2024 디지털교육 선도학교] 수업용 에듀테크 구독료 원인행위,2024-03-25,2169500,대전광역시교육청 대전경덕중학교,대전경덕중학교,테크빌교육(티처몰),7441266,중학교,대전광역시,
대전-033eab246b50,물품,[2025 디지털 기반 학생 맞춤교육 선도학교] 에듀테크 교육콘텐츠 구독비(DBpia),2026-02-27,1010000,대전광역시교육청 서대전고등학교,서대전고등학교,(주)누리미디어,7430059,고등학교,대전광역시,
대전-116b1ecb6197,물품,[원인] 대전중앙고등학교 AI 및 에듀테크 활용 태블릿 터치패드 키보드 케이스 구입,2026-02-12,17264400,대전광역시교육청 대전중앙고등학교,대전중앙고등학교,주식회사 디앤티,7430052,고등학교,대전광역시,
대전-227e2f71e3e3,물품,2025학년도 AI 및 에듀테크 플랫폼 활용 수업 학생 에세이 자료집 제작비 지급,2026-01-14,3630000,대전광역시교육청 대전만년고등학교,대전만년고등학교,에덴문화사,7430035,고등학교,대전광역시,
대전-564988fd4f2c,물품,(학생맞춤교육)2025년 디지털 기반 학생 맞춤 교육 선도학교 에듀테크(AICE) 사용료,2025-12-05,1680000,대전광역시교육청 대전신일여자고등학교,대전신일여자고등학교,(주)한국경제신문,7430133,고등학교,대전광역시,
대전-2b8511a84f5e,물품,디지털교육 선도학교 학생용 에듀테크(ChatGPT) 구입비 지출,2025-10-13,2590000,대전광역시교육청 동방고등학교,동방고등학교,리프레쉬업,7430244,고등학교,대전광역시,
대전-f87c625c83bc,물품,2025학년도 디지털기반 미래수업 교사학습공동체 운영 에듀테크 및 AI 코스웨어 사용료,2025-10-13,1130000,대전광역시교육청 대전새여울초등학교,대전새여울초등학교,주식회사 레드포인트,7441256,초등학교,대전광역시,
대전-0976597c0644,물품,[S2B] 디지털 기반 학생 맞춤교육 에듀테크(ChatGPT 플러스 외) 구입비 지급,2025-09-22,4037000,대전광역시교육청 대덕초등학교,대덕초등학교,나이스쿨,7451063,초등학교,대전광역시,
대전-01aeec48ee30,물품,디지털교육 선도학교 학생용 에듀테크(기출탭탭) 구입비 지출,2025-09-12,1092000,대전광역시교육청 동방고등학교,동방고등학교,비상교육FC,7430244,고등학교,대전광역시,
대전-d60f5ec7e9c4,물품,"2025학년도 디지털 기반 학생 맞춤교육 선도학교 에듀테크(DBpia, DBpia AI) 구독",2025-09-03,1780000,대전광역시교육청 유성여자고등학교,유성여자고등학교,(주)누리미디어,7430064,고등학교,대전광역시,
대전-fe2099da1fbc,물품,디지털기반 학생맞춤교육 선도학교 운영을 위한 교원 에듀테크 라이선스 구입,2025-08-29,9258600,대전광역시교육청 대전도시과학고등학교,대전도시과학고등학교,주식회사 구르미교육,7430351,고등학교,대전광역시,
대전-e086cffcbb68,물품,에듀테크 라이센스 구독 연장,2025-08-27,2496000,대전광역시교육청 대전노은중학교,대전노은중학교,주식회사 구르미교육,7451020,중학교,대전광역시,
대전-b3ffd44acd0f,물품,디지털 기반 수업혁신 지원용 에듀테크(패들렛) 구독,2025-08-27,2000000,대전광역시교육청 대전관저고등학교,대전관저고등학교,(주)콥스,7430033,고등학교,대전광역시,
대전-941d20bf857e,물품,2025학년도 학생 맞춤교육 선도학교 운영을 위한 에듀테크(패들렛 외 3종) 구입,2025-07-22,2847000,대전광역시교육청 동대전초등학교,동대전초등학교,(주)에듀에이드,7441105,초등학교,대전광역시,
대전-5be130c20cae,물품,(학생맞춤교육)2025년 디지털 기반 학생 맞춤 교육 선도학교 에듀테크(AICE) 사용료,2025-07-16,1316000,대전광역시교육청 대전신일여자고등학교,대전신일여자고등학교,(주)한국경제신문,7430133,고등학교,대전광역시,
대전-4c84c9309ca4,물품,에듀테크 라이센스 구입(ChatGPT),2025-07-04,2340000,대전광역시교육청 대전노은중학교,대전노은중학교,주식회사 구르미교육,7451020,중학교,대전광역시,
대전-9bd0342a02c4,물품,2025년 AI·SW 교구 및 에듀테크(VR 콘텐츠) 구매(학교장터),2025-06-24,15029440,대전광역시교육청 대전송강중학교,대전송강중학교,주식회사 메타에듀시스,7451038,중학교,대전광역시,
대전-fb8b7cdc13bd,물품,디지털 기반 학생 맞춤교육 선도학교 운영을 위한 에듀테크 계정 구입 (챗GPT 플러스),2025-06-18,1400000,대전광역시교육청 대전새미래중학교,대전새미래중학교,티박스,7451303,중학교,대전광역시,
대전-376545caee83,물품,2025학년도 디지털 기반 미래수업 교사학습공동체 에듀테크 및 AI 코스웨어 구입비 지급(,2025-05-29,1014000,대전광역시교육청 대전복수초등학교,대전복수초등학교,티박스,7451089,초등학교,대전광역시,
대전-78d16f3f4d81,물품,[원인] 2025학년도 디지털 기반 학생 맞춤교육(학급 에듀테크) 라이선스 구입,2025-05-27,2119000,대전광역시교육청 대전목상초등학교,대전목상초등학교,(주)트라이디스,7441066,초등학교,대전광역시,
대전-ba3e6c53a20f,물품,디지털 기반 학생 맞춤교육 선도학교 운영을 위한 에듀테크 계정 구입(챗GPT 플러스),2025-05-27,2100000,대전광역시교육청 대전새미래중학교,대전새미래중학교,티박스,7451303,중학교,대전광역시,
대전-63f94fdb538b,물품,에듀테크 라이센스 구입(Padlet),2025-05-22,2025000,대전광역시교육청 대전노은중학교,대전노은중학교,테크빌교육(주),7451020,중학교,대전광역시,
대전-a99719c92645,물품,2025년 디지털 기반 학생 맞춤교육 선도학교 에듀테크 구입(리드포스쿨),2025-05-13,1510000,대전광역시교육청 유성여자고등학교,유성여자고등학교,주식회사 비주얼캠프,7430064,고등학교,대전광역시,
대전-8257fc61803d,물품,"2025학년도 디지털 기반 학생 맞춤교육 선도학교 에듀테크(DBpia, DBpia AI) 구...",2025-05-08,2099000,대전광역시교육청 유성여자고등학교,유성여자고등학교,(주)누리미디어,7430064,고등학교,대전광역시,
대전-021743f792cd,물품,에듀테크 라이센스 구입,2025-04-22,1638000,대전광역시교육청 대전노은중학교,대전노은중학교,주식회사 구르미교육,7451020,중학교,대전광역시,
대전-c8e3d3f03703,물품,에듀테크 라이센스 구입(Padlet),2025-04-11,1485000,대전광역시교육청 대전노은중학교,대전노은중학교,테크빌교육(주),7451020,중학교,대전광역시,
대전-da182dddf821,물품,에듀테크 라이센스 구입(ChatGPT외 1종),2025-04-11,4524000,대전광역시교육청 대전노은중학교,대전노은중학교,주식회사 구르미교육,7451020,중학교,대전광역시,
대전-f8621e907c60,물품,2025학년도 디지털 기반 미래수업 교사학습 공동체 에듀테크 소프트웨어  ...,2025-04-07,1350000,대전광역시교육청 대전대양초등학교,대전대양초등학교,주식회사 아이스크림미디어,7441056,초등학교,대전광역시,
대전-ad5ff9ba13d1,물품,2025학년도 1차 스마트단말기 활용 에듀테크 소프트웨어 구입,2025-04-02,1043000,대전광역시교육청 대전매봉중학교,대전매봉중학교,주식회사레드포인트,7441019,중학교,대전광역시,
대전-9f29dd1be4ea,물품,AI 디지털활용 선도학교 에듀테크(클로드 맥스 외) 구입비 지급,2026-07-15,1550000,대전광역시교육청 대덕초등학교,대덕초등학교,주안테크,7451063,초등학교,대전광역시,
대전-ca5903a16238,물품,AI 디지털활용 선도학교 에듀테크(ChatGPTI 외) 구입비 지급,2026-06-22,9604200,대전광역시교육청 대덕초등학교,대덕초등학교,주안테크,7451063,초등학교,대전광역시,
대전-cd94366a8e6e,물품,"2026학년도 에듀테크 소프트웨어 프로그램 구입(패들렛, 북크리에이터)",2026-06-04,1770000,대전광역시교육청 대전둔원중학교,대전둔원중학교,(주)에듀에이드,7451027,중학교,대전광역시,
대전-049345743a11,물품,2026학년도 AI 중점학교 운영을 위한 에듀테크 및 생성형 AI 구독비 지급,2026-05-22,3002000,대전광역시교육청 대전판암초등학교,대전판암초등학교,나이스쿨,7441101,초등학교,대전광역시,
대전-99aa21782cec,물품,AI 중점학교 운영을 위한 에듀테크(DBpia) 구입비 지급,2026-05-15,3348000,대전광역시교육청 대전도안고등학교,대전도안고등학교,(주)누리미디어,7430290,고등학교,대전광역시,
대전-ed600aeffa9f,물품,2026학년도 창의인재학교 전문적학습공동체 에듀테크SW(패들렛) 구입 원인행위,2026-05-06,1620000,대전광역시교육청 대전대신중학교,대전대신중학교,클라스온 주식회사,7451022,중학교,대전광역시,
대전-d90d98b6be97,물품,에듀테크 프로그램(패들렛) 구입,2026-04-27,1350000,대전광역시교육청 성덕중학교,성덕중학교,올댓스쿨 주식회사,7451053,중학교,대전광역시,
대전-1b4112657789,물품,(AI·디지털활용)2026년 AI·디지털활용 선도학교 에듀테크(패들렛) 사용료 지출 원인행,2026-04-24,2288000,대전광역시교육청 대전신일여자고등학교,대전신일여자고등학교,(주)구르미교육,7430133,고등학교,대전광역시,
대전-8b89567d6562,물품,2026학년도 에듀테크 기반 미래형 수업지원을 위한 패들렛 구입비 지급,2026-04-23,3584010,대전광역시교육청 대전호수초등학교,대전호수초등학교,패들렛(padlet),7451340,초등학교,대전광역시,
대전-a58d63ad53fd,물품,2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(이음AI) 구입비 지급,2026-04-22,4080000,대전광역시교육청 대전만년고등학교,대전만년고등학교,(주)화이트소프트,7430035,고등학교,대전광역시,
대전-e55729989f3d,물품,2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(이음AI_2차) 구입비,2026-04-20,1620000,대전광역시교육청 대전만년고등학교,대전만년고등학교,(주)화이트소프트,7430035,고등학교,대전광역시,
대전-84e01d2f26f5,물품,2026학년도 영어학습 팀플(TeamFluent) 운영을 위한 에듀테크 프로그램 사용료 지,2026-04-17,1660000,대전광역시교육청 청란여자중학교,청란여자중학교,주식회사 리딩게이트,7441041,중학교,대전광역시,
대전-6db55766d4b9,물품,2026년 AI·디지털 활용 선도학교 운영 에듀테크 소프트웨어 구입,2026-04-17,3070000,대전광역시교육청 대전태평중학교,대전태평중학교,위드현 에듀테크,7441030,중학교,대전광역시,
대전-a369388022e6,물품,2026년 AI·디지털 활용 선도학교 운영 에듀테크 소프트웨어 구입(패들렛 외 3종),2026-04-17,1398000,대전광역시교육청 대전태평중학교,대전태평중학교,테크빌교육,7441030,중학교,대전광역시,
대전-577bedab79e6,물품,2026학년도 AI·디지털 활용 연구학교 운영 AI 코스웨어 및 에듀테크 구입비 지출(토드,2026-04-16,12816000,대전광역시교육청 대전대신초등학교,대전대신초등학교,위드플러스,7441054,초등학교,대전광역시,
대전-ab4f6cfeb95f,물품,[카드] 2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(플랭스쿨) 구입,2026-04-08,2500000,대전광역시교육청 대전만년고등학교,대전만년고등학교,주식회사 플랭,7430035,고등학교,대전광역시,
대전-e9e3a52c562f,물품,디지털 활용 수업을 위한 AI 에듀테크 라이선스 구독료 지급,2026-04-08,5110000,대전광역시교육청 대전노은초등학교,대전노은초등학교,클라스온 주식회사,7451074,초등학교,대전광역시,
대전-b91f1e817f55,물품,[카드] 2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(ZEP) 구입비,2026-04-07,2500000,대전광역시교육청 대전만년고등학교,대전만년고등학교,주식회사 젭(ZEP),7430035,고등학교,대전광역시,
대전-e50a97c7fa0b,물품,2026학년도 AI 중점학교 에듀테크 SW 구입(GOOGLE AI PRO 9개월 구독),2026-04-03,1260000,대전광역시교육청 대전갑천중학교,대전갑천중학교,위드현 에듀테크,7451013,중학교,대전광역시,
대전-d7d2d8d89704,물품,2026학년도 AI 중점학교 에듀테크 SW 구입(CHAT GPT PLUS(GPT-5.2),2026-04-03,1260000,대전광역시교육청 대전갑천중학교,대전갑천중학교,아이티무유,7451013,중학교,대전광역시,
대전-f53a4bfcc29c,물품,2026학년도 맞춤형 영어학습 팀플 운영을 위한 디지털 에듀테크 프로그램 구입,2026-03-06,1401000,대전광역시교육청 대전새미래중학교,대전새미래중학교,티박스,7451303,중학교,대전광역시,
