제품명,공급자,분류,id
(주)교문사 고등 정보 AI 디지털 교육자료,,,696eccfe97b8176b176040c0
(주)교문사 중등 정보 AI 디지털 교육자료,,,696ec8d697b8176b176040ad
10대를 위한 데이터 과학 with 파이썬,,,6984269f7bd5ca9bd889df44
10대를 위한 데이터과학 with 엔트리,,,698424717bd5ca9bd889df1c
121종 리딩캣 패키지 명작고전/위인,,,68a4423196a5de5e42f48b8e
124종 리딩캣 패키지 전세계 수상작,,,68a4487496a5de5e42f48b9d
1gram 저작도구,,,68b67774e10f7f3e4fdb6e8a
365PLAY 학교 전인교육 솔루션,,,69a6a845b8e6b26815aa7428
3D 스팀펜,,,680997a3d0a3cd71055a8c93
56종 리딩캣 패키지 읽기창작,,,68a4414b96a5de5e42f48b86
AI 505_Body 포즈인식 로봇,,,69d704772d46b7aaee7a267a
AI 505_Face 얼굴인식 로봇,,,69d7014c2d46b7aaee7a264d
AI BMI & 악력,,,697b1095096c78cea1177211
AI CRAFT,,,697ad17f5c793e86194d3804
AI Class(AI 클래스),,,697e00da359ffe1a40a9c4d3
AI Edu Class,,,69aa919c3e9f180457dc34ff
AI Feel,,,69897af233ca3c467bb15927
AI SPEAK 2.0 영어,,,697206989ff4c52617c5bca5
AI SPEAK 2.0 한국어,,,6967367beb0770c9a00e311b
AI 과제탐구 프로그램,,,698c24e0dca5e0f3eb20e715
AI 금쪽이 스피커,,,6978428ef24923a0075abc3a
AI 나눔이,,,689456f35ee33869679fa2fc
AI 도면 탐험대 시리즈 8종 세트,,,689982e2d69dd2c77647e050
AI 레몬톡,,,68624ceada873807c1638639
AI 로봇 자동차,,,69e16db08db8e4908fe3ac0b
AI 바이브 코딩 파이드림,,,69a812bf3e9f180457dc2e12
AI 보이스_음성인식 기초,,,69d707422d46b7aaee7a2694
AI 브레인 문해력,,,6981c2f57bd5ca9bd889cfc7
AI 삐리릭,,,6899816ad69dd2c77647e044
AI 상담실 (MIND:ROOM),,,692500dd2d502605860490e9
AI 수시면접 코치,,,69dcf1032d46b7aaee7a3426
AI 스마트 놀이터 로로큐브,,,698006701890f80654fba3b4
AI 스포츠 올인원 A 1.0,,,697b0c8f096c78cea11771e5
AI 스포츠 올인원 B 1.0,,,697b0df8096c78cea11771f7
AI 아바타 코딩,,,6a5795f5f552bd176d3b2bf3
AI 에듀케어봇,,,6a17cffe5a2ee7c772402713
AI 역사 인물 인터뷰,,,69b7e9b81336c87112797506
AI 영어 지문 마스터,,,696dc74397b8176b17603fe2
AI 온북,,,689966d7a6b44535eb4b2221
AI 웹앱 서비스(마이크로비트 연동),,,698030dd178c67925cee6b26
AI 음성인식 - 푸리에 LAB [교재+SW 이용권],,,6997ef0e8b4a97fbefc05ca2
"AI 음악코딩 놀이, 허밍블럭스",,,698ec27de0048a6e2a83fc27
AI 인강학습 도우미 GPTalk(지피톡),,,69ba3b46a77899efee2552a0
AI 인공지능 바둑·오목 로봇 센스로봇 GO,,,691679ef9cac974e827c840f
AI 자리배치 클래스메트리,,,69c37a6734e49888c77d217e
AI 진로 교육,,,698329057bd5ca9bd889d921
AI 천체망원경 (베스페라),,,68076f7589080a9922af84d2
AI 초이스_최적화 실험실,,,69d708832d46b7aaee7a26a5
AI 초피티,,,6899839ed69dd2c77647e061
AI 코딩과 전통 공연,,,698598e033ca3c467bb14e0d
AI 탐봇,,,6808adf8d0a3cd71055a8c5f
AI 탐사로봇 테크노시아 행성을 재건하라,,,69806693752a317e61067fa0
AI 토리드론,,,69800365c4facce2c442ede9
AI 토핑독서,,,680749bb89080a9922af84b7
AI 펭톡,,,6976c478d198ec24b3c96b07
AI 플레도,,,688828671086cf1012ab1056
AI 한자몬,,,6960c817981cd95d142ccbf3
AICE,,,69aa83ed3e9f180457dc3494
AICE Associate,,,689c3f984294a269477e629e
AICE BASIC,,,689c3bcb4294a269477e6272
AIoT 스마트시티 만들기 (홈/팜/주차장/모빌리티등),,,688b249f5ce9ffc1219fef26
AI기반 질문생성훈련 콘텐츠,,,68a1a27ea1b50d7344e44f5e
AI로봇 아티보,,,67ed518a8f91a9e4a5725ee7
AI로봇집게,,,69b8bfaca77899efee254d1b
AI마타수학,,,68307ddd09fd0d85a1954587
AI매직포유,,,69b79cbb1336c871127973aa
AI사장님 클래스,,,6a4350dbaa50d9f07e76153e
AI스토리교실,,,69858f5d33ca3c467bb14d06
AI스포츠박스,,,697b0953096c78cea11771ad
AI이거다,,,6830749909fd0d85a1954570
AI잇플레이와 사회정서학습 [교재+키트],,,697c0b5b460d28f6bf981280
AI최적요리사 - 떡볶이 대결,,,69d70f0a2d46b7aaee7a26e3
AI클래스,,,68341a61d87c1dc60de5ac71
AI튜터,,,689ac373efa6880bd4dc4759
AI포니봇(마이크로비트 기반),,,68491db8343c149ea3c95ff8
AI학교생활기록부,,,698c2a78dca5e0f3eb20e74b
AI헬피챗,,,695f4377981cd95d142ccb00
ALC 학습분석 스테이션 v2,,,6a5f2f87b2d5b0f07d77889e
AR 핑거스토리,,,683408bcd87c1dc60de5ac54
AREX CLIMB,,,6a2bbcac2bcdfc70f75d5570
AR창의융합영어미술 아토리,,,68a8100b4e409908a93dcee1
Abled pingpong App,,,697d85126bb1f9052ab4067e
Agency Workspace,,,69ce12ab5bc27f7d82715389
Aivy(에이비) 창의 서비스 제작 플랫폼,,,69b7c4401336c87112797498
Ai영어쌤,,,6979c8e45c793e86194d34d9
Alan (Alan for Education),,,69c1eb9134e49888c77d1bf4
AllBody (AI 체력측정 & 체력향상),,,689992abd69dd2c77647e0c2
AllviA,,,69687a54eb0770c9a00e31b7
Ally Class,,,69269fad2d50260586049307
Arkain,,,697ad7165c793e86194d382a
Arpe,,,69a31656b8e6b26815aa707e
BIKO,,,697c53d80ee4b35f68df2572
CCT 진로역량검사,,,699b71bdf85a8ae0b1134cbf
CKPASS,,,68a3ceea18079bf29023c0b7
CLASSVR,,,698d5edcdca5e0f3eb20ec41
Class i,,,688c46b3c234a0247e645302
Class1234 & ClassPay,,,696fd6ac7bcaeb4e0d1dd06a
DBT(식행동 검사),,,69c0bf5434e49888c77d18f2
DIT(식생활 섭취 검사),,,69c1e94234e49888c77d1bd8
DIY 2관절 로봇암,,,689c0266547b0d35df0aac1e
DIY 무드등,,,69e16e788db8e4908fe3ac10
DIY 종이드론 교육 키트,,,6a101f2d5a2ee7c772401bd9
DIYGO 시리즈,,,6807539e89080a9922af84be
DST(식생활 스크리닝 검사),,,698c00bbdca5e0f3eb20e58b
Devth,,,697acc865c793e86194d37d8
EBS AI 단추플러스,,,69785f5ef24923a0075abcd1
EBS 교재사이트 및 EBS eBook APP 서비스,,,697b0d6e096c78cea11771eb
EBS 직업,,,69ce08b45bc27f7d82715367
EBS 진로탐색검사,,,69a90e1e3e9f180457dc2fe0
EBS 초등,,,69786178f24923a0075abce6
EBSMath,,,697737e3f24923a0075abaaa
