제품명,회사명,회사ID,출처
(주)교문사 고등 정보 AI 디지털 교육자료,(주)교문사,69687505eb0770c9a00e31b2,제품 카탈로그
(주)교문사 중등 정보 AI 디지털 교육자료,(주)교문사,69687505eb0770c9a00e31b2,제품 카탈로그
10대를 위한 데이터 과학 with 파이썬,주식회사 잇플 ITPLE,697ab0725c793e86194d36b6,제품 카탈로그
10대를 위한 데이터과학 with 엔트리,주식회사 잇플 ITPLE,697ab0725c793e86194d36b6,제품 카탈로그
121종 리딩캣 패키지 명작고전/위인,(주)아이윙티브이,689b1f0439870a52ed045be0,제품 카탈로그
124종 리딩캣 패키지 전세계 수상작,(주)아이윙티브이,689b1f0439870a52ed045be0,제품 카탈로그
1gram 저작도구,주식회사 버블콘,686cbeb940b6de56916c7a3b,제품 카탈로그
365PLAY 학교 전인교육 솔루션,한국인성교육연구소,69845374b2686ed51cb555b1,제품 카탈로그
3D 스팀펜,주식회사 제트플레이,67761f6550dfaf0bb64a0a25,제품 카탈로그
56종 리딩캣 패키지 읽기창작,(주)아이윙티브이,689b1f0439870a52ed045be0,제품 카탈로그
AI 505_Body 포즈인식 로봇,(주)교육문화,698ecf1ee0048a6e2a83fc62,제품 카탈로그
AI 505_Face 얼굴인식 로봇,(주)교육문화,698ecf1ee0048a6e2a83fc62,제품 카탈로그
AI BMI & 악력,시스트 주식회사,697ac8455c793e86194d37b9,제품 카탈로그
AI CRAFT,주식회사 단비아이엔씨,6976d19bd198ec24b3c96b79,제품 카탈로그
AI Class(AI 클래스),(주)윈테크,69798acd5c793e86194d32e8,제품 카탈로그
AI Edu Class,(주) 이노사이언스,68959c185c60e4c962322b06,제품 카탈로그
AI Feel,폭스커넥트,698184e58ce64a7c4f0f940c,제품 카탈로그
AI SPEAK 2.0 영어,(주)비상교육,695e0da852887f47ed33dd4d,제품 카탈로그
AI SPEAK 2.0 한국어,(주)비상교육,695e0da852887f47ed33dd4d,제품 카탈로그
AI 과제탐구 프로그램,주식회사 가르침에듀,6886d97c1086cf1012ab0f85,제품 카탈로그
