제품명,확인학교수,출처카탈로그
디지털교과서,181,학습지원SW
클래스팅 AI,56,기본자료
리로스쿨,29,기본자료+학습지원SW
아이스크림 홈런,16,기본자료
전자칠판,13,기본자료
[스쿨톡] 출결관리 시스템,12,기본자료
e알리미,12,기본자료
카피킬러,12,기본자료
로봇 코딩,11,학습지원SW
슈퍼스쿨,11,기본자료+학습지원SW
이음AI,11,기본자료
스쿨플랫,10,기본자료
카피킬러스쿨,10,기본자료
CLO,8,학습지원SW
AICE,8,기본자료+학습지원SW
미리캔버스,7,기본자료
퀴즈앤,7,기본자료
독서로,6,학습지원SW
OrCAD,5,학습지원SW
DBpia AI,5,학습지원SW
티솔루션,5,기본자료+학습지원SW
매쓰홀릭T,5,기본자료
AI튜터,4,기본자료
왓퀴즈,4,기본자료
원아워,4,기본자료
자작자작,4,기본자료
Meshy AI,3,학습지원SW
구름EDU,3,기본자료+학습지원SW
워드월(Wordwall),3,학습지원SW
디비피아,3,학습지원SW
타임리GPT,3,기본자료+학습지원SW
북크리에이터(Bookcreator),3,학습지원SW
기출탭탭,3,기본자료
띵커벨,3,기본자료
리딩게이트,3,기본자료
오르조 클래스,3,기본자료
코드모스,3,기본자료
하마룸,3,기본자료
SMART,2,학습지원SW
V-AMT,2,기본자료+학습지원SW
커넥트(CONNECT),2,학습지원SW
타입캐스트,2,학습지원SW
유클래스,2,기본자료+학습지원SW
AICE BASIC,2,기본자료
AI마타수학,2,기본자료
DIT(식생활 섭취 검사),2,기본자료
부커스,2,기본자료
북레일,2,기본자료
엠봇2,2,기본자료
젭 퀴즈,2,기본자료
진단수학,2,기본자료
체리 스쿨,2,기본자료
코드론 EDU,2,기본자료
코에듀,1,학습지원SW
링스쿨,1,기본자료+학습지원SW
대구학생전자도서관,1,학습지원SW
GV-CNC,1,학습지원SW
마주온,1,학습지원SW
하드보안관,1,학습지원SW
온라인 교육,1,학습지원SW
공동교육과정,1,학습지원SW
클래스카드,1,기본자료+학습지원SW
"Microsoft 365 (파워포인트, 액셀, 워드, 팀즈, 러닝 액셀러레이터, 루프등 포함)",1,학습지원SW
e-NIE,1,학습지원SW
멘티미터(Mentimeter),1,학습지원SW
Spine,1,학습지원SW
스쿨웍스,1,학습지원SW
오비스,1,학습지원SW
비트블록,1,기본자료+학습지원SW
매쓰프로,1,기본자료+학습지원SW
코딩스쿨,1,학습지원SW
오디언 오디오북,1,학습지원SW
디지털윤리,1,학습지원SW
리빙박스,1,학습지원SW
ALC 학습분석 시스템,1,학습지원SW
웨일 스페이스,1,학습지원SW
KRpia,1,학습지원SW
KISS,1,학습지원SW
니어팟(nearpod),1,학습지원SW
메타수학,1,기본자료+학습지원SW
밀크T고등,1,기본자료+학습지원SW
지능형 과학실 ON,1,학습지원SW
넷서포트 스쿨 (NetSupport School),1,학습지원SW
클래스룸.클라우드(classroom.cloud),1,학습지원SW
헬로메이플,1,기본자료+학습지원SW
아이톡톡,1,학습지원SW
CKPASS,1,기본자료
EBSi (EBS 고교강의 사이트),1,기본자료
WeToon,1,기본자료
XR쇼룸,1,기본자료
[에듀인애스크] 원어민 화상영어,1,기본자료
네오쏘코,1,기본자료
리딩앤스쿨,1,기본자료
링크원,1,기본자료
망고보드,1,기본자료
매일독서 독도,1,기본자료
몬스터T,1,기본자료
수학대왕 CLASS,1,기본자료
심스페이스,1,기본자료
아이스크림 스쿨런,1,기본자료
올리브AI,1,기본자료
지니아튜터,1,기본자료
쪼물락 코딩블록,1,기본자료
체리팟,1,기본자료
클라비,1,기본자료
토도수학,1,기본자료
토도한글,1,기본자료
페더 에듀,1,기본자료
풀리스쿨,1,기본자료
플랭스쿨,1,기본자료
현미경,1,기본자료
