제품명,영문명,공급자,구분,확인여부,등록일
inline AI,inline AI,주식회사 엘리먼츠,private_domestic,checking,2026-03-31
충남진로이력관리시스템(진로이음),,,public_including_city_province,checking,2026-06-17
(주)도서출판 성안당 교과서 교사용 자료,,,private_domestic,checking,2026-05-28
STEP(스마트 직업훈련 플랫폼),Smart Training Education Platform,,public_including_city_province,checking,2026-07-30
입시내비,ipsinavi,,private_domestic,checking,2026-05-20
Jinu e-note,Jinu e-note,,private_domestic,improvement_requested,2026-02-10
스냅툰,snaptoon,,private_domestic,confirmed,2026-07-16
ArcGIS Online,ArcGIS Online,"Esri, Inc",private_foreign,improvement_requested,2026-07-29
ChatGPT Enterprise/Edu,ChatGPT Enterprise/Edu,"OpenAIOpCo,LLC",private_foreign,improvement_requested,2026-04-14
에듀헬퍼,EduHelper,CulCher,other,checking,2026-07-29
딥코 미니,DEEPCO MINI,,private_domestic,confirmed,2026-07-23
이음클래스,ieumclass,,private_domestic,confirmed,2026-07-27
도담,DODAM,"김태영(보평고등학교), 홍창욱(경기북과학고등학교), 이지원(고양국제고등학교), 송수연(고양국제고등학교)",other,checking,2026-07-29
울산전자도서관,,,public_including_city_province,improvement_requested,2026-07-29
스마트체험도서관II,,,private_domestic,confirmed,2026-07-23
전남광주통합특별시 광주도서관(전자도서관),,,public_including_city_province,confirmed,2026-07-21
김천시립도서관 전자도서관,,,public_including_city_province,confirmed,2026-07-28
JoVE,JoVE,JoVE,private_foreign,improvement_requested,2026-06-02
스냅보드,snapboard,,private_domestic,improvement_requested,2026-07-16
쏠브릿지,SolBridge,,private_domestic,confirmed,2026-07-27
오토아이,,,private_domestic,confirmed,2026-02-24
,Playstartup,,private_domestic,confirmed,2026-02-10
에디트AI(EditAI),EditAI,,private_foreign,confirmed,2026-02-26
수리책방,mathreading,윤현준,other,confirmed,2026-07-27
지오체인지,Geo Change,최은서,other,confirmed,2026-07-23
미래엔 AI·디지털 교육자료 (고등 공통영어2),,,ai_digital_educational_materials,checking,2026-07-27
미래엔 AI·디지털 교육자료 (고등 공통영어1),,,ai_digital_educational_materials,checking,2026-07-27
미래엔 AI·디지털 교육자료 (중등 영어 1),,,ai_digital_educational_materials,checking,2026-07-27
Rakugaki AR,Rakugaki AR,Whatever Co.,private_foreign,improvement_requested,2026-05-27
울산 인공지능 맞춤형 교수학습 플랫폼(AIEP),,,public_including_city_province,improvement_requested,2026-07-25
"capella music notation software, capella audio2score pro, capella-scan, tonica fugata",,capella-software AG Germany,private_foreign,confirmed,2026-02-11
울주통합도서관 전자도서관,,,public_including_city_province,confirmed,2026-07-24
Typing.com,Typing.com,Typing.com LLC,private_foreign,confirmed,2026-03-17
술술학습대장간,SULSUL,술술학습대장간,other,confirmed,2026-07-23
자원그물맵,,최은서,other,confirmed,2026-07-23
,,,private_domestic,confirmed,2026-07-21
제주특별자치도교육청 학교도서관 전자책 서비스,,,public_including_city_province,improvement_requested,2026-06-12
전남광주 게이미피케이션 연구회,JGL,전남광주 게이미피케이션 연구회(JGL),other,confirmed,2026-07-22
비에프오제이,BFOJ,박종화,other,confirmed,2026-07-22
한지쌤 교수평기 일체화,ciar,김성은,other,confirmed,2026-07-22
광산구통합도서관 전자책 서비스,,,public_including_city_province,improvement_requested,2026-07-15
잼잼400,,,private_domestic,improvement_requested,2026-07-20
광주동구도서관 전자도서관,,,public_including_city_province,improvement_requested,2026-07-20
Steinberg,Steinberg,,private_foreign,confirmed,2026-02-25
알지?,,,private_domestic,confirmed,2026-07-15
설리번 플러스,,,private_domestic,confirmed,2026-02-11
파이온,Pyon,,private_domestic,confirmed,2026-07-15
,GDD Symphony Composer,,private_domestic,confirmed,2026-07-15
핀들,Findle,,ai_digital_educational_materials,improvement_requested,2026-07-16
선플재단 선플교육 및 봉사활동 프로그램,,,private_domestic,confirmed,2026-07-07
초록지도,,,private_domestic,confirmed,2026-07-15
민주주의 바람의 나라,,박종휘,other,confirmed,2026-07-15
생각을 키우는 과학 수업,Thought-Provoking Science Class,정영윤,other,confirmed,2026-07-15
개념도감,,정재환,other,confirmed,2026-07-15
에듀덱,edudeck,정재환,other,confirmed,2026-07-15
러닝크루,,홍성용,other,confirmed,2026-07-15
FusionSnow Suite,,,private_domestic,confirmed,2026-07-14
,,,private_domestic,improvement_requested,2026-07-15
주쇼,JooShow,,private_domestic,confirmed,2026-07-14
전문가용 대입상담프로그램,,,public_including_city_province,confirmed,2026-05-06
,,,private_domestic,confirmed,2026-07-09
키즈사랑 / 어린이통학버스 승하차알림서비스,,,private_domestic,confirmed,2026-02-06
바이브블록,VIBE BLOCK,,private_domestic,confirmed,2026-07-13
AI Lab Newton,AI Lab Newton,,private_domestic,confirmed,2026-07-13
부산전자도서관,,,public_including_city_province,confirmed,2026-07-07
전남도서관(전자도서관),,,public_including_city_province,confirmed,2026-07-07
Jigsaw Explorer,Jigsaw Explorer,"Carolina Road Media, LLC",private_foreign,confirmed,2026-04-13
,AKEO,,private_domestic,confirmed,2026-07-13
스와이프랑,SwipeLang,,private_domestic,improvement_requested,2026-07-13
VlabON,VlabON,,public_including_city_province,confirmed,2026-02-10
에코서클,Ecocircle,,private_domestic,confirmed,2026-06-18
"엔스케이프, 브이레이 외 기타","Enscape, V-Ray",,private_foreign,confirmed,2026-07-07
수학게임아카이브,MathGameArchive,윤현준,other,confirmed,2026-07-13
스쿨보드,SchoolBoard,지연호,other,confirmed,2026-07-13
꼬꼬무AI,kokomu ai,김형훈,other,confirmed,2026-07-13
,,,private_domestic,confirmed,2026-02-12
옴니핏 브레인,,,private_domestic,confirmed,2026-07-10
다깨침 학습 다문화 강의실,,,public_including_city_province,confirmed,2026-07-09
체육볶음,pe-mix,조태현,other,confirmed,2026-07-09
Ableton Live 12,,,private_foreign,confirmed,2026-07-07
PTGui,PTGui,New House Internet Services  B.V.,private_foreign,improvement_requested,2026-04-14
AI 유아돌봄 플랫폼,,,private_domestic,confirmed,2026-02-12
PureRef,PureRef,Idyllic Pixel AB,private_foreign,confirmed,2026-02-27
ProtoPie,ProtoPie,,other,improvement_requested,2026-07-08
Soundplant,Soundplant,Marcel Blum d.b.a. Soundplant.org,private_foreign,confirmed,2026-02-11
디클,dicle,한국양성평등교육진흥원,private_domestic,confirmed,2026-04-01
대구전자도서관,,,public_including_city_province,confirmed,2026-07-08
마음EASY검사,,,public_including_city_province,improvement_requested,2026-04-16
Transync AI,Transync AI,Transync AI Inc.,private_foreign,confirmed,2026-07-08
Fender Studio Pro,Fender Studio Pro,Fender Musical Instruments Corporation / SAMASOUND INC.,private_foreign,confirmed,2026-06-24
경상북도교육청전자도서관,,,public_including_city_province,confirmed,2026-07-02
issamGPT(아이쌤지피티),issamGPT,,private_domestic,confirmed,2026-01-23
과업 기반 언어교수법 적용 영어 회화 실습 시스템,TBLT-Agent,고준보,other,confirmed,2026-07-07
티처툴스,teachertools,석희철,other,confirmed,2026-07-07
외솔한국,oesol,석희철,other,confirmed,2026-07-07
D5,D5,,private_foreign,confirmed,2026-07-02
LoroTOPIK,,,private_domestic,confirmed,2026-07-07
장영실의 디지털 트윈: 하늘·비·시간을 읽다,"Jang Yeong-sil's Digital Twin: Reading the Sky, Rain, and Time",장영실의 디지털 트윈 운영팀,other,confirmed,2026-07-07
,HUMMINGo,,private_domestic,confirmed,2026-07-07
쓰다듬다,Sseudam,김희은,other,confirmed,2026-07-07
부산광역시 전자도서관,,,public_including_city_province,confirmed,2026-07-06
,,,private_domestic,confirmed,2026-01-29
『울산교육종단연구 2024』본조사 시스템,,,private_domestic,confirmed,2026-07-06
Merge,Merge,"Merge Labs, lnc.",private_foreign,confirmed,2026-07-06
강원진학지원센터,,,private_domestic,confirmed,2026-03-23
wiCuri,,,private_domestic,confirmed,2026-03-04
피지카 에이아이,PHYSICAR AI,,private_domestic,confirmed,2026-07-03
레전드 오브 바둑,Legend of Baduk,,private_domestic,confirmed,2026-07-02
렛츠고 바둑 대모험,,,private_domestic,confirmed,2026-07-02
렛츠고 창의인성 바둑스쿨,,,private_domestic,confirmed,2026-07-02
"겟지피티 (GetGPT) - AI 교육 실습, 행정 자동화, 생활기록부 작성 보조 프로그램",GetGPT,,private_domestic,confirmed,2026-06-24
전남광주통합특별시교육청 광주통합도서관,,,public_including_city_province,confirmed,2026-06-29
BTF푸른나무재단,,,private_domestic,confirmed,2026-06-30
Home Planner,Home Planner,Room Planner Ltd,private_foreign,confirmed,2026-06-02
,,,private_domestic,confirmed,2026-01-23
사람인 AI 모의면접,,,private_domestic,confirmed,2026-06-26
논술마스터,NonsulMaster,,private_domestic,confirmed,2026-06-30
Qupid AI / 중고등 AI 서비스,Qupid AI,,private_domestic,confirmed,2026-06-30
기초학습능력검사/적응행동검사/정서행동검사/자폐성장애검사,,,private_domestic,confirmed,2026-06-30
교육용 프린트 학습지,,,private_domestic,improvement_requested,2026-04-16
팩트체크 학습 플랫폼,mediadatacheck,박찬들,other,confirmed,2026-07-01
온디딤,,,public_including_city_province,confirmed,2026-02-19
,,(주)이퓨쳐,private_domestic,improvement_requested,2026-04-03
옴니핏브레인트레이닝,,,private_domestic,confirmed,2026-06-26
나의 바이브 코딩 여정,My Vive Coding Journey,조근영,other,confirmed,2026-06-30
질문이 POP하는 AI 질문나눔터,QPOP,오재경,other,confirmed,2026-06-30
뉴로피아: 깨어남의 기록,Neuropia: Chronicles of Awakening,최연석,other,confirmed,2026-06-30
교육용 게임콘텐츠,,,public_including_city_province,confirmed,2026-06-29
