태그,패턴,확인학교수,신뢰도
e알리미,e알리미,1385,높음
리딩게이트,리딩게이트,57,중간
레이저사격시스템,레이저사격시스템,36,중간
아이알리미,아이알리미,33,중간
코드모스,코드모스,33,중간
학교종이,학교종이,30,높음
학과계열선정검사,학과계열선정검사,23,높음
스쿨투게더,스쿨투게더,20,중간
매쓰홀릭T,매쓰홀릭T,19,중간
자작자작,자작자작,15,중간
기출탭탭,기출탭탭,12,중간
클래스카드,클래스카드,12,중간
그라운드(Grownd),그라운드|Grownd,11,높음
체리 스쿨,체리[\s·\-]*스쿨,9,중간
토도한글,토도한글,9,중간
지니아튜터,지니아튜터,8,중간
오르조 클래스,오르조[\s·\-]*클래스,7,중간
V-AMT,V\-AMT,6,중간
유클래스,유클래스,6,높음
초코클래스,초코클래스,6,중간
토도수학,토도수학,6,중간
플레이스타트업,플레이스타트업,6,중간
YBM 리딩팜,YBM[\s·\-]*리딩팜,5,중간
대학입학정보프로그램 유니브,대학입학정보프로그램[\s·\-]*유니브,5,높음
마음톡톡,마음톡톡,5,중간
일프로연산,일프로연산,5,중간
타임리GPT,타임리GPT,5,중간
티처콜 교원안심번호,티처콜[\s·\-]*교원안심번호,5,중간
진로이음,진로이음,4,중간
클래스싱크,클래스싱크,4,중간
리드포스쿨,리드포스쿨,3,중간
리딩앤스쿨,리딩앤스쿨,3,중간
망고보드,망고보드,3,중간
매쓰프로,매쓰프로,3,중간
멘티미터(Mentimeter),멘티미터|Mentimeter,3,중간
스쿨PT,스쿨PT,3,중간
오케스트라2,오케스트라2,3,중간
키위티-키위런,키위티\-키위런,3,중간
AI 한자몬,AI[\s·\-]*한자몬,2,중간
ALC 학습분석 시스템,ALC[\s·\-]*학습분석[\s·\-]*시스템,2,중간
XR쇼룸,XR쇼룸,2,중간
e-NIE,e\-NIE,2,중간
강원아이로,강원아이로,2,중간
네오쏘코,네오쏘코,2,중간
누리놀이,누리놀이,2,중간
몬스터T,몬스터T,2,중간
북크리에이터(Bookcreator),북크리에이터|Bookcreator,2,중간
올리브AI,올리브AI,2,중간
코드론 EDU,코드론[\s·\-]*EDU,2,중간
토도영어,토도영어,2,중간
3D 스팀펜,3D[\s·\-]*스팀펜,1,중간
AI 505_Face 얼굴인식 로봇,AI[\s·\-]*505_Face[\s·\-]*얼굴인식[\s·\-]*로봇,1,중간
AI이거다,AI이거다,1,중간
Alan (Alan for Education),Alan|Alan[\s·\-]*for[\s·\-]*Education,1,중간
CLASSVR,CLASSVR,1,중간
GV-CNC,GV\-CNC,1,중간
LCSI 성격검사,LCSI[\s·\-]*성격검사,1,중간
M-AI 코딩,M\-AI[\s·\-]*코딩,1,중간
NE_Times,NE_Times,1,중간
WeToon,WeToon,1,중간
XR스크린,XR스크린,1,중간
스쿨톡 학교전화녹음 서비스,학교전화녹음[\s·\-]*서비스,1,중간
패션디자이너 에코백 만들기 키트,에코백[\s·\-]*만들기[\s·\-]*키트,1,중간
네오봇 에듀 스마트,네오봇[\s·\-]*에듀[\s·\-]*스마트,1,중간
넷서포트 스쿨 (NetSupport School),넷서포트[\s·\-]*스쿨|NetSupport[\s·\-]*School,1,중간
따능AI,따능AI,1,중간
매일독서 독도,매일독서[\s·\-]*독도,1,중간
메가코스,메가코스,1,중간
메가클래스,메가클래스,1,중간
메타수학,메타수학,1,중간
면접의 달인,면접의[\s·\-]*달인,1,중간
바른한글,바른한글,1,중간
보다스쿨,보다스쿨,1,중간
비바부 잉글리시,비바부[\s·\-]*잉글리시,1,중간
송죽학사(GSHS),송죽학사|GSHS,1,중간
스마트 롱점프 (제자리 멀리뛰기),스마트[\s·\-]*롱점프|제자리[\s·\-]*멀리뛰기,1,중간
스마트농구,스마트농구,1,중간
스마트모빌리티키트,스마트모빌리티키트,1,중간
스쿨네이처링,스쿨네이처링,1,중간
스쿨노트,스쿨노트,1,중간
에드퍼즐(Edpuzzle),에드퍼즐|Edpuzzle,1,중간
오토아이,오토아이,1,중간
인공지능 맞춤형 교수학습 플랫폼(11개 시도교육청 공동 구축),인공지능[\s·\-]*맞춤형[\s·\-]*교수학습[\s·\-]*플랫폼|11개[\s·\-]*시도교육청[\s·\-]*공동[\s·\-]*구축,1,중간
인공지능자격증(AILC),인공지능자격증|AILC,1,중간
인마인드,인마인드,1,중간
지니어스키트 블록,지니어스키트[\s·\-]*블록,1,중간
쪼물락 코딩블록,쪼물락[\s·\-]*코딩블록,1,중간
카디오링크,카디오링크,1,중간
코드트리,코드트리,1,중간
클래스5,클래스5,1,중간
클래스룸.클라우드(classroom.cloud),클래스룸\.클라우드|classroom\.cloud,1,중간
키네마스터,키네마스터,1,중간
키드키즈,키드키즈,1,중간
타입캐스트,타입캐스트,1,중간
투게더알리미,투게더알리미,1,중간
페더 에듀,페더[\s·\-]*에듀,1,중간
플랭스쿨,플랭스쿨,1,중간
햄스터S,햄스터S,1,중간
헬로메이플,헬로메이플,1,중간
