제품명,에듀테크자료,학습지원SW
1024.kr,,○
10대를 위한 데이터과학 with 엔트리,○,
10대를 위한 데이터 과학 with 파이썬,○,
121종 리딩캣 패키지 명작고전/위인,○,
124종 리딩캣 패키지 전세계 수상작,○,
16 Personalities,,○
1gram 저작도구,○,
2차원 운동 분석,,○
365PLAY 학교 전인교육 솔루션,○,
3DWOX Desktop,,○
3D 스팀펜,○,
56종 리딩캣 패키지 읽기창작,○,
abds-1000M (단안 생물현미경),○,
Abled pingpong App,○,
Abled PingPong Robot,,○
Ableton Live 12,,○
A-City,,○
Adobe Creative Cloud All apps,,○
Agency Workspace,○,○
Agisoft Metashape / 3D모델링 및 드론항공지도(정사영상)제작,,○
AI 505_Body 포즈인식 로봇,○,○
AI 505_Face 얼굴인식 로봇,○,○
AI BMI & 악력,○,○
AICE,○,○
AICE Associate,○,
AICE BASIC,○,
AI CLASS,,○
AI Class(AI 클래스),○,
AI CRAFT,○,
aidreammap,,○
AI Edu Class,○,
aiedu.love,,○
AI Feel,○,○
AI Lab Newton,,○
AIoT 스마트시티 만들기 (홈/팜/주차장/모빌리티등),○,
"AiSAC (아이작, AI 광고창작 지원 서비스)",,○
AI SPEAK 2.0 영어,○,○
AI SPEAK 2.0 한국어,○,○
AI Tutor,,○
Aivy(에이비) 창의 서비스 제작 플랫폼,○,○
AIX-mate,,○
AI 과제탐구 프로그램,○,
AI 금쪽이 스피커,○,○
AI 기반 교육행정·수업지원 자동화 솔루션 - SmoodyAI,,○
AI 기반 영문법 문항 생성기,,○
AI기반 질문생성훈련 콘텐츠,○,
AI 나눔이,○,○
AI 도면 탐험대 시리즈 8종 세트,○,
AI 디지털 교육자료 공통수학1,,○
AI 디지털 교육자료 공통수학2,,○
AI 디지털 교육자료 공통영어1,,○
AI 디지털 교육자료 공통영어2,,○
AI 디지털 교육자료 중학 수학1,,○
AI 디지털 교육자료 중학 수학2,,○
AI 디지털 교육자료 중학 영어 1 윤정미,,○
AI 디지털 교육자료 중학 영어 1 이병민,,○
AI 디지털 교육자료 중학 영어 2 윤정미,,○
AI 디지털 교육자료 중학 영어 2 이병민,,○
AI 디지털 교육자료 중학 정보,,○
AI 디지털 교육자료 초등 수학 3-1,,○
AI 디지털 교육자료 초등 수학 3-2,,○
AI 디지털 교육자료 초등 수학 4-1,,○
