계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-4826d99e2b6d,물품,[카드]2023학년도 에듀테크 기기 관련 기자재 구입,2023-04-26,7200000,경상북도교육청 성의고등학교,성의고등학교,학교장터(S2B),8750450,고등학교,경상북도,
-046ec7cd5d7e,물품,나라장터 3자단가)에듀테크 기반 수업을 위한 크롬북 구입(엘지전자),2023-04-03,24484960,경상북도교육청 구미원당초등학교,구미원당초등학교,엘지전자(주),8801207,초등학교,경상북도,
-6461dea7e7cc,물품,"[S2B 학교장터] 2023학년도 에듀테크 기기 구입(이동식 디스플레이, AI스피커, 휴대",2023-05-31,9138780,경상북도교육청 산북초등학교,산북초등학교,금목디지털,8841040,초등학교,경상북도,
-3635d6606476,물품,(카드) 에듀테크 기반 AI·SW 미래인재 양성 교육을 위한 1차 기기구입(DJI TELL,2023-05-25,1135960,경상북도교육청 농소초등학교,농소초등학교,주식회사 더뮤,8781059,초등학교,경상북도,
-370cd91f4759,물품,(카드)에듀테크 기반 AI·SW 미래인재 양성 교육을 위한 1차 기기(메타퀘스트 프로) 구,2023-05-25,1650000,경상북도교육청 농소초등학교,농소초등학교,이투무역,8781059,초등학교,경상북도,
-2b0d9c8d10e6,물품,(카드)에듀테크 기반 AI·SW 미래인재 양성 교육을 위한 1차 기기(메타퀘스트2)구입비,2023-05-25,2629950,경상북도교육청 농소초등학교,농소초등학교,(주)컴퓨존,8781059,초등학교,경상북도,
-5f005e95b66a,물품,(카드)에듀테크 기반 AI·SW 미래인재 양성 교육을 위한 기기구입비(로보마스터TT)지급,2023-05-25,3499900,경상북도교육청 농소초등학교,농소초등학교,테크빌교육(티처몰),8781059,초등학교,경상북도,
-953716ac8017,물품,[에듀테크수업기기]-터치형 모니터 구입비(4대),2023-05-25,1156120,경상북도교육청 성희여자고등학교,성희여자고등학교,(주)마이피씨샵,8750179,고등학교,경상북도,
-3f927a33e619,물품,2023학년도 에듀테크 활용 수업 기기(홀로매직) 구입,2023-05-24,4950000,경상북도교육청 운남중학교,운남중학교,주식회사 하나로,8781116,중학교,경상북도,
-28670f908d0a,물품,에듀테크콘텐츠 라이센스구입,2023-05-24,1206585,경상북도교육청 한국해양마이스터고등학교,한국해양마이스터고등학교,padlet,8750804,고등학교,경상북도,
-d57f9357a967,물품,"에듀테크 활용 수업 기기 구입 (와콤, S2B구매)",2023-05-23,4194000,경상북도교육청 사동중학교,사동중학교,주식회사 지시피,8851089,중학교,경상북도,
-b293e9f34c66,물품,에듀테크 활용 수업 기기 구입(이동식 전자칠판),2023-05-23,3605000,경상북도교육청 사동중학교,사동중학교,주식회사 아이네트,8851089,중학교,경상북도,
-02f230f8cd4f,물품,2023학년도 에듀테크 활용 수업을 위한 디지털기기 구입 대금 지급,2023-05-19,13220000,경상북도교육청 파천초등학교,파천초등학교,주식회사 선해홀딩스,8881021,초등학교,경상북도,
-f276123b1f2c,물품,에듀테크 기기 및 교육용 콘텐츠 구입(미리캔버스 프로),2023-05-19,1752240,경상북도교육청 문명고등학교,문명고등학교,주식회사 미리디,8750170,고등학교,경상북도,
-58dc42d68049,물품,2023년 에듀테크 활용 수업 기기(미러링-유클래스) 구입,2023-05-18,3000000,경상북도교육청 월성초등학교,월성초등학교,(주)엠에이치소프트,8771100,초등학교,경상북도,
-bfd6b275865c,물품,2023학년도 에듀테크 기기 물품(드론외1종) 구입,2023-05-18,2739000,경상북도교육청 영덕여자중학교,영덕여자중학교,롯데하이마트(주)우현점,8901043,중학교,경상북도,
-85afda295177,물품,에듀테크 및 메타버스 기기 구입비 지급,2023-05-18,4136200,경상북도교육청 점촌북초등학교,점촌북초등학교,알파문경점,8841045,초등학교,경상북도,
-97a6524c3a36,물품,[S2B]에듀테크활용 수업을 위한 교육용콘텐츠(소프트웨어) 구입,2023-05-16,4505760,경상북도교육청 옥계동부초등학교,옥계동부초등학교,주식회사 미리디,8801117,초등학교,경상북도,
-d935c15cbfb2,물품,에듀테크 활용 수업 기기 구입(드론),2023-05-16,4536800,경상북도교육청 장성초등학교,장성초등학교,아임드론/드론콘텐츠교육원,8761146,초등학교,경상북도,
-433ffed79d68,물품,[S2B]에듀테크콘텐츠 라이선스구입,2023-05-15,2100000,경상북도교육청 한국해양마이스터고등학교,한국해양마이스터고등학교,(주)헬로소프트,8750804,고등학교,경상북도,
-4900fb1f6efb,물품,(G2B) 에듀테크 활용 기기 홀로그램 디스플레이 특수 주문 제작,2023-05-12,16500000,경상북도교육청 문성중학교,문성중학교,홀젼(HOLSION),8781088,중학교,경상북도,
-623bdbf1e00d,물품,[G2B중앙조달]에듀테크기기(이동식디스플레이) 구입비 지급,2023-05-11,3630000,경상북도교육청 옥계동부초등학교,옥계동부초등학교,탐투스(주),8801117,초등학교,경상북도,
-6a978c2c3996,물품,정보화 교육활동 에듀테크기기 교구 구입,2023-05-11,4224000,경상북도교육청 한국해양마이스터고등학교,한국해양마이스터고등학교,(주)쓰리디뱅크,8750804,고등학교,경상북도,
-693ea8a238c6,물품,(S2B)에듀테크 기자재 구입,2023-05-10,8283000,경상북도교육청 사곡고등학교,사곡고등학교,(주)하늘시스템,8750487,고등학교,경상북도,
