검색어 19종 × 회계연도 4개 = 76조합
[에듀테크 2023] 5페이지까지 · 누적 41건 (요청 5회)
[에듀테크 2024] 5페이지까지 · 누적 79건 (요청 10회)
[에듀테크 2025] 11페이지까지 · 누적 186건 (요청 21회)
[에듀테크 2026] 6페이지까지 · 누적 237건 (요청 27회)
[코스웨어 2023] 3페이지까지 · 누적 260건 (요청 30회)
[코스웨어 2024] 7페이지까지 · 누적 316건 (요청 37회)
[코스웨어 2025] 4페이지까지 · 누적 338건 (요청 41회)
[코스웨어 2026] 3페이지까지 · 누적 351건 (요청 44회)
[인공지능 2023] 20페이지까지 · 누적 529건 (요청 64회)
[인공지능 2024] 2페이지까지 · 누적 546건 (요청 66회)
[인공지능 2025] 2페이지까지 · 누적 563건 (요청 68회)
[인공지능 2026] 3페이지까지 · 누적 587건 (요청 71회)
[소프트웨어 2023] 12페이지까지 · 누적 658건 (요청 83회)
