계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
광주-672184b0c4e4,물품,디지털 선도학교 운영 에듀테크(리로스쿨) 라이센스 구독비,2024-01-02,3080000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-bc15d117aef7,물품,디지털 선도학교 운영 에듀테크(ALC학습분석 시스템) 기술 사용 계약,2024-02-02,26863000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-0f14fbf2ab28,물품,[g2b]디지털 선도학교 운영을 위한 에듀테크 라이센스 이용 계약 체결,2023-12-20,9997000,광주광역시교육청 하백초등학교,하백초등학교,,7392159,초등학교,전남광주통합특별시(광주),
광주-b8ba4a2d7c22,물품,(S2B)2023년 에듀테크 활용 미래놀이 공간 가상 스포츠교실 구축 공사 실시,2023-11-28,9000000,광주광역시교육청 광주효광중학교,광주효광중학교,,7402274,중학교,전남광주통합특별시(광주),
광주-dc1c59eec13a,물품,에듀테크 활용 미래놀이공간(스포츠교실)구축공사,2024-01-16,13554230,광주광역시교육청 정암초등학교,정암초등학교,,7402219,초등학교,전남광주통합특별시(광주),
광주-d5165616de7a,물품,디지털 선도학교 에듀테크 라이센스(패들넷 백팩) 소프트웨어 이용 구독 용역,2024-01-11,2100000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-5d0f54830769,물품,디지털 선도학교 운영 에듀테크 소트프웨어(Adobe CCE) 구독 서비스 이용,2023-12-01,5060000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-71287f81d938,물품,[G2B]유치원 에듀테크활용 미래놀이공간 태블릿컴퓨터 충전함(소형기기용충전기) 구입비 지급,2023-12-05,1477930,광주광역시교육청 일동초등학교,일동초등학교,,7392152,초등학교,전남광주통합특별시(광주),
광주-83ac158bc0f0,물품,[G2B]유치원 에듀테크활용 미래놀이공간 태블릿컴퓨터 구입비 지급,2023-12-05,4722360,광주광역시교육청 일동초등학교,일동초등학교,,7392152,초등학교,전남광주통합특별시(광주),
광주-5c4d8c520155,물품,[G2B]초등 에듀테크활용 미래놀이공간 멀티미디어교육용소프트웨어 구입비 지급,2023-11-06,3317820,광주광역시교육청 일동초등학교,일동초등학교,,7392152,초등학교,전남광주통합특별시(광주),
광주-9b91eb59f031,물품,에듀테크 IBT실 기자재(전자칠판) 구입비 지출(G2B),2023-10-30,6050000,광주광역시교육청 빛고을고등학교,빛고을고등학교,,7140383,고등학교,전남광주통합특별시(광주),
광주-1cfb215edd18,물품,에듀테크 IBT실 기자재(칠판보조장) 구입비 지출(G2B),2023-10-30,4400000,광주광역시교육청 빛고을고등학교,빛고을고등학교,,7140383,고등학교,전남광주통합특별시(광주),
광주-8411675c457a,물품,에듀테크 IBT실 기자재(보조칠판) 구입비 지출(G2B),2023-10-30,1300000,광주광역시교육청 빛고을고등학교,빛고을고등학교,,7140383,고등학교,전남광주통합특별시(광주),
광주-0db59adbebea,물품,자치학교 미래교육 운영을 위한 에듀테크 교구 구입,2023-10-27,2640000,광주광역시교육청 화정남초등학교,화정남초등학교,,7402192,초등학교,전남광주통합특별시(광주),
광주-dc9255225e10,물품,2023학년도 디지털 선도학교 관련 에듀테크 교보문고 전자도서관 구축 및 ebook 대여료,2023-11-13,2000000,광주광역시교육청 조선대학교부속고등학교,조선대학교부속고등학교,,7140354,고등학교,전남광주통합특별시(광주),
광주-2501e9a28630,물품,(S2B) 에듀테크(클라우드스쿨) 라이센스 구매 전자계약 체결,2023-09-19,12177000,광주광역시교육청 영천초등학교,영천초등학교,,7402241,초등학교,전남광주통합특별시(광주),
광주-3db943bad3de,물품,자치학교 미래교육 운영관련 에듀테크 활용 교육 교구 임대료,2023-09-06,3979800,광주광역시교육청 화정남초등학교,화정남초등학교,,7402192,초등학교,전남광주통합특별시(광주),
광주-f812ecd47ca9,물품,2023학년도 디지털 선도학교 관련 교직원 에듀테크 프로그램 구입비,2023-09-20,3697980,광주광역시교육청 조선대학교부속고등학교,조선대학교부속고등학교,,7140354,고등학교,전남광주통합특별시(광주),
광주-45359aca5101,물품,(S2B) 에듀테크(투닝) 플랫폼 사용권 구매,2023-09-19,6072000,광주광역시교육청 영천초등학교,영천초등학교,,7402241,초등학교,전남광주통합특별시(광주),
광주-ebfa59c11767,물품,에듀테크 자치학교 소프트웨어실 학생용 노트북 컴퓨터 구입,2023-09-18,1320000,광주광역시교육청 수문초등학교,수문초등학교,,7402247,초등학교,전남광주통합특별시(광주),
광주-f9afe6075de9,물품,[카드] 에듀테크 자치학교 인프라 구축을 위한 물품 구입,2023-06-09,8172000,광주광역시교육청 전남중학교,전남중학교,,7402294,중학교,전남광주통합특별시(광주),
광주-5378b1834300,물품,[s2b] 2023학년도 자치학교 에듀테크 교구 구입,2023-03-30,5863900,광주광역시교육청 수문초등학교,수문초등학교,,7402247,초등학교,전남광주통합특별시(광주),
광주-e3c4abf1a9b7,물품,에듀테크 교과활동지원 수업 교구 구입(S2B),2023-03-22,1125000,광주광역시교육청 빛고을고등학교,빛고을고등학교,,7140383,고등학교,전남광주통합특별시(광주),
광주-4b60ce39a25e,물품,디지털 선도학교 에듀테크 구입(페들렛),2025-01-23,3040000,광주광역시교육청 금호초등학교,금호초등학교,,7402194,초등학교,전남광주통합특별시(광주),
광주-9ecf51dd0ec9,물품,[에듀테크]정보과 에듀테크 활용을 위한 교구 구입,2024-12-23,1672000,광주광역시교육청 빛고을고등학교,빛고을고등학교,,7140383,고등학교,전남광주통합특별시(광주),
광주-27b0561289dd,물품,에듀테크를 활용한 미래놀이 공간 구축 비품(공기살균기) 구입(G2B),2024-12-23,6930000,광주광역시교육청 연제초등학교,연제초등학교,,7392157,초등학교,전남광주통합특별시(광주),
광주-85ea3e6e02bf,물품,2024학년도 고교학점제 운영을 위한 에듀테크 프로그램(chat GPT 3개월 구독권)),2024-12-09,1671000,광주광역시교육청 광주제일고등학교,광주제일고등학교,,7140323,고등학교,전남광주통합특별시(광주),
광주-b0fc3002ce79,물품,에듀테크 미래놀이공간(가상스포츠교실) 비품(소프트웨어5종) 구입(G2B),2024-11-27,16500000,광주광역시교육청 연제초등학교,연제초등학교,,7392157,초등학교,전남광주통합특별시(광주),
광주-61ce8b8c18b5,물품,에듀테크 미래놀이공간(가상스포츠교실) 비품(증강현실시스템 및 VR자전거) 구입(S2B),2024-11-27,15000000,광주광역시교육청 연제초등학교,연제초등학교,,7392157,초등학교,전남광주통합특별시(광주),
광주-b8db478ae68f,물품,에듀테크 미래놀이공간(가상스포츠교실) 비품(소프트웨어1종) 구입(G2B),2024-11-27,9900000,광주광역시교육청 연제초등학교,연제초등학교,,7392157,초등학교,전남광주통합특별시(광주),
광주-c7569042a602,물품,디지털 선도학교 운영 에듀테크 및 AI코스웨어(AI 국어 학습 튜터 레서) 이용료,2024-07-09,3120000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-f0ec29902119,물품,디지털 선도학교 운영 에듀테크 및 AI코스웨어(패들렛 플래티넘) 이용료,2024-07-04,1740000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-ea5f8eee9fc9,물품,2024 자치학교 운영 에듀테크 활용교육 실시 교구 대여금,2024-06-13,1859000,광주광역시교육청 화정남초등학교,화정남초등학교,,7402192,초등학교,전남광주통합특별시(광주),
광주-c21cf60a8992,물품,디지털 선도학교 운영 에듀테크 및 AI코스웨어(AI투닝학교) 이용료,2024-07-04,6682000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-6cadd44bf17c,물품,디지털 선도학교 운영 에듀테크 및 AI코스웨어(노크) 이용료,2024-07-04,2607000,광주광역시교육청 동일미래과학고등학교,동일미래과학고등학교,,7140390,고등학교,전남광주통합특별시(광주),
광주-5ed783f4a8a3,물품,2024년 교육용 소프트웨어(에듀테크) 구입,2024-06-19,2350000,광주광역시교육청 문화중학교,문화중학교,,7392175,중학교,전남광주통합특별시(광주),
