학교열쇠,학교명,학교급,시도,주소,등급,방법,위도,경도
7010523,광성하늘빛학교,특수학교,서울,서울특별시 송파구 올림픽로 625,G,주소변환(Nominatim),37.5358378,127.12235
7010575,교남학교,특수학교,서울,서울특별시 강서구 까치산로22길 38,G,주소변환(Nominatim),37.548377,126.8521674
7011317,금천문화예술정보학교,각종학교(고),서울,서울특별시 금천구 남부순환로126길 25,G,주소변환(Nominatim),37.4786565,126.9064674
7011096,꿈타래학교,각종학교(고),서울,서울특별시 관악구 신림로 67,G,주소변환(Nominatim),37.470695,126.9422
7011302,누리학교,특수학교,서울,서울특별시 동작구 상도로 53,G,주소변환(Nominatim),37.5005645,126.9498448
7010459,다니엘학교,특수학교,서울,서울특별시 서초구 헌릉로468길 21-16,O,OSM 같은이름(유일) · 주소변환과 0.4km,37.460424,127.0919421
7010908,리라아트고등학교,고등학교,서울,서울특별시 중구 소파로2길 ,B,공식·이름일치(주소 다름) · 주소변환과 0.1km,37.55711546,126.988252
7010460,밀알학교,특수학교,서울,서울특별시 강남구 일원로 90,G,주소변환(Nominatim),37.4857687,127.0823156
7091429,반포중학교,중학교,서울,서울특별시 서초구 신반포로 67,O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.8km,37.5030261,126.9921856
7010561,서울경운학교,특수학교,서울,서울특별시 종로구 삼일대로 454,G,주소변환(Nominatim),37.5751141,126.9867569
7010519,서울광진학교,특수학교,서울,서울특별시 광진구 강변역로 18,O,OSM 같은이름(유일) · 주소변환과 0.2km,37.5373063,127.0917626
7011483,서울나래학교,특수학교,서울,서울특별시 서초구 염곡안1길 25,O,OSM 같은이름(유일) · 주소변환과 0.2km,37.4635099,127.0517042
1342099,서울농학교,특수학교,서울,서울특별시 종로구 필운대로 103,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.5849123,126.9686585
7011320,서울다솜관광고등학교,각종학교(고),서울,서울특별시 종로구 종로58길 30,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.5719951,127.0176378
7011309,서울다원학교,특수학교,서울,서울특별시 성북구 성북로31길 5-15,G,주소변환(Nominatim),37.5941053,126.9905604
7051121,서울도봉초등학교,초등학교,서울,서울특별시 도봉구 도봉산길 27,B,공식·이름일치(주소 다름) · 주소변환과 0.9km,37.6799617514,127.038288664
7011484,서울도솔학교,특수학교,서울,"(본교) 서울특별시 도봉구 평화로15번길 9-26, (초등) 도봉산길 27",O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.0km,37.6944896,127.0424387
7010582,서울동천학교,특수학교,서울,서울특별시 노원구 노원로18길 41,O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.0km,37.6444011,127.0733772
1342098,서울맹학교,특수학교,서울,서울특별시 종로구 필운대로 97,G,주소변환(Nominatim),37.5846719,126.9674183
7021092,서울면중초등학교,초등학교,서울,서울특별시 중랑구 용마산로70길 43,O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.0km,37.5821223,127.0965428
7091386,서울반포초등학교,초등학교,서울,서울특별시 서초구 신반포로 55-4,O,OSM 같은이름(유일) · 주소변환과 0.9km,37.5028135,126.9911336
7061066,서울보광초등학교,초등학교,서울,서울특별시 용산구 우사단로 20,O,OSM 이름 변형(지역명·분교장 표기 차이) · 주소변환과 0.0km,37.5324087,126.9963271
7010565,서울산업정보학교,각종학교(고),서울,서울특별시 관악구 신림로 67,G,주소변환(Nominatim),37.470695,126.9422
7010464,서울삼성학교,특수학교,서울,서울특별시 동작구 양녕로30길 19-4,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.4991434,126.9461236
7011468,서울새롬학교,특수학교,서울,서울특별시 관악구 보라매로 44,G,주소변환(Nominatim),37.4909459,126.9273116
7011485,서울서진학교,특수학교,서울,서울특별시 강서구 양천로55길 22,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.5652924,126.8502594
7081452,서울신남초등학교,초등학교,서울,서울특별시 양천구 남부순환로83길,B,공식·이름일치(주소 다름) · 주소변환과 0.1km,37.51652866,126.8447962
7011216,서울실용음악고등학교,각종학교(고),서울,서울특별시 중구 퇴계로88가길 8,G,주소변환(Nominatim),37.5624394,127.0232485
7010465,서울애화학교,특수학교,서울,서울특별시 강북구 솔매로52길 31,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.6252147,127.0287236
7011583,서울온라인학교,각종학교(고),서울,서울특별시 성동구 왕십리로 199,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.5554492,127.042175
7091419,서울우면초등학교,초등학교,서울,서울특별시 서초구 태봉로,B,공식·이름일치(주소 다름) · 주소변환과 0.6km,37.4647104685,127.0237894
7021106,서울장평초등학교,초등학교,서울,서울특별시 동대문구 답십리로 ,B,공식·이름일치(주소 다름) · 주소변환과 0.7km,37.5739950231,127.0738909773
7010457,서울정문학교,특수학교,서울,서울특별시 관악구 난향3길 31,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.4616414,126.9164833
7010533,서울정민학교,특수학교,서울,서울특별시 노원구 공릉로58길 24,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.6338929,127.07323
7010520,서울정애학교,특수학교,서울,서울특별시 강남구 봉은사로81길 16,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.5143913,127.0543007
7010521,서울정인학교,특수학교,서울,서울특별시 강북구 인수봉로 119-20,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.630814,127.0119614
7010456,서울정진학교,특수학교,서울,서울특별시 구로구 부일로9길 158,O,OSM 같은이름(유일) · 주소변환과 0.6km,37.4980253,126.8220974
7041254,서울천이초등학교,초등학교,서울,서울특별시 구로구 오류로 30,G,주소변환(Nominatim),37.4863458,126.8404774
7011462,서울효정학교,특수학교,서울,서울특별시 강북구 삼양로63길 33,G,주소변환(Nominatim),37.6273939,127.0170297
7011208,서초문화예술정보학교,각종학교(고),서울,서울특별시 서초구 남부순환로347길 69,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.4876797,127.0297523
7010469,성베드로학교,특수학교,서울,서울특별시 구로구 연동로 320,G,주소변환(Nominatim),37.48859,126.824783
7010858,수도사랑의학교,특수학교,서울,서울특별시 종로구 사직로7길 17,G,주소변환(Nominatim),37.5748025,126.9652401
7081506,신화중학교,중학교,서울,서울특별시 양천구 남부순환로29길 35,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.5406196,126.8301896
7010566,아현산업정보학교,각종학교(고),서울,서울특별시 마포구 마포대로 249,O,OSM 같은이름(유일) · 주소변환과 0.1km,37.5568167,126.9574683
7010966,여명학교,각종학교(고),서울,서울특별시 강서구 허준로 221-22,G,주소변환(Nominatim),37.5652746,126.8535207
7081544,여명학교(중),각종학교(중),서울,서울특별시 강서구 허준로 221-22,G,주소변환(Nominatim),37.5652746,126.8535207
7010859,연세대학교재활학교,특수학교,서울,서울특별시 서대문구 연세로 50,G,주소변환(Nominatim),37.567836,126.9393747
7010098,영등포고등학교,고등학교,서울,서울특별시 동작구 등용로8길 5-13,B,공식·이름일치(주소 다름) · 주소변환과 0.1km,37.5080846,126.9331435
7061109,예원학교,각종학교(중),서울,서울특별시 중구 정동길 25,O,OSM 같은이름(유일) · 주소변환과 0.0km,37.5667604,126.9717083
7011310,오디세이학교,각종학교(고),서울,서울특별시 종로구 종로58길 30,G,주소변환(Nominatim),37.5724151,127.0172695
7010583,은평대영학교,특수학교,서울,서울특별시 은평구 갈현로11길 30,G,주소변환(Nominatim),37.6051764,126.9075044
7011207,은평문화예술정보학교,각종학교(고),서울,서울특별시 은평구 가좌로 208,O,OSM 같은이름(유일) · 주소변환과 1.3km,37.5893329,126.9192234
7010227,이화여자고등학교,고등학교,서울,서울특별시 중구 정동길,B,공식·이름일치(주소 다름) · 주소변환과 0.0km,37.56617664,126.9713244
7031212,인왕중학교,중학교,서울,서울특별시 서대문구 세검정로4길,B,공식·이름일치(주소 다름) · 주소변환과 0.2km,37.59427355,126.9484284
7010567,종로산업정보학교,각종학교(고),서울,서울특별시 종로구 종로58길 28,G,주소변환(Nominatim),37.5723513,127.018234
7010472,주몽학교,특수학교,서울,서울특별시 강동구 상암로 369,G,주소변환(Nominatim),37.5508838,127.125809
7041214,지구촌학교,각종학교(초),서울,서울특별시 구로구 오리로 1189,G,주소변환(Nominatim),37.4889405,126.8350087
7041275,지구촌학교 고등학교,각종학교(고),서울,서울특별시 구로구 오리로 1189,G,주소변환(Nominatim),37.4889405,126.8350087
7041274,지구촌학교 중학교,각종학교(중),서울,서울특별시 구로구 오리로 1189,G,주소변환(Nominatim),37.4889405,126.8350087
7010112,청담고등학교,고등학교,서울,서울특별시 서초구 신반포로23길 66,B,공식·이름일치(주소 다름) · 주소변환과 3.9km 어긋남(이전 여부 확인),37.5280030163,127.0437002434
7011120,학력인정 서울자동차고등학교,평생학교(고)-3년6학기,서울,서울특별시 용산구 백범로45길 15,G,주소변환(Nominatim),37.5415851,126.9589331
7041215,학력인정 서현초등학교,평생학교(초)-3년6학기,서울,서울특별시 영등포구 도신로53길 18,G,주소변환(Nominatim),37.5120798,126.9150175
7011138,학력인정 신동신정보산업고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 동작구 동작대로33마길 27-1,G,주소변환(Nominatim),37.4908901,126.9782064
7011118,학력인정 신동신중.정보산업고등학교,평생학교(고)-3년6학기,서울,서울특별시 동작구 동작대로33마길 27-1,G,주소변환(Nominatim),37.4908901,126.9782064
7011139,학력인정 신동신중학교(2년제),평생학교(중)-2년6학기,서울,서울특별시 동작구 동작대로33마길 27-1,G,주소변환(Nominatim),37.4908901,126.9782064
7011140,학력인정 일성여자고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 마포구 마포대로11다길 11-6,G,주소변환(Nominatim),37.5494598,126.9486646
7011141,학력인정 일성여자중학교(2년제),평생학교(중)-2년6학기,서울,서울특별시 마포구 마포대로11다길 11-6,G,주소변환(Nominatim),37.5494598,126.9486646
7011122,학력인정 정암미용고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 동대문구 왕산로 225,G,주소변환(Nominatim),37.5820199,127.0471489
7011142,학력인정 진형고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 종로구 종로 386,G,주소변환(Nominatim),37.5740928,127.0203661
7011143,학력인정 진형중학교(2년제),평생학교(중)-2년6학기,서울,서울특별시 종로구 종로 386,G,주소변환(Nominatim),37.5740928,127.0203661
7011125,학력인정 청량정보고등학교,평생학교(고)-3년6학기,서울,서울특별시 동대문구 답십리로15길 32,G,주소변환(Nominatim),37.577838,127.0475714
7011150,학력인정 청량정보고등학교(2년제),평생학교(고)-2년6학기,서울,서울특별시 동대문구 답십리로15길 32,G,주소변환(Nominatim),37.577838,127.0475714
