학교코드,학교명,학교급,시도,명단주소,위도,경도,메모
7741109,경기새울학교,각종학교(중),경기,경기도 이천시 율면 금율로862번길 231-20,,,
7531254,다원학교,특수학교,경기,경기도 이천시 부발읍 부발중앙로46번길 21,,,
7692087,동성고등공민학교,고등공민학교,경기,경기도 하남시 광암로148번길 67,,,
7531603,마루고등학교,고등학교,경기,경기도 오산시 탑동1길 67,,,
7530429,새얼학교,특수학교,경기,경기도 파주시 법원읍 술이홀로1333번길 69-1,,,
7761124,신나는학교,각종학교(중),경기,경기도 안성시 보개면 복평길 18,,,
7531405,신나는학교(고),각종학교(고),경기,경기도 안성시 보개면 복평길 18,,,
7531606,진덕고등학교,고등학교,경기,경기도 용인시 처인구 고림로186번길 93,,,
7530440,한사랑학교,특수학교,경기,경기도 광주시 초월읍 산수로554번길 59-12,,,
7531000,화요일아침예술학교,각종학교(고),경기,경기도 연천군 전곡읍 양원로268번길 106-125,,,
9010536,김해은혜학교,특수학교,경남,경상남도 김해시 화목로 180,,,
8750358,경북영광학교,특수학교,경북,경상북도 영천시 북안면 신평탑골길 4,,,
8750818,경북온라인학교,각종학교(고),경북,경상북도 경산시 남산면 하대2길 32-7,,,
8750761,링컨중고등학교,각종학교(고),경북,경상북도 김천시 대덕면 관기3길 129-505,,,
8821074,산자연중학교,각종학교(중),경북,경상북도 영천시 화북면 오공길 189,,,
8750360,안동영명학교,특수학교,경북,경상북도 안동시 북후면 산약길 12,,,
7402222,신가초등학교,초등학교,광주,전남광주통합특별시 광산구 신가로40번길 21,,,
7430112,대전성세재활학교,특수학교,대전,대전광역시 유성구 유성대로298번길 175,,,
7150281,부산구화학교,특수학교,부산,부산광역시 남구 수영로123번길 54,,,
7150432,부산성우학교,특수학교,부산,부산광역시 기장군 장안읍 대룡2길 45,,,
7150376,부산솔빛학교,특수학교,부산,부산 사상구 백양대로 650 부산솔빛학교,,,
7150360,부산천사의학교,특수학교,부산,부산광역시 사하구 오작로88번길 30,,,
7181048,신연초등학교,초등학교,부산,부산광역시 남구 유엔로35번길 46,,,
7150676,장대현중고등학교,각종학교(고),부산,부산광역시 강서구 신호사로76번길 71,,,
7150439,학력인정국제금융고등학교(2년제),평생학교(고)-2년6학기,부산,,,,
7150408,학력인정부경보건고등학교,평생학교(고)-3년6학기,부산,,,,
7150443,학력인정부경보건고등학교(2년제),평생학교(고)-2년6학기,부산,,,,
7150436,학력인정부경보건고등학교병설부경중학교(2년제),평생학교(중)-2년6학기,부산,,,,
local-0b4326d465e1,검단3고등학교(설립예정),고등학교,인천,인천광역시 검단구 고산후로310번길 16,,,
7140318,광양햇살학교,특수학교,전남,전남광주통합특별시 광양시 옥룡면 옥동길 14,,,
8702035,노화중앙초등학교,초등학교,전남,전남광주통합특별시 완도군 노화읍 이목25번길 49-13,,,
8592021,녹동초등학교시산분교장,초등학교,전남,전남광주통합특별시 고흥군 도양읍 시산석금길 30,,,
8712017,오산초등학교금호도분교장,초등학교,전남,전남광주통합특별시 진도군 고군면 금호도길 47,,,
7140260,은광학교,특수학교,전남,전남광주통합특별시 영암군 삼호읍 신호정길 43-17,,,
7140315,전남미래국제고등학교,각종학교(고),전남,전남광주통합특별시 강진군 강진읍 금릉2길 24,,,
7140261,함평영화학교,특수학교,전남,전남광주통합특별시 함평군 함평읍 한나리길 10-25,,,
8321228,전북맹아학교,특수학교,전북,전북특별자치도 익산시 서동로46길 41,,,
8321229,전북혜화학교,특수학교,전북,전북특별자치도 익산시 덕기길 77,,,
8321243,학력인정남일고등학교,평생학교(고)-2년6학기,전북,전북특별자치도 정읍시 백산감산로 706,,,
8362100,학력인정남일중학교,평생학교(중)-2년6학기,전북,전북특별자치도 정읍시 감곡면 백산감산로 706,,,
8362099,학력인정남일초등학교,평생학교(초)-4년12학기,전북,전북특별자치도 정읍시 감곡면 백산감산로 706,,,
8321217,학력인정인화고등학교,평생학교(고)-2년6학기,전북,전북특별자치도 임실군 오수면 오산2길 19,,,
8432045,학력인정인화중학교,평생학교(중)-2년6학기,전북,전북특별자치도 임실군 오수면 오산2길 19,,,
8432035,학력인정인화초등학교,평생학교(초)-4년12학기,전북,전북특별자치도 임실군 오수면 오산2길 19,,,
9290084,제주영송학교,특수학교,제주,제주특별자치도 제주시 애월읍 광령중길 126-3,,,
8261081,대동초등학교,초등학교,충남,,,,
8181112,석곡초등학교,초등학교,충남,,,,
8181113,월천초등학교,초등학교,충남,,,,
8261083,주촌중학교,중학교,충남,,,,
8261080,주촌초등학교,초등학교,충남,,,,
8140497,충남온라인학교,각종학교(고),충남,충청남도 예산군 봉산면 하평1길 44,,,
8000197,꽃동네학교,특수학교,충북,충청북도 음성군 맹동면 원중로1119번길 42,,,
8000532,목도나루학교,각종학교(고),충북,충청북도 괴산군 불정면 한불로청덕1길 50-15,,,
8000385,청암학교,특수학교,충북,충청북도 제천시 의병대로45길 58,,,
