계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-c696cdc977a9,물품,[학교장터S2B] [카드] 2026학년도 AI·디지털 활용 선도학교 AI에듀테크 라이선스,2026-06-02,,강원특별자치도교육청 신동초등학교,신동초등학교,,,,강원특별자치도,
-88878b280c6c,물품,[카드] 2026학년도 AI·디지털 활용 선도학교 AI에듀테크 라이선스 구입(1~3학년),2026-06-02,,강원특별자치도교육청 신동초등학교,신동초등학교,,,,강원특별자치도,
-222190dffa81,물품,디지털 기반 교과운영 에듀테크 프로그램(AI) 이용권 구입(윤스쿨),2026-05-26,,강원특별자치도교육청 미로중학교,미로중학교,,7872040,중학교,강원특별자치도,
-7efed2ea1102,물품,2026학년도 에듀테크 기술 활용 AI 융합 수업 운영을 위한 소프트웨어 구입비 지급,2026-05-20,,강원특별자치도교육청 강릉중앙고등학교,강릉중앙고등학교,,7801099,고등학교,강원특별자치도,
-eb3537bf28f6,물품,2026학년도 현장 교사 에듀테크 프로그램 지원사업 운영 프로그램 구입,2026-05-19,,강원특별자치도교육청 원덕중학교,원덕중학교,,7872042,중학교,강원특별자치도,
-2bebf67d7920,물품,[S2B] 2026년 AI·디지털 활용 선도학교 AI 에듀테크 구독료(2차) 구입,2026-05-14,,강원특별자치도교육청 봄내초등학교,봄내초등학교,,7812064,초등학교,강원특별자치도,
-09017d928567,물품,(카드)2026 AI 에듀테크 구독료(AIDT 수학) 지출,2026-05-13,,강원특별자치도교육청 금병초등학교,금병초등학교,,7812054,초등학교,강원특별자치도,
-9937d2ecc5be,물품,2026학년도 AI·디지털 활용 선도학교 추가 에듀테크 구독비 지급,2026-05-12,,강원특별자치도교육청 정선정보공업고등학교,정선정보공업고등학교,,7801177,고등학교,강원특별자치도,
-f82e31fc2145,물품,AI 디지털활용 선도학교 에듀테크 구독료 지출,2026-05-11,,강원특별자치도교육청 팔렬중학교,팔렬중학교,,7882065,중학교,강원특별자치도,
-b470f2f4faad,물품,(카드)2026 AI 에듀테크 구독료(소중한글) 지출,2026-05-07,,강원특별자치도교육청 금병초등학교,금병초등학교,,7812054,초등학교,강원특별자치도,
-ec086fb9fb21,물품,[카드]디지털활용선도학교 운영에 필요한 에듀테크(카훗 외 6종) 라이센스구입,2026-05-07,,강원특별자치도교육청 퇴계초등학교,퇴계초등학교,,7812084,초등학교,강원특별자치도,
-fc6ff4f5bb22,물품,[S2B]교육과정기반 AISW운영학교 교육용 에듀테크 구매,2026-05-07,,강원특별자치도교육청 원주여자고등학교,원주여자고등학교,,7801168,고등학교,강원특별자치도,
