학교,시도,도메인,링크문구,링크URL
가납초등학교,경기,www.goedy.kr,성희롱･성폭력 신고센터,https://www.goedy.kr/goedy/cm/cntnts/cntntsView.do?mi=13375&amp;cntntsId=2680
가납초등학교,경기,www.goedu.kr,교육용클라우드지원시스템_팝업이미지(변경).jpeg,https://www.goedu.kr/bbs/2/list
가납초등학교,경기,www.dbdbschool.kr,방과후학교_배너1(234x60).png,https://www.dbdbschool.kr/member/login/sn/3648
가내초등학교,경기,www.goedu.kr,교육용클라우드지원시스템_팝업이미지(변경).jpeg,https://www.goedu.kr/bbs/2/view/55
가내초등학교,경기,read365.edunet.net,학교도서관도서신청배너,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B0%80%EB%82%B4%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90&amp;provCode=J10&amp;neisCode=J100007268
가수중학교,경기,www.ebs.co.kr,ebs.png,https://www.ebs.co.kr/main?NaPm=ct%3Dhf2bview%7Cci%3D0Gy1001FZzHfpCO600-M%7Ctr%3Dsa%7Cet%3Dhf3rbd2w%7Cba%3D1%2E0%7Caa%3D1%2E0%7Chk%3Db03c9555b13a8cdb2e0c58e6759281a4efcd510d
가수초등학교,경기,gasu-e.goehs.kr,https://gasu-e.goehs.kr/gasu-e/main.do,https://gasu-e.goehs.kr/gasu-e/main.do
갈곡초등학교,경기,www.goeyi.kr,회원가입,https://www.goeyi.kr/galgok-e/sb/sbscrb/insertSbscrbInfo01.do
갈곡초등학교,경기,www.goedu.kr,교육용클라우드지원시스템_팝업이미지(변경).jpeg,https://www.goedu.kr
갈곡초등학교,경기,www.ebsi.co.kr,ban_05.gif,https://www.ebsi.co.kr/ebs/pot/poti/main.ebs
갈담초등학교,경기,www.ebs.co.kr,EBS.png,https://www.ebs.co.kr/main?NaPm=ct%3Dhf2bview%7Cci%3D0Gy1001FZzHfpCO600-M%7Ctr%3Dsa%7Cet%3Dhf3rbd2w%7Cba%3D1%2E0%7Caa%3D1%2E0%7Chk%3Db03c9555b13a8cdb2e0c58e6759281a4efcd510d
갈담초등학교,경기,www.edunet.net,에듀넷.png,http://www.edunet.net/nedu/main/mainForm.do
갈천초등학교,경기,www.ebs.co.kr,EBS.png,https://www.ebs.co.kr/main?NaPm=ct%3Dhf2bview%7Cci%3D0Gy1001FZzHfpCO600-M%7Ctr%3Dsa%7Cet%3Dhf3rbd2w%7Cba%3D1%2E0%7Caa%3D1%2E0%7Chk%3Db03c9555b13a8cdb2e0c58e6759281a4efcd510d
갈천초등학교,경기,www.edunet.net,에듀넷.png,http://www.edunet.net/nedu/main/mainForm.do
갈현초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
갈현초등학교,경기,pgh-e.readinggate.com,리딩게이트 배너.png,https://pgh-e.readinggate.com/
갈현초등학교,경기,schoolaw.lawinfo.or.kr,스쿨로 배너.jpg,http://schoolaw.lawinfo.or.kr/
갈현초등학교,경기,www.ebs.co.kr,ebs.jpg,http://www.ebs.co.kr/
