학교,시도,도메인,링크문구,링크URL
가산중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
가산중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
강남중학교,서울,read365.edunet.net,강남중도서관,http://read365.edunet.net/PureScreen/SchoolSearch?schoolName=강남중학교&provCode=B10&neisCode=B100001545
강남중학교,서울,www.teen1318.or.kr,,http://www.teen1318.or.kr/
강명중학교,서울,www.ekape.or.kr,축산물 이력번호 조회,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=2128302055
강북중학교,서울,www.ekape.or.kr,이력번호조회,https://www.ekape.or.kr/kapecp/trustservicemng/trustSrvcMng/trustSearchOne.do?trustEntrpsNm=2108301161&amp;sectnCd=0001
강신중학교,서울,reading.ssem.or.kr,강신중 도서검색,http://reading.ssem.or.kr/r/reading/search/schoolCodeSetting.jsp?schoolCode=31315&amp;returnUrl=
강신중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
강신중학교,서울,read365.edunet.net,독서로 [링크] [새 창 열림],https://read365.edunet.net/
강일고등학교,서울,read365.edunet.net,디지털도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B0%95%EC%9D%BC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90&provCode=B10&neisCode=B100005522
강일고등학교,서울,www.hscredit.net,고교학점제,https://www.hscredit.net/common/greeting.do
강일고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
개웅중학교,서울,www.ekape.or.kr,축산물이력조회,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1138301079
개포고등학교,서울,read365.edunet.net,개포고등학교 도서관,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B0%9C%ED%8F%AC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90&provCode=B10&neisCode=B100000373
개포고등학교,서울,www.jinhak.or.kr,진로진학정보센터,https://www.jinhak.or.kr/index.do
개포고등학교,서울,www.kkulbaksa.com,꿀박사,https://www.kkulbaksa.com/
개포고등학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
거원중학교,서울,webzine.serii.re.kr,계간 『서울교육』(연 4회 발간) 홍보 [새 창 열림],https://webzine.serii.re.kr/
