계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
전남-306932a2ba19,물품,2026. 국어과 에듀테크활용프로그램 사용권 구입,2026-07-24,179400,전남광역시교육청 여수중앙여자고등학교,여수중앙여자고등학교,테크빌교육(주),7140218,고등학교,전남광주통합특별시(전남),
전남-b02d3d9556f6,물품,[S2B] 연구학교 과제수행을 위한 에듀테크 구독료 지출(메쉬AI),2026-07-24,175000,전남광역시교육청 강진중앙초등학교,강진중앙초등학교,나이스쿨,8632011,초등학교,전남광주통합특별시(전남),
전남-daf0ef8dd75e,물품,[S2B] 연구학교 과제수행을 위한 에듀테크 구독료 지출(힉스필드),2026-07-24,180000,전남광역시교육청 강진중앙초등학교,강진중앙초등학교,스쿨잼,8632011,초등학교,전남광주통합특별시(전남),
전남-e90169370dc1,물품,2030교실 운영 연구회 회원 에듀테크 플랫폼 구독료,2026-07-21,600000,전남광역시교육청 산포초등학교,산포초등학교,주식회사 아이스크림미디어,8532034,초등학교,전남광주통합특별시(전남),
전남-959985d855d2,물품,2026. 너Do 나Do 통(通)하는 에듀테크 영어교육 교구자료 구입,2026-07-21,376100,전남광역시교육청 담양동초등학교,담양동초등학교,(주)아이스크림미디어,8562010,초등학교,전남광주통합특별시(전남),
전남-920d814fe8e2,물품,구례미래교육과정 에듀테크 활용 소프트웨어(감마) 사용권 구입,2026-07-10,309000,전남광역시교육청 구례북초등학교,구례북초등학교,스쿨메이트,8582009,초등학교,전남광주통합특별시(전남),
전남-add916866cae,물품,구례미래교육과정 에듀테크 활용 소프트웨어(퍼플렉시티) 사용권 구입,2026-07-10,288000,전남광역시교육청 구례북초등학교,구례북초등학교,주식회사 레드포인트,8582009,초등학교,전남광주통합특별시(전남),
전남-3e930849ffaa,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(듀오링,2026-07-08,666000,전남광역시교육청 증도초등학교,증도초등학교,주안테크,8722016,초등학교,전남광주통합특별시(전남),
전남-105d7bd46f04,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(클로드,2026-07-08,220000,전남광역시교육청 증도초등학교,증도초등학교,주안테크,8722016,초등학교,전남광주통합특별시(전남),
전남-207bc8f03b1c,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(모션엘,2026-07-08,330000,전남광역시교육청 증도초등학교,증도초등학교,주안테크,8722016,초등학교,전남광주통합특별시(전남),
전남-4c88d1073692,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(캡컷,2026-07-08,492000,전남광역시교육청 증도초등학교,증도초등학교,사자곰,8722016,초등학교,전남광주통합특별시(전남),
전남-6cfefbcd72c4,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(필모라,2026-07-08,300000,전남광역시교육청 증도초등학교,증도초등학교,주안테크,8722016,초등학교,전남광주통합특별시(전남),
전남-b202da2d98a4,물품,2026. AI코스웨어 및 에듀테크(키위런) 구입,2026-06-23,1409000,전남광역시교육청 염산초등학교,염산초등학교,(주)투블럭에이아이,8682023,초등학교,전남광주통합특별시(전남),
전남-13ffc71498d2,물품,[S2B] 연구학교 과제 수행을 위한 에듀테크(chatGPT Pro) 구독료 지출,2026-07-03,380000,전남광역시교육청 강진중앙초등학교,강진중앙초등학교,주식회사 레드포인트,8632011,초등학교,전남광주통합특별시(전남),
전남-46b829627f77,물품,수업용 AI활용 에듀테크 스쿨마스터 구독료 지출,2026-07-01,50000,전남광역시교육청 미력초등학교,미력초등학교,파프리카,8602020,초등학교,전남광주통합특별시(전남),
전남-527e27ce4766,용역,[S2B] 2026학년도 작은학교 특성화교육 학기말 취약시기 특별 프로그램 에듀테크(AI,2026-06-25,480000,전남광역시교육청 순천승남중학교,순천승남중학교,주식회사 교육의정석,8522019,중학교,전남광주통합특별시(전남),
전남-c148eb81edfd,용역,[S2B] 2026학년도 작은학교 특성화교육 학기말 취약시기 특별 프로그램 에듀테크(영상,2026-06-25,207000,전남광역시교육청 순천승남중학교,순천승남중학교,주식회사 레드포인트,8522019,중학교,전남광주통합특별시(전남),
전남-36e4d88ead78,물품,[S2B]2026. AI 중점학교 에듀테크 구독료 지급자작자작),2026-06-24,320000,전남광역시교육청 아산초등학교,아산초등학교,(주)팀플백,8612028,초등학교,전남광주통합특별시(전남),
전남-0ac07455aa4b,물품,2026. 디지털튜터 협력 수업자료 개발을 위한 에듀테크(클로드 프로) 구독료 지출,2026-06-12,774000,전남광역시교육청 광양중동초등학교,광양중동초등학교,행복장터,8552036,초등학교,전남광주통합특별시(전남),
전남-1219d3536196,물품,에듀테크 소프트웨어 구입(다했니),2026-06-11,99000,전남광역시교육청 장성중앙초등학교,장성중앙초등학교,에듀지원 주식회사,8692009,초등학교,전남광주통합특별시(전남),
전남-31de02f8bc6a,물품,AI디지털 활용 선도학교 에듀테크 소프트웨어 구입(미래엠 초코클래스),2026-06-09,918000,전남광역시교육청 장성중앙초등학교,장성중앙초등학교,(주)미래엔,8692009,초등학교,전남광주통합특별시(전남),
전남-e57a3d496454,물품,AI디지털 활용 선도학교 에듀테크 소프트웨어 구입(젭 퀴즈),2026-06-09,660000,전남광역시교육청 장성중앙초등학교,장성중앙초등학교,주식회사 교육의정석,8692009,초등학교,전남광주통합특별시(전남),
전남-272622a33e8e,물품,AI디지털 활용 선도학교 에듀테크 소프트웨어 구입(토도영어),2026-06-08,1080000,전남광역시교육청 장성중앙초등학교,장성중앙초등학교,나이스쿨,8692009,초등학교,전남광주통합특별시(전남),
전남-ca1d21bded3e,물품,AI디지털 활용 선도학교 에듀테크 소프트웨어 구입(수학이 재밌어지는 AI수학 학습),2026-06-08,950400,전남광역시교육청 장성중앙초등학교,장성중앙초등학교,테크빌교육(주),8692009,초등학교,전남광주통합특별시(전남),
전남-99945a34e592,물품,AI디지털 활용 선도학교 에듀테크 소프트웨어 구입(미래엔 초코 초등 수학 AI 코스웨어),2026-06-08,4505000,전남광역시교육청 장성중앙초등학교,장성중앙초등학교,올댓스쿨 주식회사,8692009,초등학교,전남광주통합특별시(전남),
전남-a526d5bd401d,물품,연구학교 과제 수행을 위한 에듀테크(스쿨마스터) 구독료 지출,2026-06-08,319000,전남광역시교육청 강진중앙초등학교,강진중앙초등학교,스쿨마스터,8632011,초등학교,전남광주통합특별시(전남),
전남-017804ca83a5,물품,2026년 1차 에듀테크 소프트웨어(패들렛) 구입,2026-06-08,60000,전남광역시교육청 영암여자중학교,영암여자중학교,스쿨잼,8652014,중학교,전남광주통합특별시(전남),
전남-667b9724d9e7,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(타입캐스트) 학교장터 추가 구입,2026-06-05,150000,전남광역시교육청 매성중학교,매성중학교,주식회사 레드포인트,8532073,중학교,전남광주통합특별시(전남),
전남-1d2f2b58360f,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(AI 투닝 프로 Tooning P,2026-06-05,61000,전남광역시교육청 매성중학교,매성중학교,스쿨메이트,8532073,중학교,전남광주통합특별시(전남),
전남-70ca6cb9bec1,물품,2026학년도 AI·디지털 활용 선도학교 에듀테크 콘텐츠(다했니) 학교장터 추가 구입,2026-06-05,495000,전남광역시교육청 매성중학교,매성중학교,에듀지원주식회사,8532073,중학교,전남광주통합특별시(전남),
전남-76ad4c28ef52,물품,(s2b) 2026. AI 활용 에듀테크 구입(패들렛 외 1종),2026-06-05,2884000,전남광역시교육청 벌교초등학교,벌교초등학교,클라스온 주식회사,8602016,초등학교,전남광주통합특별시(전남),
전남-9b1d6ec4daa9,물품,[S2B]2026. 전남혁신(울림)학교 AI 에듀테크 라이센스 구입(런웨이 AI),2026-06-04,700000,전남광역시교육청 아산초등학교,아산초등학교,비케이 에듀,8612028,초등학교,전남광주통합특별시(전남),
전남-e4a31f736ece,물품,[S2B]2026. 전남혁신(울림)학교 AI 에듀테크 라이센스 구입(미리캔버스),2026-06-04,140000,전남광역시교육청 아산초등학교,아산초등학교,주식회사 교육의정석,8612028,초등학교,전남광주통합특별시(전남),
전남-57aba97de356,용역,[S2B] 2026. 영어과 필요 에듀테크(ChatGPT 플러스 챗봇) 구입,2026-06-01,350000,전남광역시교육청 순천승남중학교,순천승남중학교,위드테크,8522019,중학교,전남광주통합특별시(전남),
전남-763779c6f411,물품,2026. AI코스웨어 및 디지털솔루션 에듀테크(토도영어) 구독료 지출,2026-06-01,440000,전남광역시교육청 광양중동초등학교,광양중동초등학교,주식회사 에누마코리아,8552036,초등학교,전남광주통합특별시(전남),
전남-68c3e58b0579,용역,2026. 초등 2030교실 지속형 AI·에듀테크 구독료 지급,2026-05-29,526000,전남광역시교육청 무안행복초등학교,무안행복초등학교,올댓스쿨 주식회사,8662052,초등학교,전남광주통합특별시(전남),
전남-1447a85ccde1,물품,[S2B]2026. 고교학점제 운영 지원을 위한 생성형 AI 에듀테크 구독료 추가 지출,2026-05-28,1794000,전남광역시교육청 중마고등학교,중마고등학교,도토리랩,7140263,고등학교,전남광주통합특별시(전남),
전남-4d9ebd951d4b,물품,2026. AI코스웨어 및 디지털솔루션 에듀테크(아트봉봉스쿨) 구독료 지출,2026-05-28,1407000,전남광역시교육청 광양중동초등학교,광양중동초등학교,솔샘(주),8552036,초등학교,전남광주통합특별시(전남),
