태그,패턴,건수,근거,문맥필요
소프트웨어야놀자,소프트웨어야놀자,2,에듀집 등록 제품(소프트웨어야 놀자),
체리팟,체리팟,1,에듀집 등록 제품(체리팟),Y
부커스,부커스,1,에듀집 등록 제품(부커스),Y
하마룸,하마룸,1,에듀집 등록 제품(하마룸),Y
마이클,마이클,1,에듀집 등록 제품(마이클),Y
할로코드,할로코드,1,에듀집 등록 제품(할로코드),Y
레서,레서,1,에듀집 등록 제품(레서),Y
어썸봇,어썸봇,1,에듀집 등록 제품(어썸봇),Y
알공,알공,6,에듀집 등록 제품(알공),Y
클라비,클라비,6,에듀집 등록 제품(클라비),Y
비바클래스,비바클래스,6,에듀집 등록 제품(비바클래스),
투닝,투닝,4,에듀집 등록 제품(투닝),Y
원아워,원아워,4,에듀집 등록 제품(원아워),Y
다했니,다했니,4,에듀집 등록 제품(다했니),Y
반디컷,반디컷,3,에듀집 등록 제품(반디컷),Y
온리원,온리원,2,에듀집 등록 제품(온리원),Y
북레일,북레일,1,에듀집 등록 제품(북레일),Y
소중한글,소중한글,14,"정정 요청 에듀집 등록 제품 · 공급 에이치투케이 (계약명 16건 확인, 2026-08-08)",
말해보카,말해보카,19,에듀집 등록 제품 · 계약 업체 (주)이팝소프트 일치 57%,Y
상냥이,상냥이,6,에듀집 등록 제품 · 계약 업체 주식회사 인텔리어스 일치 50%,Y
AI아크수학,AI아크수학,6,에듀집 등록 제품 · 계약 업체 아이스크림미디어 일치 83%,
허밍블럭스,허밍블럭스,5,에듀집 등록 제품 · 계약 업체 네모감성 일치 60%,
상태창,상태창,4,에듀집 등록 제품 · 계약 업체 상태창(StatUp) 일치 75%,Y
쎄듀런,쎄듀런,4,에듀집 등록 제품 · 계약 업체 쎄듀 일치 75%,Y
M-AI 학습플랫폼,M\-AI[\s·\-]*학습플랫폼,3,에듀집 등록 제품 · 계약 업체 메이커스테크놀로지 일치 67%,
그림한글 받아쓰기,그림한글[\s·\-]*받아쓰기,3,에듀집 등록 제품 · 계약 업체 주식회사 성주코퍼레이션 일치 67%,
링스쿨,링스쿨,3,에듀집 등록 제품 · 계약 업체 주식회사 엘지헬로비전 일치 67%,Y
스쿨북스,스쿨북스,3,에듀집 등록 제품 · 계약 업체 (주)이씨오 일치 67%,Y
스팀컵,스팀컵,54,에듀집 등록 제품(로보티즈) · 계약명 표본 확인 2026-08-10,Y
아두이노 자율주행 AI 로봇 만들기 키트,아두이노[\s·\-]*자율주행[\s·\-]*AI[\s·\-]*로봇[\s·\-]*만들기[\s·\-]*키트,19,에듀집 등록 제품(주식회사 비피) · 계약명 표본 확인 2026-08-10,
이지메이커,이지메이커,19,에듀집 등록 제품(주식회사 하이씨티) · 계약명 표본 확인 2026-08-10,
스쿨라이프,스쿨라이프,19,에듀집 등록 제품(주식회사 아이디프로) · 계약명 표본 확인 2026-08-10,
아두이노 우리집 작은 텃밭 스마트팜 키트,아두이노[\s·\-]*우리집[\s·\-]*작은[\s·\-]*텃밭[\s·\-]*스마트팜[\s·\-]*키트,17,에듀집 등록 제품(주식회사 비피) · 계약명 표본 확인 2026-08-10,
모디 플러스 마스터 키트,모디[\s·\-]*플러스[\s·\-]*마스터[\s·\-]*키트,14,에듀집 등록 제품(주식회사 럭스로보) · 계약명 표본 확인 2026-08-10,
클래스링크,클래스링크,12,에듀집 등록 제품(천재교육) · 계약명 표본 확인 2026-08-10,
주미 AI,주미[\s·\-]*AI,11,에듀집 등록 제품(로보링크 주식회사) · 계약명 표본 확인 2026-08-10,Y
지능형과학실 포톤 과학 VR,지능형과학실[\s·\-]*포톤[\s·\-]*과학[\s·\-]*VR,11,에듀집 등록 제품((주)메타에듀시스) · 계약명 표본 확인 2026-08-10,
AI 펭톡,AI[\s·\-]*펭톡,10,에듀집 등록 제품(한국교육방송공사(EBS)) · 계약명 표본 확인 2026-08-10,Y
엠봇2,엠봇2,10,에듀집 등록 제품(렌쥴리에듀테인먼트) · 계약명 표본 확인 2026-08-10,Y
테일봇,테일봇,10,에듀집 등록 제품(주식회사 마르시스에듀) · 계약명 표본 확인 2026-08-10,Y
로보독,로보독,9,에듀집 등록 제품((주)네패스) · 계약명 표본 확인 2026-08-10,Y
로비코,로비코,8,에듀집 등록 제품(주식회사 마르시스에듀) · 계약명 표본 확인 2026-08-10,Y
아두이노 스마트시티 만들기 키트,아두이노[\s·\-]*스마트시티[\s·\-]*만들기[\s·\-]*키트,8,에듀집 등록 제품(주식회사 비피) · 계약명 표본 확인 2026-08-10,
지니어스키트 스타터팩,지니어스키트[\s·\-]*스타터팩,8,에듀집 등록 제품((주)네패스) · 계약명 표본 확인 2026-08-10,
핑퐁로봇 앱,핑퐁로봇[\s·\-]*앱,7,에듀집 등록 제품((주)로보라이즌) · 계약명 표본 확인 2026-08-10,
실내놀이 MX존,실내놀이[\s·\-]*MX존,7,에듀집 등록 제품((주)한국시청각) · 계약명 표본 확인 2026-08-10,
AI 플레도,AI[\s·\-]*플레도,6,에듀집 등록 제품((주)플레도) · 계약명 표본 확인 2026-08-10,
코드잇,코드잇,6,에듀집 등록 제품(주식회사 코드잇 (Codeit)) · 계약명 표본 확인 2026-08-10,Y
라쿤봇,라쿤봇,5,에듀집 등록 제품((주)로보메이션) · 계약명 표본 확인 2026-08-10,Y
삐오봇,삐오봇,5,에듀집 등록 제품((주)로보메이션) · 계약명 표본 확인 2026-08-10,Y
아두이노 돌고래휴지통 DIY 코딩교육키트,아두이노[\s·\-]*돌고래휴지통[\s·\-]*DIY[\s·\-]*코딩교육키트,5,에듀집 등록 제품(주식회사 비피) · 계약명 표본 확인 2026-08-10,
스마트밸런스,스마트밸런스,5,에듀집 등록 제품(제이어스주식회사) · 계약명 표본 확인 2026-08-10,
라즈베리파이 피코 스타터 키트,라즈베리파이[\s·\-]*피코[\s·\-]*스타터[\s·\-]*키트,4,에듀집 등록 제품(아이씨뱅큐(주)) · 계약명 표본 확인 2026-08-10,
문제G,문제G,4,에듀집 등록 제품(디피니션 주식회사) · 계약명 표본 확인 2026-08-10,Y
아두이노 회전룰렛 만들기 DIY 코딩교육키트,아두이노[\s·\-]*회전룰렛[\s·\-]*만들기[\s·\-]*DIY[\s·\-]*코딩교육키트,4,에듀집 등록 제품(주식회사 비피) · 계약명 표본 확인 2026-08-10,
주미 미니,주미[\s·\-]*미니,4,에듀집 등록 제품(로보링크 주식회사) · 계약명 표본 확인 2026-08-10,Y
카미봇파이AI,카미봇파이AI,4,에듀집 등록 제품(주식회사 삼쩜일사) · 계약명 표본 확인 2026-08-10,
트라이디스,트라이디스,4,에듀집 등록 제품(주식회사 트라이디스) · 계약명 표본 확인 2026-08-10,
AI CLASS,AI[\s·\-]*CLASS,4,에듀집 등록 제품((주)윈테크) · 계약명 표본 확인 2026-08-10,
AI로봇 아티보,AI로봇[\s·\-]*아티보,3,에듀집 등록 제품(주식회사 큐브로이드) · 계약명 표본 확인 2026-08-10,
비트브릭 스타터키트,비트브릭[\s·\-]*스타터키트,3,에듀집 등록 제품(헬로긱스) · 계약명 표본 확인 2026-08-10,
아두이노 스스로 움직이는 AI 로봇팔 키트,아두이노[\s·\-]*스스로[\s·\-]*움직이는[\s·\-]*AI[\s·\-]*로봇팔[\s·\-]*키트,3,에듀집 등록 제품(주식회사 비피) · 계약명 표본 확인 2026-08-10,
코알라보드,코알라보드,3,에듀집 등록 제품(헬로긱스) · 계약명 표본 확인 2026-08-10,
클레버블록,클레버블록,3,에듀집 등록 제품(주식회사 마르시스에듀) · 계약명 표본 확인 2026-08-10,
홀로매직,홀로매직,3,에듀집 등록 제품(3DBANK) · 계약명 표본 확인 2026-08-10,Y
크립톤,크립톤,3,에듀집 등록 제품((주)가을디에스) · 계약명 표본 확인 2026-08-10,Y
KT AI 코디니,KT[\s·\-]*AI[\s·\-]*코디니,3,에듀집 등록 제품(주식회사 케이티) · 계약명 표본 확인 2026-08-10,
Quizlet,퀴즐렛|[Qq]uizlet,6,정정 요청 제품명=회사명 · 제보 2026-08-10,
