계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
입찰-43481382d544,물품,2026학년도 정밀기계과 재료가공전공 기자재(로봇 용접기) 구입 입찰 공고[2단계(규격·가격동시)입찰],2026-07-06,,대구광역시교육청 경북기계공업고등학교,경북기계공업고등학교,,7240107,고등학교,대구광역시,
입찰-9e8cce111363,물품,안산공업고등학교 스마트전기과 기자재 (공정제어실험장치 구매) 2단계 [규격·가격 분리 동시] 입찰 공고,2026-07-06,,경기도교육청 안산공업고등학교,안산공업고등학교,,7530348,고등학교,경기도,
입찰-fb02177cffaf,물품,광주공업고등학교 스마트기계과 용접실습실 구축 물품 구매,2026-07-06,,전남광주통합특별시교육청 광주공업고등학교,광주공업고등학교,,7140373,고등학교,전남광주통합특별시(광주),
입찰-7bc386d1cee7,물품,안산공업고등학교 스마트전기과 기자재 (공정제어실험장치 구매) 2단계 [규격·가격 분리 동시] 입찰 공고,2026-07-07,,경기도교육청 안산공업고등학교,안산공업고등학교,,7530348,고등학교,경기도,
입찰-7bc386d1cee7,물품,안산공업고등학교 스마트전기과 기자재 (공정제어실험장치 구매) 2단계 [규격·가격 분리 동시] 입찰 공고,2026-07-07,,경기도교육청 안산공업고등학교,안산공업고등학교,,7530348,고등학교,경기도,
입찰-80c1dfcb2982,물품,울산공업고 스마트건설과 기자재 (지게차 VR 시뮬레이터 ) 구매,2026-07-08,,울산광역시교육청 울산공업고등학교,울산공업고등학교,,7480044,고등학교,울산광역시,
입찰-1dcd4170d77b,물품,2026학년도 스마트융합기계과 기자재 구입[CAM 소프트웨어] 소액수의 견적 제출 안내 공고,2026-07-09,,대전광역시교육청 충남기계공업고등학교,충남기계공업고등학교,,7430073,고등학교,대전광역시,
입찰-d910d73b61df,물품,"연푸른초등학교 스마트음향 시스템(PA용스피커, 오디오앰프, 무선마이크) 구매  다수공급자계약(MAS) 2단계경쟁 제안서 제출 공고",2026-07-09,,경기도교육청 경기도동두천양주교육지원청 연푸른초등학교,연푸른초등학교,,7602151,초등학교,경기도,
입찰-eac218c7f3ab,물품,고려대학교사범대학부속중학교 그린스마트 리모델링 및 증축 공사 관련 냉난방기 구매·설치,2026-07-13,,서울특별시성북교육청 고려대학교사범대학부속중학교,고려대학교사범대학부속중학교,,7121358,중학교,서울특별시,
입찰-f1c7d15b4a39,물품,대구일마이스터고등학교 정밀기계가공과 기자재(CNC 소프트웨어) 구입 소액수의 견적제출 안내 재공고,2026-07-14,,대구광역시교육청 대구일마이스터고등학교,대구일마이스터고등학교,,7240372,고등학교,대구광역시,
입찰-f46043fdec3d,물품,그린스마트 메이커스페이스 공간구성을 위한 물품구입(AI융합 스마트팩토리 실습장치),2026-07-16,,경기도교육청 김포과학기술고등학교,김포과학기술고등학교,,7531517,고등학교,경기도,
입찰-1b2ccc49ddb3,물품,남춘천여자중학교 AI정보교실 노트북 구매,2026-07-20,,강원특별자치도교육청 강원특별자치도춘천교육지원청 남춘천여자중학교,남춘천여자중학교,,7812096,중학교,강원특별자치도,
입찰-18748721c2a8,물품,"연푸른초등학교 스마트음향 시스템(PA스피커, 오디오앰프, 무선마이크) 구매  다수공급자계약(MAS) 2단계경쟁 제안서 제출 재공고",2026-07-20,,경기도교육청 경기도동두천양주교육지원청 연푸른초등학교,연푸른초등학교,,7602151,초등학교,경기도,
입찰-18748721c2a8,물품,"연푸른초등학교 스마트음향 시스템(PA스피커, 오디오앰프, 무선마이크) 구매  다수공급자계약(MAS) 2단계경쟁 제안서 제출 재공고",2026-07-20,,경기도교육청 경기도동두천양주교육지원청 연푸른초등학교,연푸른초등학교,,7602151,초등학교,경기도,
입찰-1b2ccc49ddb3,물품,남춘천여자중학교 AI정보교실 노트북 구매,2026-07-20,,강원특별자치도교육청 강원특별자치도춘천교육지원청 남춘천여자중학교,남춘천여자중학교,,7812096,중학교,강원특별자치도,
입찰-ed4bb163d2b6,물품,울산에너지고등학교 로봇 실습장비 구매 입찰 공고,2026-07-20,,울산광역시교육청 울산에너지고등학교,울산에너지고등학교,,7480183,고등학교,울산광역시,
입찰-aeedf95fe07c,물품,남춘천여자중학교 AI정보교실 노트북 구매,2026-07-21,,강원특별자치도교육청 강원특별자치도춘천교육지원청 남춘천여자중학교,남춘천여자중학교,,7812096,중학교,강원특별자치도,
입찰-6cdbe23c60c2,물품,여주고등학교 수업용 노트북 구입 소액수의 견적제출 공고,2026-07-21,,경기도교육청 여주고등학교,여주고등학교,,7530191,고등학교,경기도,
입찰-4db5ed965753,물품,한강미디어고등학교 웹미디어콘텐츠과 XR 스튜디오 구축 기자재,2026-07-23,,서울특별시교육청 한강미디어고등학교,한강미디어고등학교,,7010828,고등학교,서울특별시,
입찰-4db5ed965753,물품,한강미디어고등학교 웹미디어콘텐츠과 XR 스튜디오 구축 기자재,2026-07-23,,서울특별시교육청 한강미디어고등학교,한강미디어고등학교,,7010828,고등학교,서울특별시,
입찰-d5eb991c03f9,물품,2026학년도 정밀기계과 재료가공전공 기자재(로봇 용접기) 구입 입찰 재공고[2단계(규격·가격동시)입찰],2026-07-24,,대구광역시교육청 경북기계공업고등학교,경북기계공업고등학교,,7240107,고등학교,대구광역시,
입찰-1349f5184319,물품,경기오산소프트웨어고등학교 클라우딩 실습실 구축 물품 구매 업체 선정 입찰 공고 [2단계(규격·가격분리 동시)〕,2026-07-27,,경기도교육청 경기오산소프트웨어고등학교,경기오산소프트웨어고등학교,,7531602,고등학교,경기도,
입찰-1349f5184319,물품,경기오산소프트웨어고등학교 클라우딩 실습실 구축 물품 구매 업체 선정 입찰 공고 [2단계(규격·가격분리 동시)〕,2026-07-27,,경기도교육청 경기오산소프트웨어고등학교,경기오산소프트웨어고등학교,,7531602,고등학교,경기도,
입찰-1349f5184319,물품,경기오산소프트웨어고등학교 클라우딩 실습실 구축 물품 구매 업체 선정 입찰 공고 [2단계(규격·가격분리 동시)〕,2026-07-27,,경기도교육청 경기오산소프트웨어고등학교,경기오산소프트웨어고등학교,,7531602,고등학교,경기도,
입찰-c63b86bb3fb7,물품,여주고등학교 수업용 노트북 구입 소액수의 견적제출 재공고,2026-07-27,,경기도교육청 여주고등학교,여주고등학교,,7530191,고등학교,경기도,
입찰-fd8c30b67477,물품,2026학년도 광주서석고등학교 융합교육(steam) 교구 AI로봇 구입,2026-07-28,,전남광주통합특별시교육청 광주서석고등학교,광주서석고등학교,,7140334,고등학교,전남광주통합특별시(광주),
입찰-07f34c6b285a,물품,한강미디어고등학교 웹미디어콘텐츠과 XR 스튜디오 구축 기자재,2026-07-30,,서울특별시교육청 한강미디어고등학교,한강미디어고등학교,,7010828,고등학교,서울특별시,
입찰-96671b45791b,물품,2026학년도 한강미디어고등학교 웹미디어콘텐츠과 XR 스튜디오 구축 기자재 구입,2026-07-30,,서울특별시교육청 한강미디어고등학교,한강미디어고등학교,,7010828,고등학교,서울특별시,
입찰-8e72fb8f5bcc,용역,VR 기반 영어 학습 콘텐츠 SW 제작 및 관련 장비 공급 입찰 공고,2026-07-03,,경기도교육청 경기도안산교육지원청 안산중학교,안산중학교,,7611026,중학교,경기도,
입찰-ccac34811ae6,용역,VR 기반 영어 학습 콘텐츠 SW 제작 및 관련 장비 공급 입찰 재공고,2026-07-16,,경기도교육청 경기도안산교육지원청 안산중학교,안산중학교,,7611026,중학교,경기도,
입찰-a4180383cdda,물품,여주고등학교 수업용 노트북 구입 소액수의 견적제출 재공고(수정),2026-07-31,,경기도교육청 여주고등학교,여주고등학교,,7530191,고등학교,경기도,
입찰-f58e9de4124d,물품,복자여자고등학교 크롬북 구매 2단계(규격·가격 동시) 전자입찰 공고,2023-01-02,,충청남도교육청 복자여자고등학교,복자여자고등학교,,8140087,고등학교,충청남도,
입찰-edd8d47b6490,물품,복자여자고등학교 전자칠판 외 1종 구매 2단계(규격·가격 동시) 전자입찰 공고,2023-01-02,,충청남도교육청 복자여자고등학교,복자여자고등학교,,8140087,고등학교,충청남도,
입찰-97e9e94d1a94,물품,복자여자고등학교 전자칠판 외 1종 구매 2단계(규격·가격 동시) 전자입찰 공고,2023-01-03,,충청남도교육청 복자여자고등학교,복자여자고등학교,,8140087,고등학교,충청남도,
입찰-fd6c497fa450,물품,금오공업고등학교 정밀기계과 NCS기반 프로그램(CAM소프트웨어) 구입,2023-01-03,,경상북도교육청 금오공업고등학교,금오공업고등학교,,8750237,고등학교,경상북도,
입찰-6ec3b4606b36,물품,남이초등학교 VR 미래교실 구축,2023-01-04,,충청남도금산교육청 남이초등학교,남이초등학교,,8201019,초등학교,충청남도,
입찰-b3a1e3988aee,물품,2023학년도 신입생 노트북 구입,2023-01-04,,충청남도교육청 아산스마트팩토리마이스터고등학교,아산스마트팩토리마이스터고등학교,,8140472,고등학교,충청남도,
입찰-daa9e037b0b7,물품,배방고등학교 정보교육실 학생용 노트북 구입,2023-01-04,,충청남도교육청 배방고등학교,배방고등학교,,8140256,고등학교,충청남도,
입찰-cc59eb19749e,물품,경남산업고등학교 스마트팩토리과 공압·유압실습장비 기자재 구입 입찰 공고,2023-01-05,,경상남도교육청 경남산업고등학교,경남산업고등학교,,9010332,고등학교,경상남도,
입찰-e5767657b3ef,물품,쌘뽈여자고등학교 전자칠판 OPS 구매 소액수의 견적제출공고,2023-01-05,,충청남도교육청 쌘뽈여자고등학교,쌘뽈여자고등학교,,8140095,고등학교,충청남도,
입찰-80abcab9da44,물품,서산서남초등학교 AI 교육 교구 구입 소액수의 전자견적 제출 공고,2023-01-06,,충청남도교육청 충청남도서산교육지원청 서산서남초등학교,서산서남초등학교,,8191116,초등학교,충청남도,
입찰-80abcab9da44,물품,서산서남초등학교 AI 교육 교구 구입 소액수의 전자견적 제출 공고,2023-01-06,,충청남도교육청 충청남도서산교육지원청 서산서남초등학교,서산서남초등학교,,8191116,초등학교,충청남도,
입찰-842fd67b7700,물품,영주동산고등학교 간호보건 VR 시뮬레이션 구입,2023-01-06,,경상북도교육청 영주동산고등학교,한국미래산업고등학교,,8750807,고등학교,경상북도,
입찰-2e87d413f08c,물품,영주동산고등학교 간호보건 VR 시뮬레이션 구입,2023-01-09,,경상북도교육청 영주동산고등학교,한국미래산업고등학교,,8750807,고등학교,경상북도,
입찰-7117d5bd187b,물품,포항흥해공업고등학교 스마트전기과 미래직업교육 기자재 구입 수의견적 제출,2023-01-09,,경상북도교육청 포항흥해공업고등학교,포항흥해공업고등학교,,8750670,고등학교,경상북도,
입찰-fd50df0941f3,물품,남주고등학교 메타버스 활용학교 운영물품 구입 설치 수의계약 안내공고,2023-01-10,,제주특별자치도교육청 남주고등학교,남주고등학교,,9290073,고등학교,제주특별자치도,
입찰-748579d9ab9f,물품,2022학년도 3D프린팅금형과 기자재(3D프린터) 구매,2023-01-10,,서울특별시교육청 서울공업고등학교,서울공업고등학교,,7010278,고등학교,서울특별시,
입찰-c501d076bdba,물품,담양공고 스마트전기전자과 실험실습기자재(SMT시뮬레이터) 구매 소액 수의견적 제출 안내 공고,2023-01-11,,전라남도교육청 담양공업고등학교,담양공업고등학교,,7140193,고등학교,전남광주통합특별시(전남),
입찰-b78132a3d081,물품,여강고등학교 교원 수업용 판서모니터 태블릿컴퓨터 구입,2023-01-11,,경기도교육청 여강고등학교,여강고등학교,,7530586,고등학교,경기도,
입찰-9b03fe2bc1bf,물품,"한국주얼리고등학교 실험실습실 현대화사업 기자재(노트북, 태블릿PC) 구입(긴급)",2023-01-11,,인천광역시교육청 한국주얼리고등학교,한국주얼리고등학교,,7310454,고등학교,인천광역시,
입찰-ae69bba8239b,물품,2022학년도 3D프린팅금형과 기자재(3D프린터) 구매,2023-01-11,,서울특별시교육청 서울공업고등학교,서울공업고등학교,,7010278,고등학교,서울특별시,
입찰-ae69bba8239b,물품,2022학년도 3D프린팅금형과 기자재(3D프린터) 구매,2023-01-11,,서울특별시교육청 서울공업고등학교,서울공업고등학교,,7010278,고등학교,서울특별시,
입찰-6af0453168d6,물품,복자여자고등학교 전자칠판 외 1종 구매 2단계(규격·가격 동시) 전자입찰 재공고,2023-01-11,,충청남도교육청 복자여자고등학교,복자여자고등학교,,8140087,고등학교,충청남도,
입찰-a4d77dcaa3ec,물품,경원고등학교 에듀테크 활용 교육활동 공간 구축 기자재 구매 입찰 공고(긴급),2023-01-12,,대구광역시교육청 경원고등학교,경원고등학교,,7240074,고등학교,대구광역시,
입찰-3f8d252c869c,물품,2022학년도 직업계고 학과 재구조화 지원사업 기자재(응용소프트웨어) 소액수의견적 공고,2023-01-12,,충청북도교육청 청주공업고등학교,청주공업고등학교,,8000280,고등학교,충청북도,
입찰-13a52ccf88f1,물품,광주학생예술누리터 시각예술교구(태블릿 컴퓨터 외) 구매 수의계약 안내공고,2023-01-13,,광주광역시동부교육청 광주중앙초등학교,광주중앙초등학교,,7392111,초등학교,전남광주통합특별시(광주),
입찰-2cb574bee54a,물품,충남기계공업공고 스마트시티과 토목 기자재 구매,2023-01-16,,대전광역시교육청 충남기계공업고등학교,충남기계공업고등학교,,7430073,고등학교,대전광역시,
입찰-7e5e44860c58,물품,경남항공고등학교 기자재(군집비행드론 외 2종) 구매 수의계약 안내 공고,2023-01-16,,경상남도교육청 경남항공고등학교,경남항공고등학교,,9010129,고등학교,경상남도,
입찰-aff5b73daeff,물품,2022 전북하이텍고 삼례공동실습소 기자재( 교육용 로봇카페 시스템 외 5종) 구입,2023-01-16,,전라북도교육청 전북하이텍고등학교,수소에너지고등학교,,8321268,고등학교,전북특별자치도,
입찰-e7d3bd5c7a1d,물품,인천바이오과학고 스마트전자과 실험실습 기자재 구매 소액수의 견적 제출 안내 공고,2023-01-17,,인천광역시교육청 인천바이오과학고등학교,인천바이오과학고등학교,,7310593,고등학교,인천광역시,
입찰-3fc5b7c79b2b,물품,[긴급]경북기계금속고등학교 기계설비과 NCS기자재(로봇용접기 세트) 구매,2023-01-17,,경상북도교육청 경북기계금속고등학교,경북기계금속고등학교,,8750667,고등학교,경상북도,
입찰-1bb098a764fe,물품,스마트테크과 기자재(레이저커팅기) 구매,2023-01-17,,대구광역시교육청 대구달서공업고등학교,대구하이텍고등학교,,7240462,고등학교,대구광역시,
입찰-1433b0056793,물품,선덕여자중학교 전자칠판(본체 및 이동형 스탠드) 추가 구매 건,2023-01-17,,경상북도경주교육청 선덕여자중학교,선덕여자중학교,,8771133,중학교,경상북도,
입찰-5b34c5e16772,물품,포항흥해공업고등학교 스마트전기과 미래직업교육 기자재 구입 수의견적 제출 재공고,2023-01-17,,경상북도교육청 포항흥해공업고등학교,포항흥해공업고등학교,,8750670,고등학교,경상북도,
입찰-2ab59b685978,물품,선덕여자중학교 전자칠판(본체 및 이동형 스탠드) 추가 구매 건,2023-01-18,,경상북도경주교육청 선덕여자중학교,선덕여자중학교,,8771133,중학교,경상북도,
입찰-8b80c8d121f2,물품,목포덕인중학교 AI(인공지능)교실 기자재 구입 수의 견적제출 안내 공고,2023-01-18,,전라남도교육청 전라남도목포교육지원청 목포덕인중학교,목포덕인중학교,,8502018,중학교,전남광주통합특별시(전남),
입찰-bf8c9411f55c,물품,선덕여자중학교 전자칠판(본체 및 이동형 스탠드) 추가 구매 건,2023-01-19,,경상북도경주교육청 선덕여자중학교,선덕여자중학교,,8771133,중학교,경상북도,
입찰-2bb6f837cbbf,물품,2022 소재설계가공과 실습기자재(로봇용접기 및 로봇베이스) 구매,2023-01-19,,대구광역시교육청 대구과학기술고등학교,대구과학기술고등학교,,7240452,고등학교,대구광역시,
입찰-04dd975c9d2e,물품,전남공고 토목과 기자재(건설기계 VR 실습장비) 구매 수의계약 안내공고,2023-01-25,,전남광주통합특별시교육청 전남공업고등학교,전남공업고등학교,,7140358,고등학교,전남광주통합특별시(광주),
입찰-5b8be4922547,물품,동명공고 스마트기계과 소프트웨어(G-CNC)구매 소액수의 긴급입찰공고,2023-01-25,,부산광역시교육청 동명공업고등학교,동명공업고등학교,,7150620,고등학교,부산광역시,
입찰-038b45e46ce3,물품,선진형 융합교실(전자칠판) 조성을 위한 OPS 구입 소액수의 견적제출 안내 공고,2023-01-25,,울산광역시교육청 울산광역시강북교육청 호계중학교,호계중학교,,7491175,중학교,울산광역시,
입찰-e8ddf1c378a2,물품,광주화정중 그린스마트 미래학교 조성 통신공사 통합배선반 구매설치,2023-01-25,,전남광주통합특별시교육청 전남광주통합특별시광주서부교육지원청 광주화정중학교,광주화정중학교,,7402275,중학교,전남광주통합특별시(광주),
입찰-ed5e1b210af7,물품,[긴급]세명컴퓨터고-2022학년도 스마트보안솔루션과 실험실습 기자재 확충 공고(컴퓨터),2023-01-25,,서울특별시교육청 세명컴퓨터고등학교,세명컴퓨터고등학교,,7010537,고등학교,서울특별시,
입찰-8f7ebeb162f9,물품,경남항공고등학교 기자재(군집비행드론 외 2종) 구매 수의계약 안내 공고,2023-01-25,,경상남도교육청 경남항공고등학교,경남항공고등학교,,9010129,고등학교,경상남도,
입찰-7c673feceb25,물품,논산대건중고등학교 전자칠판 외 7종 구매 2단계(규격·가격 동시) 전자입찰 공고(긴급),2023-01-25,,충청남도교육청 논산대건고등학교,논산대건고등학교,,8140085,고등학교,충청남도,
입찰-277c24940df3,물품,송악중학교 태블릿PC 구매 입찰공고,2023-01-26,,충청남도당진교육청 송악중학교,송악중학교,,8291014,중학교,충청남도,
입찰-b00535f7c288,물품,2022학년도 로봇자동화과 실습기자재(자율주행이동로봇 및 협동로봇 테이블) 구입,2023-01-26,,중소벤처기업부 전북기계공업고등학교,전북기계공업고등학교,,1421118,고등학교,전북특별자치도,
입찰-2d47dd89d4f5,물품,2022 영주중앙초등학교 첨단과학실험기자재 및 SW-AI교구 구입 2인이상 견적제출 안내 공고,2023-01-26,,경상북도영주교육청 영주중앙초등학교,영주중앙초등학교,,8811046,초등학교,경상북도,
입찰-e465d95430db,물품,충주공고 전기전자 학과개편 기자재(자율주행로봇) 구매 2단계(규격가격동시) 입찰 공고,2023-01-26,,충청북도교육청 충주공업고등학교,충주공업고등학교,,8000129,고등학교,충청북도,
입찰-0acd1a2c7708,물품,2022학년도 전북하이텍고 삼례공동실습소 기자재(드론진열대외6종) 구입,2023-01-26,,전라북도교육청 전북하이텍고등학교,수소에너지고등학교,,8321268,고등학교,전북특별자치도,
입찰-177b16337043,물품,2022학년도 로봇자동화과 실습기자재(마이크로프로세서 교육훈련장비) 구입,2023-01-27,,중소벤처기업부 전북기계공업고등학교,전북기계공업고등학교,,1421118,고등학교,전북특별자치도,
입찰-2dab14e74ac5,물품,소양고등학교 평판형 전자칠판 물품구매 입찰 공고,2023-01-27,,강원도교육청 소양고등학교,강원생명과학고등학교,,7801102,고등학교,강원특별자치도,
입찰-2dab14e74ac5,물품,소양고등학교 평판형 전자칠판 물품구매 입찰 공고,2023-01-27,,강원도교육청 소양고등학교,강원생명과학고등학교,,7801102,고등학교,강원특별자치도,
입찰-60da0cfa87da,물품,2022학년도 스마트팩토리과 소프트웨어 구매,2023-01-27,,경상남도교육청 마산공업고등학교,마산공업고등학교,,9010165,고등학교,경상남도,
입찰-53be044ecd9e,물품,포항흥해공고 스마트메카닉스과 실습실 안전장치 구매,2023-01-27,,경상북도교육청 포항흥해공업고등학교,포항흥해공업고등학교,,8750670,고등학교,경상북도,
입찰-ba878b62524b,물품,마산공업고등학교 산학일체형 도제학교 소프트웨어 구매,2023-01-27,,경상남도교육청 마산공업고등학교,마산공업고등학교,,9010165,고등학교,경상남도,
입찰-58c91839683b,물품,경남항공고등학교 기자재(군집비행드론 외 2종) 구매 수의계약 안내 공고,2023-01-30,,경상남도교육청 경남항공고등학교,경남항공고등학교,,9010129,고등학교,경상남도,
입찰-946684177b58,물품,2022년 서울공업고등학교 3D프린팅금형과 기자재[3D프린터(SLA)] 구매,2023-01-30,,서울특별시교육청 서울공업고등학교,서울공업고등학교,,7010278,고등학교,서울특별시,
입찰-eb43352debe2,용역,광주제석초등학교 가상현실 스포츠실 구축,2023-01-02,,광주광역시서부교육청 광주제석초등학교,광주제석초등학교,,7402189,초등학교,전남광주통합특별시(광주),
입찰-4bb9bbdeffb2,용역,동성초등학교 특성화 교육과정[코딩로봇교실] 위탁업체 공고,2023-01-02,,부산광역시교육청 부산광역시남부교육지원청 동성초등학교,동성초등학교,,7181069,초등학교,부산광역시,
입찰-2d2c1012e4ed,용역,신례원초등학교 가상현실 스포츠실 구축사업 제안서 제출공고,2023-01-12,,충청남도예산교육청 신례원초등학교,신례원초등학교,,8271027,초등학교,충청남도,
입찰-6b0050211766,용역,동성초등학교 특성화 교육과정[코딩로봇교실] 위탁업체 재공고,2023-01-13,,부산광역시교육청 부산광역시남부교육지원청 동성초등학교,동성초등학교,,7181069,초등학교,부산광역시,
