계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
2023090762828,물품,2023년 10월 서서울생활과학고 급식식자재 납품계약 (곡류),,2740500,서울특별시교육청 서서울생활과학고등학교,서서울생활과학고등학교,도곡농협 라이스센터,7010721,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230913A0C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023090797717,물품,2023. 10월 학교급식물품(친환경 부식) 구매 계약,2023-10-01,6088930,충청북도교육청 충청북도청주교육지원청 옥산초등학교,옥산초등학교,농업회사법인 흙살림푸드 주식회사,8011316,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230913A5B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023090797718,물품,2023. 10월 학교급식물품(친환경 육류) 구매 계약,2023-10-01,4476300,충청북도교육청 충청북도청주교육지원청 옥산초등학교,옥산초등학교,청풍명월조합공동사업법인,8011316,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230913A5C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023090797719,물품,2023. 10월 급식재료(친환경 쌀) 구매 계약,2023-10-01,2103500,충청북도교육청 충청북도청주교육지원청 옥산초등학교,옥산초등학교,청원생명농협쌀조합공동사업법인,8011316,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230913A5D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023090797720,물품,2023. 10월 급식재료(친환경 떡) 구매 계약,2023-10-01,248400,충청북도교육청 충청북도청주교육지원청 옥산초등학교,옥산초등학교,주식회사 떡과풍경,8011316,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230913A5E_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100000179,물품,울산애니원고등학교 2023. 10월 학교급식용 물품 부식 계약,2023-09-22,43956000,울산광역시교육청 울산애니원고등학교,울산애니원고등학교,파워푸드,7480087,고등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023100002C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100000180,물품,울산애니원고등학교 2023. 9월 학교급식용 부식구입 계약,2023-09-27,41544540,울산광역시교육청 울산애니원고등학교,울산애니원고등학교,주식회사 푸드플러스,7480087,고등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230812693_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100000206,물품,경진고등학교 항공우주품질경영시스템교육 라이선스 구입 소액수의 견적 제출 안내 공고,2023-10-05,49500000,경상남도교육청 경진고등학교,경진고등학교,주식회사 오앤오피,9010280,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023100003D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100000878,물품,2023년 10월 대구삼육초등학교 학교 밥상 부식품 구매,2023-10-04,13811200,대구광역시동부교육청 대구삼육초등학교,대구삼육초등학교,소담푸드,7251118,초등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202310000F6_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100000963,물품,2023. 10월 학교급식용 식재료 구매계약,2023-10-04,24834580,충청북도음성교육청 무극초등학교,무극초등학교,음성군청,8101021,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20231000126_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100000971,물품,2023. 10월 학교급식용 식재료 무농약쌀 구매계약,2023-10-04,1560000,충청북도음성교육청 무극초등학교,무극초등학교,음성군청,8101021,초등학교,충청북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20231000130_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001020,물품,2023년 10월 급식 식재료 구매(육류),2023-10-10,14549460,서울특별시교육청 배재고등학교,배재고등학교,주식회사 봄날,7010170,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023100014E_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001021,물품,2023년 10월 급식 식재료 구매(공산품),2023-10-10,74695000,서울특별시교육청 배재고등학교,배재고등학교,(주)정원푸드서비스,7010170,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023100014F_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001022,물품,2023년 10월 급식 식재료 구매(농산물),2023-10-04,11463780,서울특별시교육청 배재고등학교,배재고등학교,주식회사 청마푸드,7010170,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20231000150_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001024,물품,2023년 10월 급식 식재료 구매(김치류),2023-10-10,3913900,서울특별시교육청 배재고등학교,배재고등학교,예당,7010170,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20231000152_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001369,물품,학교 홍보물품 구입 소액수의 견적제출 안내 공고,2023-10-04,9121210,대구광역시교육청 영남공업고등학교,영남공업고등학교,(주)한양전자통신,7240144,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202310001B2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001381,물품,와우초 일반교실 및 특별실 블라인드 구매계약,2023-10-04,6578000,경기도교육청 경기도화성오산교육청 와우초등학교,와우초등학교,잉꼬장식,7679049,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202310001B4_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001393,물품,2023년 10월분 학교급식 우유구매계약,2023-10-04,88800,울산광역시강남교육청 장생포초등학교,장생포초등학교,파워푸드,7501066,초등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202310001C1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001416,물품,2023년 10월분 학교급식 부식구매계약,2023-10-04,4017250,울산광역시강남교육청 장생포초등학교,장생포초등학교,파워푸드,7501066,초등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202310001CD_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001418,물품,"2024학년도 명지중학교(동복 및 하복) 제조 구매(규격,가격 동시입찰) 공고(긴급)",2023-10-06,70400000,서울특별시서부교육청 명지중학교,명지중학교,스마트종로,7031186,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202310001CF_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2023100001425,물품,2023년 9월 중식용 식재료(부식) 수의견적 구매 변경계약,2023-10-06,23603700,울산광역시교육청 울산제일고등학교,울산제일고등학교,(주)샬롬푸드,7480037,고등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023080E19C_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
