시도,수요기관,계약명,계약일,금액,업체명,구분,태그
경북,경상북도교육청 경상북도울진교육지원청,2020년 시설지원담당 오토캐드 구입,2020-02-21,6996000,주식회사 바이탈컴,물품,AutoCAD
경기,경기도교육청 경기도화성오산교육지원청,엑셀 프로그램(MS 오피스365) 구입,2020-02-25,1001880,주식회사 보아시스템,물품,MS Office
부산,부산광역시교육청,2020년 Microsoft 연간 라이선스 구매,2020-03-02,2628780000,주식회사 드림아이티,물품,MS Office
경기,경기도교육청 경기도화성오산교육지원청,엑셀 프로그램(MS 오피스 365) 추가 구입,2020-03-27,66790,주식회사 보아시스템,물품,MS Office
경남,경상남도교육청,2020. 온라인뉴스활용교육(e-NIE) 프로그램 지원 용역,2020-02-26,149500000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
전남,전라남도교육청,사립유치원 정품소프트웨어(MS-OVS-ES) 연간 사용권 구입,2020-04-28,15716800,(주)닷넷소프트,물품,MS Office
전남,전라남도교육청,2020. 정품소프트웨어(MS OVS-ES) 구매,2020-05-25,2008449800,(주)닷넷소프트,물품,MS Office
충남,충청남도교육청,2020년 정품소프트웨어(MS OVS-ES) 라이선스 구매,2020-06-04,1977000000,(주)포스텍,물품,MS Office
경기,경기도교육청,2020년 직업계고등학교 MS제품군 구입,2020-06-09,598000000,주식회사 보아시스템,물품,MS Office
광주,광주광역시교육청,"2020년도 업무용 정품 소프트웨어(MS OVS-ES,한글 SLA) 사용권 구매",2020-06-16,2430000000,(주)닷넷소프트,물품,MS Office
인천,인천광역시교육청,업무용 소프트웨어(MS 제품군) 라이선스 구매,2020-06-16,2553368420,주식회사 소넥스,물품,MS Office
인천,인천광역시교육청,업무용 소프트웨어(한컴오피스 한글) 라이선스 구매,2020-06-18,1740000000,(주)와이즈코아,물품,한컴오피스
제주,제주특별자치도교육청,"2020학년도 아우름정보화 멀티탬,웹캠,한컴오피스2020 구입",2020-08-24,10956500,주식회사 유비커널,물품,한컴오피스
제주,제주특별자치도교육청,"2020학년도 아우름정보화 멀티탬,웹캠,한컴오피스2020 구입",2020-08-31,11217530,주식회사 유비커널,물품,한컴오피스
경기,경기도교육청 경기도가평교육지원청,교육시설팀 소프트웨어(AUTOCAD) 라이선스 구입,2020-09-04,1900000,주식회사 오렌지테크,물품,AutoCAD
경기,경기도교육청 경기도가평교육지원청,2020 보안강화를 위한 웹호스팅교 홈페이지 어도비 플래시 제거 용역,2020-07-23,2145000,(주)케이시크,기술용역,Adobe
충남,충청남도교육청,충남교육청 통합전자도서관 전자자료(학술DB DBpia) 구독,2020-10-27,12000000,주식회사 누리미디어,물품,DBpia
경기,경기도교육청 경기도수원교육지원청,교육시설과 AutoCAD 구매,2020-11-16,7920000,줌인테크,물품,AutoCAD
경기,경기도교육청 경기도양평교육지원청,양평아이(AI)창작소 기자재 구입(EV3),2020-11-18,8695000,(주) 핸즈온테크놀러지,물품,레고 에듀케이션
서울,서울특별시교육청 서울특별시강남서초교육지원청,"초등교육지원과 마이크로비트와 함께하는 코딩놀이터 운영물품(큐빗,핸들빗) 구입",,4636000,주식회사 앱넷,물품,마이크로비트
세종,세종특별자치시교육청,2020년 어도비 소프트웨어 사용권 구매,2020-11-26,13225000,주식회사데이타큐브,물품,Adobe
경남,경상남도교육청,2021년도 업무용 소프트웨어(MS OVS-ES) 사용권 구매,2020-12-09,3005970000,(주)제이소프트기술,물품,MS Office
대구,대구광역시교육청,청내 사무용 소프트웨어(한컴오피스) 구매,2020-12-21,11368500,(주)젠소프트,물품,한컴오피스
인천,인천광역시교육청,중등 교육전문직원 원격 Zoom 연수 라이브방송 용역,2020-12-03,2000000,주식회사 클라스보쇼,기술용역,Zoom
서울,서울특별시교육청 서울특별시성북강북교육지원청,2021년 평생교육건강과 스마트학톡(e알리미)연간사용 용역,2020-12-16,660000,주식회사 이웃닷컴,기술용역,e알리미
충남,충청남도교육청,사립유치원 K-에듀파인 사용을 위한 MS Office 구매,2021-01-14,11114200,(주)포스텍,물품,MS Office
충남,충청남도교육청,사립유치원 K-에듀파인 사용을 위한 한컴오피스 한글 구매,2021-01-14,10872640,(주)위포,물품,한컴오피스
경기,경기도교육청 경기도양평교육지원청,양평아이(AI)창작소 기자재(스파이크프라임) 구입,2021-01-26,9996000,신원경영 주식회사,물품,레고 에듀케이션
강원,강원도교육청,2021년도 도면설계(AUTOCAD) 프로그램 연간 임대 라이선스 구입,2021-02-10,21945000,그루네트웍스,물품,AutoCAD
제주,제주특별자치도교육청,"2021년 정품소프트웨어(한글, MS-오피스) 라이선스 구매",2021-03-26,866668000,(주)제이아이티,물품,MS Office|한컴오피스
경남,경상남도교육청,2021. 온라인뉴스활용교육(e-NIE) 프로그램 지원 용역,2021-02-24,149300000,주식회사 비큐에이아이 (BECU AI Inc.),기술용역,e-NIE
세종,세종특별자치시교육청,세종외국어교육지원센터 YBM리딩팜 온라인 이용권 구매 계약,2021-04-19,5000000,주식회사 와이비엠넷,물품,YBM 리딩팜
대구,대구광역시교육청,2021년 교육용 마인크래프트 사용권 구매,2021-06-03,11340000,주식회사코아인포메이션,물품,마인크래프트 에듀케이션
서울,서울특별시교육청 서울특별시동부교육지원청,행정업무용 소프트웨어 구매(Autocad 3년),2021-06-14,3960000,주식회사 오렌지테크,물품,AutoCAD
광주,광주광역시교육청,e-NIE(온라인 뉴스 활용 교육) 프로그램 제공 용역,2021-06-07,60000000,한국언론진흥재단,기술용역,e-NIE
전북,전라북도교육청,전북교육청 공무교장 표절검사용 카피킬러캠퍼스 사용 계약,2021-06-15,2800000,(주)무하유,기술용역,카피킬러
제주,제주특별자치도교육청,2021학년도 아우름정보화지원 한컴오피스 구매,2021-06-28,11071500,주식회사 유비커널,물품,한컴오피스
서울,서울특별시교육청 서울특별시성북강북교육지원청,[초등] 과학교육센터 메이커스페이스 물품 구입(레고 에듀스파이크 프라임 외 1종),2021-07-08,5400000,(주) 핸즈온테크놀러지,물품,레고 에듀케이션
충남,충청남도교육청 충청남도논산계룡교육지원청,2021 학교지원센터 연계  스마트 가정통신문 e-알리미 사용,2021-06-29,5200000,주식회사 이웃닷컴,기술용역,e알리미
광주,광주광역시교육청,2021년 표절검사 서비스(카피킬러캠퍼스) 연간 이용계약,2021-08-26,20000000,(주)무하유,기술용역,카피킬러
인천,인천광역시교육청,2학기 전면등교 대비 학교 보건교사 직무연수 zoom 생방송 용역,2021-08-27,2695000,주식회사 클라스보쇼,기술용역,Zoom
전남,전라남도교육청 전라남도목포교육지원청,2021 초등학교 AI 맞춤형 온라인 학습 프로그램(아이스크림 홈런) 구입,2021-11-17,2054000,(주)아이스크림에듀,물품,아이스크림 홈런
전남,전라남도교육청 전라남도목포교육지원청,2021 초등학교 AI 맞춤형 온라인 학습 프로그램(밀크티) 구입,2021-11-17,2054000,(주)천재교과서,물품,밀크T
세종,세종특별자치시교육청,2021년 어도비 소프트웨어 사용권 구매,2021-11-18,7308000,주식회사데이타큐브,물품,Adobe
경기,경기도교육청 경기도가평교육지원청,교육시설팀 소프트웨어(AUTOCAD) 라이선스 구입,2021-12-20,2200000,주식회사 오렌지테크,물품,AutoCAD
전남,전라남도교육청 전라남도신안교육지원청,2021. 초등 AI 온라인 학습 프로그램 학습권(아이스크림 홈런),2021-11-01,2370000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도보성교육지원청,2021. 초등AI 맞춤형 온라인 학습 프로그램(아이스크림 홈런) 용역,,2686000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도보성교육지원청,2021. 초등 AI 맞춤형 학습 프로그램(아이스크림 홈런) 용역,2021-11-09,2686000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도보성교육지원청,2021. 초등 AI 맞춤형 학습 프로그램(밀크티) 용역,2021-11-10,2212000,(주)천재교과서,기술용역,밀크T
전남,전라남도교육청 전라남도목포교육지원청,2022년 초등학교  AI 맞춤형 온라인 학습 프로그램(초등아이스크림 에듀),2022-01-14,10270000,(주)아이스크림에듀,기술용역,아이스크림 홈런
전남,전라남도교육청 전라남도목포교육지원청,2022년 초등학교  AI 맞춤형 온라인 학습 프로그램(밀크티),2022-01-14,10270000,(주)천재교과서,기술용역,밀크T
충남,충청남도교육청,2022년 클라우드연계시스템(오피스365) 소프트웨어 유지 관리,2021-12-14,6783000,(주)포스텍,기술용역,MS Office
전북,전라북도교육청,2022년 전자도서관 「학술DB(DBpia)」 사용권 구매 계약,2021-12-31,17928000,주식회사 누리미디어,물품,DBpia
