회계연도,기관명,계약방법,계약명,계약일,계약금액,계약상대자,키워드
2023,광안초등학교,2인이상수의,2023학년도 돌봄교실 프로그램 운영비 지출,2023-01-31,26970000,사단법인 동의애프터스쿨,(전수)
2023,동천고등학교,1인수의,2023학년도 교내 전기안전관리 대행용역비 지출,2023-01-30,5412000,(주)한국나이스이테크,(전수)
2023,송정초등학교,1인수의,2023학년도 1월 방과후학교 강사료 지급,2023-01-25,13674810,사단법인 신라배움나눔공동체,(전수)
2023,송정초등학교,1인수의,2023학년도 1월 방과후학교 교재비 및 재료비 지급,2023-01-25,3223000,사단법인 신라배움나눔공동체,(전수)
2023,덕포초등학교,2인이상수의,"2024년 1-2월 덕포초,삼덕초등학교 농산물, 수산물, 가공식품, 곡류 종합계약 소액수의",2023-01-23,8397940,수정,(전수)
2023,송정초등학교,1인수의,2023학년도 2월 방과후학교 교재 및 재료비 지급,2023-01-20,2544000,사단법인 신라배움나눔공동체,(전수)
2023,송정초등학교,1인수의,2023학년도 방과후학교 2월 강사료 지급,2023-01-20,13227440,사단법인 신라배움나눔공동체,(전수)
2023,동천고등학교,1인수의,2023학년도 교내 소방안전관리 대행용역비 지출,2023-01-10,2376000,주식회사성광소방,(전수)
2023,송수초등학교,1인수의,2023학년도 전기안전관리대행 용역비 지급,2023-02-28,3960000,(주)남부전기안전공단,(전수)
2023,성모여자고등학교,1인수의,2023학년도 전기관리 유지대행 용역료 지급,2023-02-28,4800000,(주)중앙전기관리기술단,(전수)
2023,오션유치원,1인수의,2023년도 공기청정기 임차용역비 지급,2023-02-28,2336400,웅진코웨이(주),(전수)
2023,센텀초등학교,1인수의,2023학년도 기계설비 유지관리용역비 지급,2023-02-28,6540000,(주)세정이엔지,(전수)
2023,센텀초등학교,1인수의,2023학년도 방과후교무실 복사기 렌탈료 지급,2023-02-28,1056000,칼라디지탈OA,(전수)
2023,센텀초등학교,1인수의,2023학년도 본관 및 모듈러교실 무인경비 위탁용역비 지급,2023-02-28,3564000,(주)시티캅,(전수)
2023,센텀초등학교,1인수의,"2023학년도 본관, 모듈러교실 화장실 탈취제 위탁용역비 지급",2023-02-28,3828000,선진B&T,(전수)
2023,센텀초등학교,1인수의,2023학년도 소방설비 안전관리대행 용역비 지급,2023-02-28,2400000,(주)가가이엔지,(전수)
2023,센텀초등학교,1인수의,2023학년도 전산유지보수 위탁 용역비 지급,2023-02-28,7128000,아이엠테크,(전수)
2023,송수초등학교,1인수의,2023학년도 전산장비 및 전산망 유지보수 용역비 지급,2023-02-28,3600000,아이엠테크,(전수)
2023,송수초등학교,1인수의,2023학년도 스탠드형 공기청정기 위탁관리 용역비 지급,2023-02-28,12360000,후드솔로몬,(전수)
2023,송수초등학교,1인수의,2023학년도 방화관리자업무및소방시설유지관리 용역비 지급,2023-02-28,1920000,(주)정엔지니어링,(전수)
2023,성모여자고등학교,1인수의,2023학년도 소방안전관리 위탁 용역료 지급,2023-02-28,2772000,(주)현대방재,(전수)
2023,성모여자고등학교,1인수의,2023학년도 급여회계관리시스템 유지보수 위탁 용역료 지급,2023-02-28,1320000,하나윈,(전수)
2023,충렬고등학교,1인수의,냉난방기 유지보수비 지급(S2B),2023-02-28,7800000,하이엠솔루텍주식회사,(전수)
2023,성모여자고등학교,1인수의,2023학년도 근태관리시스템 유지보수 위탁 용역료 지급,2023-02-28,1320000,(주)에스케이쉴더스 부산지점,(전수)
2023,성모여자고등학교,1인수의,2023학년도 교무실 복사기 임대(렌탈)계약 용역료 지급,2023-02-28,3960000,현대OA시스템,(전수)
2023,성모여자고등학교,1인수의,2023학년도 2월 지역자활센터 인력(도서관 도우미) 파견 용역비 지급,2023-02-28,1100000,부산부산진 지역자활센터,(전수)
2023,송수초등학교,1인수의,2023학년도 방향제 교체 용역비 지급,2023-02-28,2860000,선진B&T,(전수)
2023,송정초등학교,1인수의,돌봄교실 2월 특기적성 프로그램 강사비 지급,2023-02-27,1680000,사단법인 신라배움나눔공동체,(전수)
2023,응봉초등학교,1인수의,[원인] 2023학년도 2월 돌봄교실 특기적성 수업 강사비 지급,2023-02-27,1680000,(사)경성청소년교육진흥원,(전수)
2023,인지중학교,1인수의,2023학년도 무인기계경비용역비 지급,2023-02-27,1980000,(주)시티캅,(전수)
2023,인지중학교,1인수의,2023학년도 사무기기(복사기) 임대료 지급,2023-02-27,10692000,삼흥OA시스템,(전수)
2023,인지중학교,1인수의,2023학년도 소방안전관리 용역비 지급,2023-02-27,1980000,(주)가가이엔지,(전수)
2023,인지중학교,1인수의,2023학년도 전기안전관리용역비 지급,2023-02-27,4356000,(주)부성이엔지,(전수)
2023,인지중학교,1인수의,2023학년도 전산장비유지보수 용역비 지급,2023-02-27,3000000,지앤텍,(전수)
2023,명지중학교,1인수의,2023학년도 무인 기계경비 용역료 지급,2023-02-24,2376000,에스케이쉴더스(주),(전수)
2023,명지중학교,1인수의,2023학년도 소방안전관리 대행 용역비 지급,2023-02-24,2361000,(주) 남경이엔지,(전수)
2023,명지중학교,1인수의,2023학년도 전기안전관리 용역료 지급,2023-02-24,6600000,(주)한국나이스이테크,(전수)
2023,명지중학교,1인수의,2023학년도 전산장비 유지보수 용역비 지급,2023-02-24,5940000,일성시스템,(전수)
2023,부산혜원학교,1인수의,2023학년도 프린터 임대료 지급의 건,2023-02-24,13068000,삼성O.A,(전수)
2023,부산혜원학교,1인수의,"2023학년도 컴퓨터, 네트워크 유지보수 용역비 지급의 건",2023-02-24,4320000,삼성O.A,(전수)
2023,금사중학교,1인수의,2023학년도 무인기계 경비 대금 지출,2023-02-24,2040000,에스케이쉴더스(주) 동부산지점,(전수)
2023,금사중학교,1인수의,2023학년도 복사기 렌탈 대금 지출,2023-02-24,6890400,롯데OA,(전수)
2023,금사중학교,1인수의,2023학년도 소방시설 관리 용역 대금 지출,2023-02-24,1691000,(주) 남경이엔지,(전수)
2023,금사중학교,1인수의,2023학년도 전기안전 관리용역 대금 지출,2023-02-24,3784440,(주)쌍용전기안전공단,(전수)
2023,금사중학교,1인수의,2023학년도 학내망 유지보수 대금 지출,2023-02-24,2376000,한빛정보시스템,(전수)
2023,수영초등학교,1인수의,2023학년도 전산장비(컴퓨터) 유지보수 용역비 지급(S2B),2023-02-24,1750000,알파정보,(전수)
2023,수영초등학교,1인수의,2023학년도 전기안전관리 용역비 지급(S2B),2023-02-24,4235000,(주)쌍용전기안전공단,(전수)
2023,수영초등학교,1인수의,2023학년도 수족관관리 용역비 지급(S2B),2023-02-24,1155000,아쿠아갤러리(AQUA GALLERY),(전수)
2023,수영초등학교,1인수의,2023학년도 소방안전관리 용역비 지급(S2B),2023-02-24,1412160,(주) 남경이엔지,(전수)
2023,수영초등학교,1인수의,2023학년도 복합기 및 프린터 렌탈비 지급(S2B),2023-02-24,4224000,성진IT,(전수)
