계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
PEN-7e4615a7c688,물품,회계 S/W 사용료,2023-02-15,1320000,부산광역시교육청 금정전자고등학교,금샘고등학교,하나윈,7150738,고등학교,부산광역시,
PEN-cf28fc6d57c2,물품,자율동아리 드론영상반 장비구입 요청,2023-03-29,2847000,부산광역시교육청 광명고등학교,광명고등학교,네이버파이낸셜 주식회사,7150123,고등학교,부산광역시,
PEN-3080760fb72b,물품,2023학년도 컴퓨터(노트북) 및 네트워크 유지보수 용역 계약건,2023-03-16,2376000,부산광역시교육청 동주여자고등학교,동주여자고등학교,윤민시스템,7150431,고등학교,부산광역시,
PEN-44d73efe7710,물품,2023학년도 아이엠스쿨 프리미엄 서비스 사용 금액 지출,2023-03-15,1267200,부산광역시교육청 동백중학교,동백중학교,엔에이치엔에듀 주식회사(NHN Edu.Corp.),7211012,중학교,부산광역시,
PEN-fcf8af64de52,물품,2023학년도 E알리미 이용료 지출,2023-03-01,1188000,부산광역시교육청 전포초등학교,전포초등학교,주식회사 이웃닷컴,7181062,초등학교,부산광역시,
PEN-04a7c871f4af,물품,(S2B)2023학년도 리로스쿨 프로그램 이용료 지급,2023-03-01,2640000,부산광역시교육청 동주여자고등학교,동주여자고등학교,주식회사 리로소프트,7150431,고등학교,부산광역시,
PEN-b1a23b42087c,물품,꿈자람교실 전자칠판 이동 및 블렌디드 구축 전자칠판 부대작업 실시,2023-06-19,2241500,부산광역시교육청 부산동여자중학교,부산동여자중학교,준아이티,7181104,중학교,부산광역시,
PEN-df00ed0a743f,물품,드론영상반 장비구입 대금 지급,2023-06-14,1440500,부산광역시교육청 광명고등학교,광명고등학교,네이버파이낸셜 주식회사,7150123,고등학교,부산광역시,
PEN-0ffc267d8d75,물품,YBM 리딩팜 온라인 교육 서비스 이용권,2023-11-13,3000000,부산광역시교육청 부산관광고등학교,부산관광고등학교,주식회사 와이비엠넷,7150422,고등학교,부산광역시,
PEN-9f8622a983bf,물품,2023학년도 디지털기반 선도학교 운영을 위한 물품(교과 AI코스웨어) 구입비 지급,2023-11-01,66240000,부산광역시교육청 송수초등학교,송수초등학교,(주)아이스크림에듀,7211093,초등학교,부산광역시,
PEN-8f33a670670c,물품,(원인) 2023학년도 그린스마트스쿨 스마트 교육환경 물품(집단상담용 테이블(10인용) 구,2023-12-29,6741000,부산광역시교육청 동래원예고등학교,동래원예고등학교,주식회사 위노스,7150170,고등학교,부산광역시,
PEN-a60a9dead197,물품,(원인)2023학년도 미래자동차정비과정 재구조화 컴퓨터 기자재 시스템관리 복구소프트웨어 구,2023-12-29,1061700,부산광역시교육청 부산자동차고등학교,부산자동차마이스터고등학교,부산지방조달청,7150747,고등학교,부산광역시,
PEN-d941096c71ec,물품,(원인)2023학년도 그린스마트스쿨 스마트 교육환경 물품(학생용테이블 외 3종) 구입비 지,2023-12-29,27499900,부산광역시교육청 동래원예고등학교,동래원예고등학교,주식회사 포머스,7150170,고등학교,부산광역시,
PEN-c419ff26780d,물품,"(원인) 2023학년도 그린스마트스쿨 스마트 교육환경 물품 (캐비닛,교구보관하부장 )구입비",2023-12-29,54628400,부산광역시교육청 동래원예고등학교,동래원예고등학교,주식회사 오넥트,7150170,고등학교,부산광역시,
PEN-3b851d3639fb,물품,(원인) 2023학년도 그린스마트스쿨 스마트 교육환경 물품(컴퓨터 책상 외 3종) 구입비,2023-12-29,21567000,부산광역시교육청 동래원예고등학교,동래원예고등학교,주식회사 아모스아인스가구,7150170,고등학교,부산광역시,
PEN-86d52c7e2242,물품,감전초등학교 멘토링 학습공간 구축을 위한 물품 구입비(전자칠판) 지출,2023-12-29,5278350,부산광역시교육청 감전초등학교,감전초등학교,부산지방조달청,7201045,초등학교,부산광역시,
PEN-927ef6c41c46,물품,(원인)2023학년도 그린스마트스쿨 스마트 교육환경 물품(학생용의자) 구입비 지급(G2B),2023-12-29,31285300,부산광역시교육청 동래원예고등학교,동래원예고등학교,(주)베스툴,7150170,고등학교,부산광역시,
PEN-f216d9c39bc4,물품,"2023년 고교학점제 학교공간조성(대강의실,도서실,소강의실) 전자칠판 구입(G2B)",2023-12-28,55738000,부산광역시교육청 부흥고등학교,부흥고등학교,부산지방조달청,7150111,고등학교,부산광역시,
PEN-6d1941d91033,물품,2024학년도 증설 음악실 전자칠판 구입비 지급(조달구매),2023-12-28,5250000,부산광역시교육청 연산초등학교,연산초등학교,주식회사 아하,7191085,초등학교,부산광역시,
PEN-1959243d5352,물품,2023년 과학실 현대화 기자재 구입비 지출(전자칠판),2023-12-27,5240000,부산광역시교육청 반안초등학교,반안초등학교,부산지방조달청,7211087,초등학교,부산광역시,
PEN-7cf1bc918ff9,물품,학생용 태블릿 초기화 및 보호필름 구입,2023-12-22,1815000,부산광역시교육청 인지중학교,인지중학교,지앤텍,7211029,중학교,부산광역시,
PEN-cbbeef5681a0,물품,(원인) 2023학년도 그린스마트스쿨 스마트 교육환경 물품(2인용 학생책상) 구입비 지급(,2023-12-19,4480000,부산광역시교육청 동래원예고등학교,동래원예고등학교,주식회사 스토즈,7150170,고등학교,부산광역시,
PEN-e062768327b6,물품,2023학년도 블렌디드교실 구축 전자칠판 구입비 지출,2023-12-18,31500000,부산광역시교육청 거제초등학교,거제초등학교,(주)오맥스,7191045,초등학교,부산광역시,
PEN-df0f0cefb8e8,물품,(원인) 2023학년도 그린스마트스쿨 스마트 교육환경 물품(학생용 의자) 구입비 지급 (G,2023-12-15,3872000,부산광역시교육청 동래원예고등학교,동래원예고등학교,성진의자,7150170,고등학교,부산광역시,
