제품,구분,근거
3D 스팀펜,국내,에듀집 등록(국내 에듀테크)
AI 505_Face 얼굴인식 로봇,국내,에듀집 등록(국내 에듀테크)
AI CLASS,국내,에듀집 등록(국내 에듀테크)
AI 진로 교육,국내,에듀집 등록(국내 에듀테크)
AI 펭톡,국내,에듀집 등록(국내 에듀테크)
AI 플레도,국내,에듀집 등록(국내 에듀테크)
AI 한자몬,국내,에듀집 등록(국내 에듀테크)
AI·디지털 교육자료,국내,국내 출판사 발행(검정 교과용도서)
AI러닝,국내,국내
AI로봇 아티보,국내,에듀집 등록(국내 에듀테크)
AI아크수학,국내,에듀집 등록(국내 에듀테크)
AI이거다,국내,에듀집 등록(국내 에듀테크)
ALC 학습분석 시스템,국내,에듀집 등록(국내 에듀테크)
ANSYS,해외,Ansys(미국)
Adobe,해외,Adobe(미국)
AutoCAD,해외,Autodesk(미국)
Bitly,해외,Bitly(미국)
BookWidgets,국내,에듀집 등록(국내 에듀테크)
CATIA,해외,Dassault Systèmes(프랑스)
CLASSVR,국내,에듀집 등록(국내 에듀테크)
Canva,해외,Canva(호주)
CapCut,해외,ByteDance(중국)
ChatGPT,해외,OpenAI(미국)
Claude,해외,Anthropic(미국)
Cursor,해외,Anysphere(미국)
DBpia,국내,누리미디어(국내)
DG1S,국내,국내 교구
EdgeCAM,해외,Hexagon(스웨덴/영국)
Figma,해외,Figma(미국)
G-CNC,국내,국내 CAM
GPT킬러,국내,무하유(국내)
GV-CNC,국내,에듀집 등록(국내 에듀테크)
Gamma,해외,Gamma Tech(미국)
Gemini,해외,Google(미국)
Ghost,해외,Broadcom·Symantec(미국)
Google AI Pro,해외,Google(미국)
Google Colab,해외,Google(미국)
Google Workspace,해외,해외 제품(이름으로 확인)
KAIST 공동 AP,국내,KAIST(국내)
KISS,국내,에듀집 등록(국내 에듀테크)
KRpia,국내,에듀집 등록(국내 에듀테크)
KT AI 코디니,국내,에듀집 등록(국내 에듀테크)
KT AICE,국내,KT(국내)
M-AI 코딩,국내,에듀집 등록(국내 에듀테크)
M-AI 학습플랫폼,국내,에듀집 등록(국내 에듀테크)
MATLAB,해외,MathWorks(미국)
MS Office,해외,Microsoft(미국)
Mathematica,해외,Wolfram(미국)
Meshy AI,국내,에듀집 등록(국내 에듀테크)
Midjourney,해외,Midjourney(미국)
Miro,해외,Miro(네덜란드·미국)
Movavi,국내,에듀집 등록(국내 에듀테크)
NE_Times,국내,에듀집 등록(국내 에듀테크)
NE능률 AI·디지털 교육자료,국내,NE능률(국내 출판사)
Notion,해외,Notion Labs(미국)
OrCAD,국내,에듀집 등록(국내 에듀테크)
Padlet,해외,Padlet(미국)
Perplexity,해외,Perplexity AI(미국)
Readdy AI,해외,Readdy(해외 서비스)
Replit,해외,Replit(미국)
Scratch,해외,MIT(미국)
SolidCAM,해외,SolidCAM(이스라엘)
SolidWorks,해외,Dassault Systèmes(프랑스)
Suno,해외,Suno(미국)
Symantec,해외,Broadcom(미국)
Talking Class,국내,국내 영어회화 서비스
Tinkercad,해외,Autodesk(미국)
Typecast,국내,네오사피엔스(국내)
Unity,해외,Unity(미국·덴마크)
V-AMT,국내,에듀집 등록(국내 에듀테크)
VINU,국내,국내
WeToon,국내,에듀집 등록(국내 에듀테크)
WeeAI,국내,에듀집 등록(국내 에듀테크)
Wolfram Alpha,해외,Wolfram(미국)
Wordwall,해외,Wordwall(영국)
XR쇼룸,국내,에듀집 등록(국내 에듀테크)
XR스크린,국내,에듀집 등록(국내 에듀테크)
YBM AI·디지털 교육자료,국내,YBM(국내 출판사)
YBM 리딩팜,국내,에듀집 등록(국내 에듀테크)
Yennefer Labs,국내,국내 스타트업
Zoom,해외,Zoom(미국)
e-NIE,국내,에듀집 등록(국내 에듀테크)
e알리미,국내,에듀집 등록(국내 에듀테크)
inline AI,국내,에듀집 등록(국내 에듀테크)
강원아이로,국내,에듀집 등록(국내 에듀테크)
곰믹스,국내,곰앤컴퍼니(국내)
곰이지패스 비즈니스,국내,에듀집 등록(국내 에듀테크)
곰캠,국내,곰앤컴퍼니(국내)
교보문고 전자도서관,국내,교보문고(국내)
교학사 AI·디지털 교육자료,국내,교학사(국내 출판사)
구름EDU,국내,에듀집 등록(국내 에듀테크)
그림한글 받아쓰기,국내,에듀집 등록(국내 에듀테크)
금성출판사 AI·디지털 교육자료,국내,금성출판사(국내 출판사)
기출탭탭,국내,에듀집 등록(국내 에듀테크)
김킷,국내,국내 교구
네오봇,국내,국내 로봇
네오봇 에듀 스마트,국내,에듀집 등록(국내 에듀테크)
네오쏘코,국내,에듀집 등록(국내 에듀테크)
네이버 웨일 스페이스,국내,네이버(국내)
네프론,국내,수퍼빈(국내)
넷서포트 스쿨 (NetSupport School),국내,에듀집 등록(국내 에듀테크)
넷클래스,국내,국내
누리놀이,국내,에듀집 등록(국내 에듀테크)
