제품명,학교,시도,계약명,업체,일자,출처
SMART,광주자동화설비공업고등학교,,광주자동화설비공업고등학교 실험실습 기자재(Smart Electromechanical Training System 외 1종) 구입,새한테크놀로지주식회사,2023-01-09,나라장터
SMART,율곡중학교,강원특별자치도,3학년 진로캠프(학업향상  SMART자기주도 학습캠프) 용역 요청,꿈찾기운동본부,2023-07-11,나라장터
SMART,석성초등학교,,2024학년도 석성  Smart Science Festival 용역 계약,에스티(ST)사이언스,2024-04-03,나라장터
SMART,청옥초등학교,경기도,2024학년도 청옥 Smart Science Festival 용역,스팀사이언스,2024-05-13,나라장터
SMART,김포고등학교,경기도,2024년 김포고 SMART프로그램 응용실험 운영,세종과학아카데미 협동조합,2024-11-29,나라장터
SMART,인천청람초등학교,인천광역시,SMART 미래교실 구축공사 감리용역,주안건축사사무소,2026-01-06,나라장터
SMART,인천청람초등학교,인천광역시,SMART 미래교실 구축공사 감리용역,주안건축사사무소,2026-01-06,나라장터
전자칠판,하남중학교,,하남중 미래형과학실 구축 전자칠판 구입,주식회사 삼성엠피에스,2023-01-04,나라장터
전자칠판,선덕여자중학교,경상북도,선덕여자중학교 전자칠판(본체 및 이동형 스탠드)  구매건,(주)삼성엠앤에스,2023-01-04,나라장터
전자칠판,도래울고등학교,경기도,국어교과교실 전자칠판용 OPS PC 구입 계약,주식회사 스마트터치,2023-01-06,나라장터
전자칠판,충암고등학교,서울특별시,전자칠판 구매 설치 신청,주식회사 티원엘에스,2023-01-31,나라장터
전자칠판,은석초등학교,서울특별시,2022학년도 영어교실 전자칠판 물품 구입,주식회사 유겐트,2023-01-06,나라장터
전자칠판,선화예술중학교,서울특별시,선화예술중학교 2022학년도 전자칠판 구매 계약,(주)케이에이치그룹한국역사문화원,2023-01-06,나라장터
전자칠판,미포초등학교,울산광역시,2022학년도 융합형 선진교실(전자칠판)구축을 위한 법랑화이트보드 구입 건,주식회사 뉴퍼스,2023-01-09,나라장터
전자칠판,정산고등학교,충청남도,정산고등학교 고교학점제 지능형교실 전자칠판 삽입용 ops pc 물품 계약,주식회사 조은아이티,2023-01-12,나라장터
전자칠판,대성중학교,서울특별시,대성중 도서실환경개선 전자칠판 구매,(주)테크커넥트,2023-01-13,나라장터
전자칠판,매곡초등학교,울산광역시,매곡초 융합형 선진교실 구축 교실등 전자칠판 설치 관련 화이트보드판 구매 계약,(주)월드퍼니처,2023-02-03,나라장터
전자칠판,울산공업고등학교,울산광역시,전자칠판 조성을 위한  OPS 및 미니PC 구매 변경계약,울산미디어통신,2023-01-16,나라장터
전자칠판,영훈고등학교,서울특별시,영훈고 영어교과교실 전자칠판 보조장 구매,주식회사 비엘산업,2023-01-17,나라장터
