계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024010012257,물품,2023년 광양제철중학교 AI 선도학교 물품(코드론EDU) 구매,2024-01-02,4647400,전라남도광양교육청 광양제철중학교,광양제철중학교,8552016,중학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401002BE_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,로보링크주식회사
2024010012321,물품,경상공업고등학교 CAM 소프트웨어 구입,2024-01-08,22278900,대구광역시교육청 경상공업고등학교,경상공업고등학교,7240126,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401002CC_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,조아텍(JOA)
2024010013703,물품,기지초등학교 구글 워크스페이스 소프트웨어 구입 계약,2024-01-10,16000000,충청남도당진교육청 기지초등학교,기지초등학교,8291021,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240100615_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 아이코어이앤씨
2024010014450,물품,광주소프트웨어마이스터고 실험실습 기자재 AI AMR 구입,2024-01-03,157380000,광주광역시교육청 광주소프트웨어마이스터고등학교,광주소프트웨어마이스터고등학교,7140392,고등학교,전남광주통합특별시(광주),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=242430004_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 티포러스
2024010031558,물품,경민IT고등학교 온코딩 드림메이커B반 PC재료 구입,2024-01-03,1771000,경기도교육청 경민IT고등학교,경민IT고등학교,7530995,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401010B9_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 시선테크인
2024010034186,물품,2024년도 Adobe Software 구입,2024-01-30,5060000,경기도교육청 경기게임마이스터고등학교,경기게임마이스터고등학교,7531377,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401016B6_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 후니테크
2024010035166,물품,명천초등학교 AI 융합교육과정 이끎학교 교구 구입 견적 공고,2024-01-03,19400000,충청남도교육청 충청남도보령교육지원청 명천초등학교,명천초등학교,8171019,초등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010190F_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,유니플러스
2024010035518,물품,"2024학년도 광주소프트웨어마이스터고등학교 교복(동복, 하복, 생활복) 구매 계약",2024-01-04,22933000,광주광역시교육청 광주소프트웨어마이스터고등학교,광주소프트웨어마이스터고등학교,7140392,고등학교,전남광주통합특별시(광주),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401019CD_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,배추네쌈밥&amp;오이텐
2024010036197,물품,항공산업과 기자재(시뮬레이션 소프트웨어) 구매,2024-01-04,32340000,경상남도교육청 삼천포공업고등학교,삼천포공업고등학교,9010139,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240101B81_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 에이원테크놀로지
2024010054612,물품,2023년 디지털 선도학교 지원 AI코스웨어 계약,2024-01-05,6540530,경기도교육청 경기도부천교육지원청 부천역곡초등학교,부천역곡초등학교,7581070,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240102137_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 비오엠아이
2024010055595,물품,무정초등학교 AI교실 구축물품 구매  계약(재공고),2024-01-04,73894600,전라남도담양교육청 무정초등학교,무정초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010222C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,마린아트
2024010119507,물품,영주고등학교 비대면 AI면접기 구입,2024-01-08,38000000,경상북도교육청 영주고등학교,영주고등학교,9290089,고등학교,제주특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401047A4_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 이노스피치
2024010141470,물품,2024 실습기자재 및 교직원용 Adobe 라이선스 구입,2023-12-29,13545000,경기도교육청 한봄고등학교,한봄고등학교,7531327,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202401052E6_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 후니테크
2024010153636,물품,2023학년도 장성고 AI로봇 구입,2024-01-10,19910000,전라남도교육청 장성고등학교,장성고등학교,7140238,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240105B29_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,영인모빌리티 주식회사
2024010156978,물품,"천안상업고등학교 AI, SW 교구 및 드론 구매",2024-01-11,71100000,충청남도교육청 천안상업고등학교,천안상업고등학교,8140358,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240105DDF_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,유니플러스
2024010187231,물품,2023. 산학일체형 도제학교 실습기자재(CAM소프트웨어) 구매 계약,2024-01-12,15840000,경상남도교육청 경남자동차고등학교,경남자동차고등학교,9010335,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240106E9C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 프로테크코리아
2024010258157,물품,2023학년도 IT소프트웨어과 클라우드PC 소프트웨어 및 네트워크 기자재 구입,2024-01-12,13909730,경기도교육청 수원정보과학고등학교,수원정보과학고등학교,7530899,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240108A0A_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 나눔아이티
2024010259817,물품,배곧초등학교 겨울방학 전기자동차 코딩캠프 물품 구매 계약,2024-01-12,7500000,경기도교육청 경기도시흥교육지원청 배곧초등학교,배곧초등학교,7781137,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240108B2E_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,(주)씨스코
2024010260511,물품,인공지능(AI)실 가구 납품 및 설치,2024-01-12,12200000,경상북도교육청 길원여자고등학교,길원여자고등학교,8750154,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240108BB2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 청호퍼니쳐
2024010307166,물품,에듀테크 공간조성을 위한 전자칠판 구입,2024-01-16,3000000,경기도교육청 성남테크노과학고등학교,성남테크노과학고등학교,7531256,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240109EDD_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 글로벌비투비
2024010341183,물품,2023학년도 양산초 AI교실 구축 비품 구매,2024-01-17,27572600,전라남도나주교육청 양산초등학교,양산초등학교,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010BEE8_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,마린아트
2024010345355,물품,IT 전자과 기자재(3D CAD 소프트웨어) 구매 소액수의 견적제출 안내 공고,2024-01-18,35537700,경상북도교육청 문경공업고등학교,문경공업고등학교,8750246,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010C9C6_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 프로랩
2024010345506,물품,광운인공지능고 도제학교 인공지능소프트웨어과 기자재 교육훈련장비 구입,2024-01-17,31350000,서울특별시교육청 광운인공지능고등학교,광운인공지능고등학교,7011505,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010CA46_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,씨앤디아이 주식회사
2024010360763,물품,ANSYS 물리시뮬레이션 프로그램 라이센스 갱신,2024-01-19,12690000,대구광역시교육청 대구과학고등학교,대구과학고등학교,7240060,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010D06B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,(주)더블유에이치솔루션
2024010363651,물품,디지털온(溫) 선도학교 리딩앤 구독권 구입,2024-01-18,7380000,경상북도교육청 경북과학고등학교,경북과학고등학교,8750078,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024010D851_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,주식회사 아이포트폴리오
