계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE07852713,물품,2025학년도 융합교육 S/W CHAT GPT 사용 계약 건,2025-10-10,4089900,경기도교육청 경기경영고등학교,경기경영고등학교,7531275,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00953607&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07887507,물품,2025학년도 융합교육 S/W CHAT GPT 사용 계약 건,2025-10-10,4089900,경기도교육청 경기경영고등학교,경기경영고등학교,7531275,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00953607&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07891058,물품,SW-AI-메이커 수업/연구용 키트 구매 계약,2025-09-25,13993170,대구광역시교육청 대구과학고등학교,대구과학고등학교,7240060,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00942136&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07891233,물품,2025학년도 영덕초등학교 청개구리 수업재료(4학년-코딩드론) 구입계약,2025-09-01,10360000,경기도수원교육청 영덕초등학교,영덕초등학교,7541099,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00937967&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07891355,물품,한빛누리고등학교 2025학년도 [AI교실 구축 및 미래 인재 양성교육 사업]  다용도 로봇 부품 제작기 구매,2025-10-13,5089000,경기도교육청 한빛누리고등학교,한빛누리고등학교,7531463,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00956396&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07892438,물품,한빛누리고등학교 2025학년도 [AI교실 구축 및 미래 인재 양성교육 사업] 관련 인공지능 코딩 로봇 구매,2025-09-26,3915000,경기도교육청 한빛누리고등학교,한빛누리고등학교,7531463,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00946308&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07894232,물품,낙생초 AI디지털 페스티벌 프로그램 계약,2025-05-12,7000000,경기도성남교육청 낙생초등학교,낙생초등학교,7551164,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00518285&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07894229,물품,낙생초 AI코딩수업 교구 구입 계약,2025-05-12,6600000,경기도성남교육청 낙생초등학교,낙생초등학교,7551164,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00518559&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07894950,물품,한빛누리고등학교 2025학년도 [AI교실 구축 및 미래 인재 양성교육 사업]  3D 프린터 구매,2025-10-13,2188000,경기도교육청 한빛누리고등학교,한빛누리고등학교,7531463,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00957186&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R25TE07898119,물품,한빛누리고등학교 2025학년도 [AI교실 구축 및 미래 인재 양성교육 사업]  스마트 충전함 구매,2025-10-13,2190000,경기도교육청 한빛누리고등학교,한빛누리고등학교,7531463,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00957439&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
