계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
R26TE13527876,물품,2026년 AI 디지털 교육자료 구입,2026-03-01,50544000,경상북도교육청 경상북도구미교육청 옥계동부초등학교,옥계동부초등학교,(주)천재교과서,8801117,초등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01693129&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13527897,물품,2026년 AI 디지털 교육자료 구입,2026-03-01,50544000,경상북도교육청 경상북도구미교육청 옥계동부초등학교,옥계동부초등학교,(주)천재교과서,8801117,초등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01693129&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13527924,물품,2026년 AI 디지털 교육자료 구입,2026-03-01,50544000,경상북도교육청 경상북도구미교육청 옥계동부초등학교,옥계동부초등학교,(주)천재교과서,8801117,초등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01693129&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13529961,물품,2026학년도 DBPIA 구독,2026-04-01,1170000,서울특별시교육청 경기여자고등학교,경기여자고등학교,주식회사 누리미디어,7010060,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01691807&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13530051,물품,2026학년도 청덕초 도서실 정기간행물 연간 구독 계약,2026-03-31,1185300,경기도교육청 경기도용인교육청 청덕초등학교,청덕초등학교,주식회사 나이스북,7751224,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01687636&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13530236,물품,농소중학교 2026학년도 수학 코스웨어 구입,2026-03-05,10000000,울산광역시강북교육청 농소중학교,농소중학교,주식회사 프리윌린,7491151,중학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01697593&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13530430,물품,농소중학교 2026학년도 수학 코스웨어 구입,2026-03-05,10000000,울산광역시강북교육청 농소중학교,농소중학교,주식회사 프리윌린,7491151,중학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01697593&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13533199,물품,농소중학교 2026학년도 수학 코스웨어 구입,2026-03-05,10000000,울산광역시강북교육청 농소중학교,농소중학교,주식회사 프리윌린,7491151,중학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01697593&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13537191,물품,교내 AI형 CCTV 구매(혁신제품),2026-04-01,47500000,전라남도교육청 전남체육고등학교,전남체육고등학교,주식회사 넷온,7140209,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01699725&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
R26TE13537268,물품,보인고등학교 AI 융합형 교육실 조성공사 가구구매,2026-04-01,9960000,서울특별시교육청 보인고등학교,보인고등학교,(주)도노퍼니쳐,7010813,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01697678&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
