계약번호,구분,계약명,계약일,금액,수요기관,학교코드,급별,시도,상세URL,학교명,업체명
R26TE15932763,물품,2026 백양고 AI 및 수학 탐구 교실 프로그램 구입,2026-06-24,6505000,경기도교육청 백양고등학교,7530472,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01984911&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,백양고등학교,주식회사 교육문화
R26TE15933548,물품,2026학년도  컴퓨터응용기계과 실습기자재(EdgeCAM 소프트웨어) 구입 소액수의(견적) 공고,2026-06-22,92344000,경상남도교육청 창원기계공업고등학교,9010151,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01987842&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,창원기계공업고등학교,주식회사 에이원테크놀로지
R26TE15935190,물품,AI 지능형 보안솔루션 구축사업-융복합음향탐지기 구입,2026-06-19,25000000,경기도교육청 경일고등학교,7531618,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01984880&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,경일고등학교,주식회사 크랜베리
R26TE15936768,물품,2026학년도 1학기 수익자 방과후프로그램(AI로봇) 재료 구매 계약,2026-06-26,6925000,경기도용인교육청 풍덕초등학교,7751120,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01988803&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,풍덕초등학교,에이에스에듀
R26TE15938061,물품,Adobe 소프트웨어 라이센스 구매 계약,2026-06-22,7837500,경기도교육청 평촌경영고등학교,7531049,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01978934&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,평촌경영고등학교,주식회사 후니테크
R26TE15943261,물품,소프트웨어 라이선스(Adobe) 구매 계약,2026-06-23,11536800,경기도교육청 일산국제컨벤션고등학교,7531050,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01990655&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,일산국제컨벤션고등학교,주식회사 후니테크
R26TE15944657,물품,소프트웨어 라이선스(Adobe) 구매 계약,2026-06-23,11536800,경기도교육청 일산국제컨벤션고등학교,7531050,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01990655&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,일산국제컨벤션고등학교,주식회사 후니테크
R26TE15945934,물품,서울월계초등학교 AI실 구축에 따른 비품 구입 계약,2026-06-18,17725000,서울특별시북부교육청 서울월계초등학교,7051151,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01980150&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,서울월계초등학교,주식회사 뉴퍼스
R26TE15977488,물품,2026 백양고 AI 및 수학 탐구 교실 프로그램 구입,2026-06-24,6505000,경기도교육청 백양고등학교,7530472,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01984911&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,백양고등학교,주식회사 교육문화
R26TE15977980,물품,전공부 실습기자재 구입(PCB 설계 통합 소프트웨어),2026-06-23,14300000,중소벤처기업부 구미전자공업고등학교,1421116,고등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01992482&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,구미전자공업고등학교,코아원
