계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL,태그
2023010022293,물품,2022 스마트전기과 스마트모빌리티실 교육기자재 구매,2023-01-03,256100000,대구광역시교육청 대구과학기술고등학교,대구과학기술고등학교,주식회사 에스피지코리아,7240452,고등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=232330002_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010024481,물품,메이커스페이스(창업지원관) 로봇동아리 활동 재료 구입,2023-01-02,2998500,경기도교육청 일산고등학교,일산고등학교,주식회사 로보라이즌,7530852,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230100918_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,로봇·교구·키트
2023010024853,물품,진주기계공업고 항공기계과 기자재(교육용 드론) 구매,2023-01-03,32505000,경상남도교육청 진주기계공업고등학교,진주기계공업고등학교,플러스,9010147,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301009C2_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,드론
2023010024890,물품,2022학년도 실습실 기자재(신산업 환경구축-드론) 구입,2023-01-03,10615000,충청남도교육청 충남드론항공고등학교,충남드론항공고등학교,주식회사 경기항공,8140459,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301009F9_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,드론|인프라(교실·설비)
2023010026530,물품,2022학년도 스마트 건강관리교실 구축 물품 구입,2023-01-03,27528000,서울특별시강서교육청 신목중학교,신목중학교,주식회사 이엔씨아이티,7081502,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230100D5C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010040487,물품,2022학년 청림초 방과후학교 4분기 교재구매계약(로봇과학),2023-01-03,2500000,경기도교육청 경기도화성오산교육지원청 청림초등학교,청림초등학교,과학영재스쿨,7679420,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230100F21_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,로봇·교구·키트
2023010042252,물품,(서울발산초)창의융합형 과학실험실 정보화기기 구입(크롬북),,6055990,서울특별시강서교육청 서울발산초등학교,서울발산초등학교,주식회사 디코랩,7081441,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301011CF_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010042262,물품,"(긴급)북일여자고등학교 수업용 스마트기기(태블릿컴퓨터 iOS, 데스크톱,노트북등)및 구성품 구매 계약",2023-01-03,205179000,충청남도교육청 북일여자고등학교,북일여자고등학교,주식회사 빛나는교육,8140271,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301011E0_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010042554,물품,스마트 단말기 유지보수 관리물품(태블릿 펜 및 팬촉) 구입 계약건,,2215000,경기도교육청 경기도동두천교육청 덕현중학교,덕현중학교,주식회사 시선테크인,7602022,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101282_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010043863,물품,광주소프트웨어마이스터고 실험실습기자재(AI물체인식 체험시스템 외 3종) 구입,2023-01-06,168740000,광주광역시교육청 광주소프트웨어마이스터고등학교,광주소프트웨어마이스터고등학교,(주)와우시스템,7140392,고등학교,전남광주통합특별시(광주),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=242330010_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,SW·플랫폼(제품명 미상)
2023010044876,물품,양지중 교육정보부 크롬북 펜 구입 계약,2023-01-04,1984000,경기도교육청 경기도안산교육지원청 양지중학교,양지중학교,주식회사 리퓨터,7611021,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301017F4_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010045158,물품,스마트 단말기 유지보수 관리물품(태블릿 펜 및 팬촉) 구입 계약건,2023-01-03,2215000,경기도교육청 경기도동두천교육청 덕현중학교,덕현중학교,주식회사 시선테크인,7602022,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301018D1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010045344,물품,하남중 미래형과학실 구축 전자칠판 구입,2023-01-04,4550000,경기도교육청 경기도광주하남교육청 하남중학교,하남중학교,주식회사 삼성엠피에스,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101933_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010063427,물품,2022학년도 인천재능고 스마트통신과 기자재(칠판보조장) 구입 계약,2023-01-04,6800000,인천광역시교육청 인천재능고등학교,인천재능고등학교,주식회사 신아퍼니처,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101C86_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010065195,물품,어도비소프트웨어 구매 계약,2023-01-04,7568000,경기도교육청 성남금융고등학교,성남금융고등학교,주식회사 후니테크,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101D5B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,Adobe
2023010066130,물품,정보화 기자재 물품 구매 계약,2023-01-04,2871000,경기도안양교육청 귀인중학교,귀인중학교,주식회사 세연아이씨티,7569056,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101E04_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010066878,물품,선덕여자중학교 전자칠판(본체 및 이동형 스탠드)  구매건,2023-01-04,54500000,경상북도경주교육청 선덕여자중학교,선덕여자중학교,(주)삼성엠앤에스,8771133,중학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101E64_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010066888,물품,세명컴퓨터-2022학년도 학교 정보화기기 보급 관리 기자재 확충 계약(노트북),2023-01-04,23352000,서울특별시교육청 세명컴퓨터고등학교,세명컴퓨터고등학교,좋은친구들,7010537,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20221215406_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010067117,물품,영어 수업프로그램(리딩게이트) 구입 계약,2023-01-04,5000000,경기도교육청 경기도화성오산교육지원청 화성청계초등학교,화성청계초등학교,주식회사 리딩게이트,7679338,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101E96_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,리딩게이트
2023010068168,물품,아이엠스쿨 서버 사용권 구입(1년),2023-01-04,1267200,경기도교육청 초지고등학교,초지고등학교,엔에이치엔에듀 주식회사,7530478,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230101F54_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,아이엠스쿨
2023010069753,물품,영광공업고등학교 실습동 홍보관 물품(VR 6축 모션 시뮬레이터 외 1종) 구입,2023-01-05,45947630,전라남도교육청 영광공업고등학교,영광공업고등학교,조앤테크,7140298,고등학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023010205A_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,VR/XR 장비
2023010071557,물품,경기예술고 태블릿PC(구성품 포함) 구매 계약,2023-01-05,38360000,경기도교육청 경기예술고등학교,경기예술고등학교,주식회사 빛나는교육,7530569,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230102250_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010071961,물품,2022년 직업계고 학과 재구조화 자동화기계과 실습 필요물품(노트북) 구입,2023-01-10,14100000,충청남도교육청 금산하이텍고등학교,금산하이텍고등학교,삼보OA정보통신디지털프라자,8140343,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023010234B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010072453,물품,경인고 스마트건강관리교실 기자재 구매 계약,2023-01-03,20101000,서울특별시교육청 경인고등학교,경인고등학교,주식회사 엠지스포츠,7010563,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023010249D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010073321,물품,부일전자디자인고등학교 실험실습기자재(로봇실험장치외 3종) 구입,2023-01-13,204000000,부산광역시교육청 부일전자디자인고등학교,부일전자디자인고등학교,이투아이,7150346,고등학교,부산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301026DF_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,로봇·교구·키트
2023010073329,물품,특성화실 구축사업 AI미래교육센터 기자재 구입- 멀티로봇 실습장비 외 2종,2023-01-05,33450000,경기도교육청 경민IT고등학교,경민IT고등학교,모두플래닛,7530995,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301026F0_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,로봇·교구·키트|인프라(교실·설비)
2023010073330,물품,효자초 가상현실(VR) 스포츠실 구축 물품 구입,2023-01-09,18965000,경기도용인교육청 효자초등학교,효자초등학교,주식회사 코드리치,7751124,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301026F1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,VR/XR 장비
2023010073632,물품,신현중학교 학생용 태블릿 소모품 구입,2023-01-04,1300000,경기도교육청 경기도광주하남교육지원청 신현중학교,신현중학교,주식회사 포유디지탈,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301027B1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010074133,물품,2022학년도 실습실 기자재(신산업 환경구축-열화상 매핑 드론) 구입,2023-01-05,9420500,충청남도교육청 충남드론항공고등학교,충남드론항공고등학교,"주식회사 엠지아이티(MGIT Co.,Ltd.)",8140459,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202301028ED_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,드론|인프라(교실·설비)
2023010074681,물품,천안월봉고등학교 태블릿컴퓨터(iOS) 및 구성품 구매,2023-01-10,481670900,충청남도교육청 천안월봉고등학교,천안월봉고등학교,주식회사 빛나는교육,8140214,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202232045CF_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010088305,물품,광주수피아여고 컴퓨터실 현대화사업 가구제작,2023-01-05,19217000,광주광역시교육청 광주수피아여자고등학교,광주수피아여자고등학교,사단법인중증장애인복지협회도둠,7140336,고등학교,전남광주통합특별시(광주),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230102C33_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010091034,물품,2022학년도 정보화기기 및 외국어실 기자재(데스크톱컴퓨터) 입찰공고,2023-01-06,39759000,서울특별시교육청 서울매그넷고등학교,서울매그넷고등학교,주식회사 주연테크,7011506,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230102E00_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
2023010091106,물품,한림공업고등학교 전자과 실습기자재(드론) 구매,2023-01-10,45333000,제주특별자치도교육청 한림공업고등학교,한림공업고등학교,주식회사 스카이뷰,,,,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=392330003_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,드론
2023010095991,물품,숭문고 태블릿컴퓨터 및 충전함 구매 계약,2023-01-05,71174400,서울특별시교육청 숭문고등학교,숭문고등학교,케이엠상사,7010202,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023010307A_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)|기기(PC·태블릿·전자칠판 등)
2023010096286,물품,광운인공지능고 자동제어시스템운영실 구축 스마트팜 설치,2023-01-05,82258000,서울특별시교육청 광운인공지능고등학교,광운인공지능고등학교,주식회사 엔씽,7011505,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230103090_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010098746,물품,2022학년도 인공지능교육 선도학교 실습기자재(로보마스터 등) 구입,2023-01-09,27000000,세종특별자치시교육청 한솔고등학교,한솔고등학교,엘위드,9300058,고등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20230103277_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
2023010100765,물품,3D 프린터 소모품 구입 계약,2023-01-05,2885850,경기도교육청 도래울고등학교,도래울고등학교,신도리코고양OA프라자,7531165,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2023010343D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,3D 프린팅/CAD
