계약번호,계약구분,거래구분,계약명,기관명,공고일,계약일,금액,시도,업체명
S2BA202001140002-E00,입찰(낙찰),용역,2019정읍시지역으뜸인재육성사업(중학교) 드림창의캠프 용역(스키캠프) 입찰 공고(긴급),호남중학교,2020-01-14,2020-01-21,22700000,,유한회사 월드레포츠
S2BA202001300002-A00,입찰(계약),물품,건대부중 컴퓨터실 교육용 PC(일체형) 구매,건국대학교사범대학부속중학교,2020-01-30,2020-02-10,28558500,,더아이티
S2BA202001140004-A00,입찰(계약),물품,예림디자인고 애니메이션과 실습용 그래핏태블릿 구매 견적서제출 공고,예림디자인고등학교,2020-01-14,2020-02-19,41876000,,(주)큐벡스미디어
S2BA202001090001-A01,입찰(낙찰),물품,[재입찰] 2020학년도 다산중학교 교복 구매 입찰 공고,다산중학교,2020-01-10,2020-02-20,292000,,고령교복사
S2BA202004160001-A00,입찰(계약),물품,외식조리과 실습 기자재,동산정보산업고등학교,2020-04-16,2020-05-04,10135850,,비엘커피
S2BA202004140001-A00,입찰(계약),물품,뷰티아트과 1학기 실습 재료,동산정보산업고등학교,2020-04-14,2020-05-07,14006573,,영재마트
S2BA202004230001-A00,입찰(계약),물품,2020학년도 1분기 실험실습재료 구매 소액수의 전자견적 제출 안내 공고,휘경공업고등학교,2020-04-24,2020-05-12,29341404,,에이치필
S2BA202004290002-A01,입찰(낙찰),물품,[재입찰] 2020년 제1차 도서구입 신청,서울고명초등학교,2020-04-29,2020-05-12,7695130,,상암누리문고(구 망원문고)
S2BA202004200001-E00,입찰(계약),물품,서울디지텍고 1분기 실험실습재료소모품 구입 입찰공고,서울디지텍고등학교,2020-04-20,2020-05-18,8872820,,협성산업사
S2BA202005070005-A00,입찰(계약),물품,영천전자고 상반기 실험실습재료 구입,영천전자고등학교,2020-05-08,2020-05-21,17379870,,YK시스템
S2BA202005070004-A00,입찰(계약),물품,영천전자고 명장 공방 기자재구입(전자회로시뮬레이션 및 PCB디자인 소프트웨어),영천전자고등학교,2020-05-08,2020-05-27,21670000,,조아텍(JOA)
S2BA202005170001-A00,입찰(계약),물품,전자기계과 실습기자재 구입,충남기계공업고등학교,2020-05-18,2020-06-03,54000000,,주식회사 프로랩
S2BA202007010001-E00,입찰(계약),물품,보건간호과 실습기자재,동산정보산업고등학교,2020-07-01,2020-07-09,12358450,,비엘코리아
S2BA202007010002-A00,입찰(계약),물품,보건간호과 NCS 기자재,동산정보산업고등학교,2020-07-01,2020-07-27,16965000,,(주)엘케이나비
S2BA202007070002-A00,입찰(계약),물품,전주공고 산학일체형 도제학교 기계과 실습기자재 구입 재공고,전주공업고등학교,2020-07-07,2020-08-05,61976370,,주식회사 다인기술
S2BA202007150002-A00,입찰(계약),물품,특성화고 NCS기반 기계과 실습기자재(범용선반) 구매 입찰 공고,여수공업고등학교,2020-07-16,2020-08-26,59100000,,DS테크
S2BA202010190001-E00,입찰(계약),물품,수서중 이동식 계단겸용 휠체어 리프트 구매설치,수서중학교,2020-10-19,2020-10-26,34950000,,주식회사 비에프코리아
S2BA202011170001-A00,입찰(낙찰),물품,2020학년도 2차 도서 구입,덕원고등학교,2020-11-17,2020-12-03,3270320,,한결서점
S2BA202011200001-A00,입찰(계약),물품,청원고등학교 초중등 온라인 교육인프라 구축사업에 따른 노트북 구매,서울청원고등학교,2020-11-20,2020-12-28,69101000,,주식회사 에스인
S2BA202012160001-A00,입찰(계약),물품,영천전자고 혁신지원사업 드론 축구경기장 구매 및 설치건,영천전자고등학교,2020-12-16,2021-01-13,25702500,,주식회사 마밍
S2BA202101110001-A00,입찰(낙찰),물품,2021학년도 다산중학교 교복 구매 입찰 공고,다산중학교,2021-01-11,2021-02-09,293000,,고령교복사
S2BA202102160001-E00,입찰(계약),물품,정신여고 교사동 교실용 텔레비전(천장형) 구매 입찰 공고,정신여자고등학교,2021-02-16,2021-03-03,62424000,,주식회사 에스인
S2BA202103300001-E00,입찰(계약),물품,서울디지텍고 1분기 실험실습재료 소모품 구입 입찰 공고,서울디지텍고등학교,2021-03-30,2021-04-09,5496280,,협성산업사
S2BA202104280001-E00,입찰(계약),물품,영천전자고 2021학년 상반기 실습재료 구입,영천전자고등학교,2021-04-28,2021-05-17,20976330,,경진
S2BA202105120002-E00,입찰(낙찰),물품,스마트교육실용 데스크탑 컴퓨터 구입,성덕고등학교,2021-05-14,2021-05-25,541200,,(주)한울피앤케이
S2BA202105170001-C00,입찰(계약),물품,[정정] 제2차 교구교재 구입 입찰 정정공고,나성중학교,2021-05-17,2021-05-31,64878000,,다옴
S2BA202105140001-A00,입찰(계약),용역,선하여자중학교 2021년 상하반기 제3종시설물(옹벽) 정기안전점검 용역,선화여자중학교,2021-05-14,2021-06-03,3583460,,조은건설산업(주)
S2BA202106040002-E00,입찰(계약),물품,서울디지텍고 2분기 실험실습재료 소모품 구입 입찰 공고,서울디지텍고등학교,2021-06-04,2021-06-11,4863100,,한빛상사
S2BA202011270001-R00,입찰(계약),물품,[재] 2021학년도 영천전자고 학교주관 교복(동.하복)구매 입찰 공고,영천전자고등학교,2020-11-27,2021-06-16,260850,,스마트영천점
S2BA202107060001-A00,입찰(낙찰),물품,2021학년도 부산형 블렌디드교실 물품(태블릿 PC) 구매,부산해사고등학교,2021-07-06,2021-07-19,38478579,,삼보컴퓨터경산센터 (티지에스)
S2BA202107290002-A00,입찰(계약),물품,메이커스페이스 환경 개선 기자재 확충 구입,미래산업과학고등학교,2021-07-29,2021-08-11,10000000,,창림교구
S2BA202109080001-A00,입찰(낙찰),물품,정남진산업고등학교 기계자동차과 기자재 구입,정남진산업고등학교,2021-09-28,2021-10-07,12000000,,EH 물류 시스템
S2BA202109290002-A00,입찰(계약),물품,영천전자고 하반기 실험실습재료 구매 입찰 공고,영천전자고등학교,2021-09-30,2021-10-22,17614340,,평산상사
S2BA202110140001-E00,입찰(계약),물품,뷰티아트과 건강관리사업 기자재 구입,서울동산고등학교,2021-10-14,2021-10-26,16503141,,(주)국제스쿨
S2BA202110210001-A00,입찰(낙찰),물품,2021학년도 미림여자정보과학고등학교 실험실습재료 및 기자재 수리 소모품 구매 입찰 공고,미림여자정보과학고등학교,2021-10-21,2021-11-08,14393610,,이지프런
S2BA202111020002-A00,입찰(계약),물품,서울디지텍고 전공심화반 실험실습재료 구입 입찰 공고,서울디지텍고등학교,2021-11-02,2021-11-12,6599440,,협성산업사
S2BA202111110004-A00,입찰(계약),물품,2021년도 NCS 학습모듈 스마트기기 구입,미래산업과학고등학교,2021-11-11,2021-11-24,69000000,,다담시스 주식회사
S2BA202110200001-A00,입찰(계약),물품,2021학년도 제2차 도서 구입,대평초등학교,2021-10-20,2021-11-25,19625830,,누리서적
S2BA202111110003-C00,입찰(계약),물품,[정정] 화곡고 학생용 스마트기기(태블릿) 구매 입찰 공고,화곡고등학교,2021-11-11,2021-11-29,60744500,,한결시스템
S2BA202112090002-A00,입찰(낙찰),물품,특수학교 맞춤형수업지원에 따른 악기 구입,광주세광학교,2021-12-09,2021-12-20,5265000,,성호테크
S2BA202112150001-E00,입찰(계약),물품,급식실 자율배식대 구입,서울동산고등학교,2021-12-15,2021-12-23,17613000,,지해윤 주식회사
S2BA202201040001-A00,입찰(계약),물품,충암고 학생용 스마트기기(태블릿)구매 입찰공고,충암고등학교,2022-01-05,2022-01-18,50540700,,주식회사 에스인
S2BA202201270001-A00,입찰(계약),물품,신진과학기술고등학교 학생용 스마트기기(태블릿) 구매,신진과학기술고등학교,2022-01-27,2022-02-09,64263400,,주식회사 에스인
S2BA202202160003-E00,입찰(계약),물품,환일고등학교 체력단련기구 구매 입찰 공고[긴급],환일고등학교,2022-02-16,2022-03-23,56768240,,래미컴퍼니
S2BA202202100001-A00,입찰(계약),물품,영동고 학생용 스마트기기 구입,영동고등학교,2022-02-22,2022-03-28,10969000,,주식회사 빛나는교육
S2BA202204010001-E00,입찰(계약),물품,서울디지텍고 1분기 실습재료소모품 구입 입찰공고,서울디지텍고등학교,2022-04-01,2022-04-11,6765000,,한빛상사
S2BA202206090002-A00,입찰(낙찰),물품,현대고등학교 국토순례 물품제작 구매 업체 선정 입찰 공고,서울현대고등학교,2022-06-09,2022-06-17,26300000,,SJ스포츠
