계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL,계약구분
S2B-S2BA202001300002-A00,물품,건대부중 컴퓨터실 교육용 PC(일체형) 구매,2020-02-10,28558500,건국대학교사범대학부속중학교,건국대학교사범대학부속중학교,더아이티,7134119,중학교,서울특별시,,입찰(계약)
S2B-S2BA202001140004-A00,물품,예림디자인고 애니메이션과 실습용 그래핏태블릿 구매 견적서제출 공고,2020-02-19,41876000,예림디자인고등학교,예림디자인고등학교,(주)큐벡스미디어,7011184,고등학교,서울특별시,,입찰(계약)
S2B-S2BA202005070004-A00,물품,영천전자고 명장 공방 기자재구입(전자회로시뮬레이션 및 PCB디자인 소프트웨어),2020-05-27,21670000,영천전자고등학교,영천전자고등학교,조아텍(JOA),8750476,고등학교,경상북도,,입찰(계약)
S2B-S2BA202012160001-A00,물품,영천전자고 혁신지원사업 드론 축구경기장 구매 및 설치건,2021-01-13,25702500,영천전자고등학교,영천전자고등학교,주식회사 마밍,8750476,고등학교,경상북도,,입찰(계약)
S2B-S2BA202107060001-A00,물품,2021학년도 부산형 블렌디드교실 물품(태블릿 PC) 구매,2021-07-19,38478579,부산해사고등학교,부산해사고등학교,삼보컴퓨터경산센터 (티지에스),1192068,고등학교,부산광역시,,입찰(낙찰)
S2B-S2BA202111110003-C00,물품,[정정] 화곡고 학생용 스마트기기(태블릿) 구매 입찰 공고,2021-11-29,60744500,화곡고등학교,화곡고등학교,한결시스템,7010265,고등학교,서울특별시,,입찰(계약)
S2B-S2BA202201040001-A00,물품,충암고 학생용 스마트기기(태블릿)구매 입찰공고,2022-01-18,50540700,충암고등학교,충암고등학교,주식회사 에스인,7010248,고등학교,서울특별시,,입찰(계약)
S2B-S2BA202201270001-A00,물품,신진과학기술고등학교 학생용 스마트기기(태블릿) 구매,2022-02-09,64263400,신진과학기술고등학교,신진과학기술고등학교,주식회사 에스인,7011316,고등학교,서울특별시,,입찰(계약)
S2B-S2BA202206080002-E00,물품,2021학년도 서문여고 온라인 학습용 기자재태블릿PC) 구매,2022-06-27,64129600,서문여자고등학교,서문여자고등학교,주식회사 에스인,7010183,고등학교,서울특별시,,입찰(계약)
S2B-S2BA202207200001-A00,물품,학생용 노트북 및 충전보관함 구매 입찰 공고,2022-08-02,70860000,동아중학교,동아중학교,(주)세명시스템,7211034,중학교,부산광역시,,입찰(계약)
S2B-S2BA202301200001-E00,물품,신진과학기술고등학교 스마트건설과 직업계고 재구조화 기자재 컴퓨터 구매,2023-01-31,52403890,신진과학기술고등학교,신진과학기술고등학교,주식회사 디엘정보,7011316,고등학교,서울특별시,,입찰(계약)
S2B-S2BA202401180001-E00,물품,(긴급) 2023학년도 구미산동고등학교 지능형 과학실 구축 스마트보드(전자칠판) 구입 입찰 공고,2024-01-31,21935497,구미산동고등학교,구미산동고등학교,주식회사 아이티에스,8750754,고등학교,경상북도,,입찰(낙찰)
S2B-S2BA202507180001-R00,물품,[재] 전남여상고 액정태블릿 구입 입찰 공고,2025-07-24,30700000,전남여자상업고등학교,전남여자상업고등학교,프리즘,7140361,고등학교,전남광주통합특별시(광주),,입찰(계약)
