공고번호,공고명,기관명,공고일,마감일,계약구분,거래구분,키워드,조회창
202303288351495,수문초 에듀테크 교구 구입 견적서 제출 요청,수문초등학교,2023-03-28,2023-03-30 09:00,1인수의,물품,에듀테크,20230101~20230331
202302108213667,에듀테크 선도고교 전자도서 추가구입,군산제일고등학교,2023-02-10,2023-02-10 18:10,1인수의,물품,에듀테크,20230101~20230331
202302088206235,에듀테크활용 스마트교육 시스템 구축 등교체크시스템 관련 용역 건,영화중학교,2023-02-08,2023-02-09 12:00,1인수의,용역,에듀테크,20230101~20230331
202302088206159,에듀테크활용 스마트교육 시스템 구축 등교체크시스템 물품 구입,영화중학교,2023-02-08,2023-02-09 12:00,1인수의,물품,에듀테크,20230101~20230331
202302028191139,2022 에듀테크 선도고교 전자책 구입,군산제일고등학교,2023-02-02,2023-02-03 18:20,1인수의,물품,에듀테크,20230101~20230331
202301258174189,남성여자고등학교 에듀테크 장비 이전설치,남성여자고등학교,2023-01-25,2023-01-27 23:00,1인수의,용역,에듀테크,20230101~20230331
202301188166833,에듀테크 선도고교 운영 IT 기자재 구입,부산진고등학교,2023-01-18,2023-01-23 10:30,1인수의,물품,에듀테크,20230101~20230331
202301128157980,온라인콘텐츠 및 에듀테크온동아리 운영물품 구매 견적요청,나주중앙초등학교,2023-01-12,2023-01-17 10:00,1인수의,물품,에듀테크,20230101~20230331
202306228585947,2023학년도 에듀테크 기기 지원 사업 물품 구입,부구초등학교,2023-06-22,2023-06-23 12:00,1인수의,물품,에듀테크,20230401~20230629
202306218580307,2023 에듀테크 기반 교육환경 구축을 위한 비품 구입,화산중학교,2023-06-21,2023-06-26 18:00,1인수의,물품,에듀테크,20230401~20230629
202306208580161,2023년 에듀테크 활용 수업 액션캠 및 주변기기 구입,황남초등학교,2023-06-21,2023-06-22 10:00,1인수의,물품,에듀테크,20230401~20230629
202306168570792,에듀테크 기기 교육용 콘텐츠 구입,형곡초등학교,2023-06-16,2023-06-20 18:00,1인수의,물품,에듀테크,20230401~20230629
202306158567740,에듀테크 활용 리딩게이트 영어독후프로그램 사용 계약,월암중학교,2023-06-15,2023-06-22 18:00,1인수의,용역,에듀테크,20230401~20230629
202306148566728,2023. 에듀테크온 창의융합 학생동아리 운영 물품 견적 요청,한천초등학교,2023-06-14,2023-06-16 16:20,1인수의,물품,에듀테크,20230401~20230629
202306148563406,문경공업고등학교 에듀테크 교육용컨텐츠 구입,문경공업고등학교,2023-06-14,2023-06-19 09:40,1인수의,물품,에듀테크,20230401~20230629
202306138562553,이서중학교 에듀테크 활용 수업기기 물품 구입 건,이서중학교,2023-06-13,2023-06-19 16:30,1인수의,물품,에듀테크,20230401~20230629
202306138560717,강동초 에듀테크 활용 수업기기 구입,강동초등학교,2023-06-13,2023-06-14 13:00,1인수의,물품,에듀테크,20230401~20230629
202306098552973,에듀테크 활용 수업 기기 구입,명인중학교,2023-06-09,2023-06-14 12:30,1인수의,물품,에듀테크,20230401~20230629
202306088550749,에듀테크 기기 구입,안동서부초등학교,2023-06-09,2023-06-15 10:00,2인수의,물품,에듀테크,20230401~20230629
202306088550450,내성초 에듀테크활용 수업기기 구입,내성초등학교,2023-06-08,2023-06-09 14:00,1인수의,물품,에듀테크,20230401~20230629
202306028538986,에듀테크온 창의융합 학생 동아리 교구 구입,강진중앙초등학교,2023-06-02,2023-06-07 18:00,1인수의,물품,에듀테크,20230401~20230629
202305268525553,빛가람초등학교 에듀테크 온 창의융합동아리 교재교구 구입 견적요청,빛가람초등학교,2023-05-26,2023-05-30 11:00,1인수의,물품,에듀테크,20230401~20230629
202305238514367,에듀테크 물품 구입,삼성현초등학교,2023-05-23,2023-05-25 10:00,1인수의,물품,에듀테크,20230401~20230629
202305198506984,문명고등학교 에듀테크 및 교육용 컨텐츠 미리캔버스 프로 구입,문명고등학교,2023-05-19,2023-05-19 15:00,1인수의,물품,에듀테크,20230401~20230629
