월 44개 중 남은 44개 · 요청 간격 180초
[202301] 전체 44,894건 중 학교 40,822건 · 누적 40,822건
[202302] 전체 75,837건 중 학교 69,424건 · 누적 110,246건
[202303] 전체 90,483건 중 학교 83,513건 · 누적 193,759건
[202304] 전체 80,492건 중 학교 74,349건 · 누적 268,108건
[202305] 전체 74,275건 중 학교 68,462건 · 누적 336,570건
[202306] 전체 63,827건 중 학교 58,014건 · 누적 394,584건
[202307] 전체 54,866건 중 학교 49,276건 · 누적 443,860건
[202308] 전체 54,522건 중 학교 49,449건 · 누적 493,309건
[202309] 전체 70,240건 중 학교 64,799건 · 누적 558,108건
[202310] 전체 75,714건 중 학교 69,518건 · 누적 627,626건
[202311] 전체 87,539건 중 학교 79,560건 · 누적 707,186건
[202312] 전체 89,492건 중 학교 80,396건 · 누적 787,582건
[202401] 전체 53,134건 중 학교 48,488건 · 누적 836,070건
[202402] 전체 76,722건 중 학교 70,673건 · 누적 906,743건
[202403] 전체 78,087건 중 학교 71,848건 · 누적 978,591건
[202404] 전체 82,797건 중 학교 76,129건 · 누적 1,054,720건
[202405] 전체 71,617건 중 학교 65,411건 · 누적 1,120,131건
[202406] 전체 56,465건 중 학교 50,496건 · 누적 1,170,627건
[202407] 전체 59,125건 중 학교 52,692건 · 누적 1,223,319건
[202408] 전체 54,564건 중 학교 49,511건 · 누적 1,272,830건
[202409] 전체 65,150건 중 학교 59,675건 · 누적 1,332,505건
[202410] 전체 74,767건 중 학교 67,722건 · 누적 1,400,227건
[202411] 전체 77,051건 중 학교 69,599건 · 누적 1,469,826건
[202412] 전체 88,587건 중 학교 78,950건 · 누적 1,548,776건
[202501] 전체 41,411건 중 학교 37,816건 · 누적 1,586,592건
[202502] 전체 83,528건 중 학교 76,621건 · 누적 1,663,213건
[202503] 전체 76,030건 중 학교 70,058건 · 누적 1,733,271건
[202504] 전체 83,188건 중 학교 76,551건 · 누적 1,809,822건
[202505] 전체 64,442건 중 학교 59,133건 · 누적 1,868,955건
[202506] 전체 54,866건 중 학교 49,669건 · 누적 1,918,624건
[202507] 전체 55,537건 중 학교 49,447건 · 누적 1,968,071건
[202508] 전체 47,276건 중 학교 42,984건 · 누적 2,011,055건
[202509] 전체 74,003건 중 학교 67,874건 · 누적 2,078,929건
[202510] 전체 62,261건 중 학교 56,310건 · 누적 2,135,239건
[202511] 전체 74,320건 중 학교 66,678건 · 누적 2,201,917건
[202512] 전체 93,607건 중 학교 81,450건 · 누적 2,283,367건
[202601] 전체 50,339건 중 학교 45,265건 · 누적 2,328,632건
[202602] 전체 92,859건 중 학교 85,421건 · 누적 2,414,053건
[202603] 전체 80,135건 중 학교 73,324건 · 누적 2,487,377건
[202604] 전체 83,686건 중 학교 76,997건 · 누적 2,564,374건
[202605] 전체 61,204건 중 학교 55,668건 · 누적 2,620,042건
[202606] 전체 60,885건 중 학교 54,734건 · 누적 2,674,776건
[202607] 전체 58,552건 중 학교 52,179건 · 누적 2,726,955건
[202608] 전체 2,792건 중 학교 2,427건 · 누적 2,729,382건

완료 — 전체 3,001,168건 중 학교 계약 2,729,382건 → s2b_all.csv
