계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
S2B-202303318365937,물품,아이패드 프로 갤럭시탭 접이식 휴대용 태블릿 거치대 외 1종,2023-03-31,25690,세곡중학교,세곡중학교,,7091461,중학교,서울특별시,
S2B-202303318365936,물품,아이패드 프로 갤럭시탭 접이식 휴대용 태블릿 거치대 외 1종,2023-03-31,32000,세곡중학교,세곡중학교,,7091461,중학교,서울특별시,
S2B-202303318365059,물품,아두이노 메이키메이키 디럭스 세트 스크래치 코딩 학습용,2023-03-31,355000,서울청룡초등학교,서울청룡초등학교,,7132119,초등학교,서울특별시,
S2B-202303308363301,물품,티처몰 영어공책 알파벳 노트 ABCyo 외 7종,2023-03-31,15600,서울전곡초등학교,서울전곡초등학교,,7021107,초등학교,서울특별시,
S2B-202303308363300,물품,티처몰 영어공책 알파벳 노트 ABCyo 외 7종,2023-03-30,4300,서울전곡초등학교,서울전곡초등학교,,7021107,초등학교,서울특별시,
S2B-202303308363299,물품,티처몰 영어공책 알파벳 노트 ABCyo 외 7종,2023-03-30,10000,서울전곡초등학교,서울전곡초등학교,,7021107,초등학교,서울특별시,
S2B-202303308363298,물품,티처몰 영어공책 알파벳 노트 ABCyo 외 7종,2023-03-30,12700,서울전곡초등학교,서울전곡초등학교,,7021107,초등학교,서울특별시,
S2B-202303308363297,물품,티처몰 영어공책 알파벳 노트 ABCyo 외 7종,2023-03-31,39140,서울전곡초등학교,서울전곡초등학교,,7021107,초등학교,서울특별시,
S2B-202303308363296,물품,티처몰 영어공책 알파벳 노트 ABCyo 외 7종,2023-03-30,20500,서울전곡초등학교,서울전곡초등학교,,7021107,초등학교,서울특별시,
S2B-202303308362988,물품,나무DIY 강아지로봇 만들기,2023-03-30,232000,서울연지초등학교,서울연지초등학교,,7051144,초등학교,서울특별시,
S2B-202303308362950,물품,삼성 갤럭시탭A8 10.5인치 태블릿 강화유리 액정보호 방탄 필름 1매 외 1종,2023-03-30,297000,서울신답초등학교,서울신답초등학교,,7021099,초등학교,서울특별시,
S2B-202303308362949,물품,삼성 갤럭시탭A8 10.5인치 태블릿 강화유리 액정보호 방탄 필름 1매 외 1종,2023-03-31,769000,서울신답초등학교,서울신답초등학교,,7021099,초등학교,서울특별시,
S2B-202303308362282,물품,아이스크림 NEW 크라프트 친환경 수납 정리함,2023-03-30,32880,서울목운초등학교,서울목운초등학교,,7081439,초등학교,서울특별시,
S2B-202303308362114,물품,앱코ABKO 패드뱅크 크롬북 및 태블릿PC 32대 충전 보관함 외 1종,2023-03-30,6600000,서울성서초등학교,서울성서초등학교,,7031137,초등학교,서울특별시,
S2B-202303308362113,물품,앱코ABKO 패드뱅크 크롬북 및 태블릿PC 32대 충전 보관함 외 1종,2023-03-30,1490000,서울성서초등학교,서울성서초등학교,,7031137,초등학교,서울특별시,
S2B-202303308361539,물품,삼성 스마트 컬러레이저 프린터,2023-03-30,489000,서울용암초등학교,서울용암초등학교,,7061075,초등학교,서울특별시,
S2B-202303308360710,물품,컴퓨터실 수업용 모니터 구입,2023-03-30,8265000,서울인왕초등학교,서울인왕초등학교,,7031160,초등학교,서울특별시,
S2B-202303308360655,물품,[서울남부] 네오쏘코 (AI 와 IoT 정보 코딩 교구),2023-03-30,3250000,서울가산초등학교,서울가산초등학교,,7041100,초등학교,서울특별시,
S2B-202303298359353,물품,Apitor MZ 아피토 코딩로봇 슈퍼봇 코딩교육 STEAM교육 엔트리,2023-03-30,3126900,서울답십리초등학교,서울답십리초등학교,,7021083,초등학교,서울특별시,
S2B-202303298359223,물품,모두의 마이크로비트 New 키트 코딩교육 (마이크로비트V2.2 미포함),2023-03-29,2125000,오금중학교,오금중학교,,7130197,중학교,서울특별시,
S2B-202303298358940,물품,삼성 스마트 컴퓨터 다이나믹 스테레오 헤드셋 헤드폰,2023-03-29,264000,서울은평초등학교,서울은평초등학교,,7031158,초등학교,서울특별시,
S2B-202303298358933,물품,삼성 갤럭시탭A 10.1 2019 태블릿PC강화유리 액정보호필름,2023-03-30,33000,서울신내초등학교,서울신내초등학교,,7021098,초등학교,서울특별시,
S2B-202303298358499,물품,할로코드 엠빌드 인공지능 앤 사물인터넷 크리에이터에드온팩 구입,2023-03-29,840000,서울백석초등학교,서울백석초등학교,,7081443,초등학교,서울특별시,
S2B-202303298358046,물품,삼성 갤럭시탭 S7 FE 12.4인치 정품 키보드 북커버 태블릿 케이스,2023-03-29,341400,서울다원학교,서울다원학교,,7011309,특수학교,서울특별시,
S2B-202303298358012,물품,삼성 갤럭시탭S7 FE WIFI 12.4 64GB 태블릿 PC,2023-03-29,1847160,서울다원학교,서울다원학교,,7011309,특수학교,서울특별시,
S2B-202303298357813,물품,인공지능키트(AIKIT)홈런AI교과서 구입,2023-03-29,900000,서울백석초등학교,서울백석초등학교,,7081443,초등학교,서울특별시,
S2B-202303298357610,물품,삼성 갤럭시탭S5e 10.5 태블릿PC 강화유리 방탄 액정보호필름,2023-03-29,188400,서울신자초등학교,서울신자초등학교,,7134100,초등학교,서울특별시,
S2B-202303298357452,물품,크롬북이동충전거치대 외 1종,2023-03-29,2561000,서울답십리초등학교,서울답십리초등학교,,7021083,초등학교,서울특별시,
S2B-202303298356953,물품,코딩교육용 보드게임 엔트리봇 카드게임 폭탄대소동 외 9종,2023-03-29,42800,서울연은초등학교,서울연은초등학교,,7031151,초등학교,서울특별시,
S2B-202303298356952,물품,코딩교육용 보드게임 엔트리봇 카드게임 폭탄대소동 외 9종,2023-03-29,40000,서울연은초등학교,서울연은초등학교,,7031151,초등학교,서울특별시,
S2B-202303298356951,물품,코딩교육용 보드게임 엔트리봇 카드게임 폭탄대소동 외 9종,2023-03-29,23000,서울연은초등학교,서울연은초등학교,,7031151,초등학교,서울특별시,
S2B-202303298356950,물품,코딩교육용 보드게임 엔트리봇 카드게임 폭탄대소동 외 9종,2023-03-29,34000,서울연은초등학교,서울연은초등학교,,7031151,초등학교,서울특별시,
S2B-202303298356949,물품,코딩교육용 보드게임 엔트리봇 카드게임 폭탄대소동 외 9종,2023-03-29,32700,서울연은초등학교,서울연은초등학교,,7031151,초등학교,서울특별시,
