제품,조회어,PC,모바일,합계,글자수,확인일
3D 스팀펜,3D 스팀펜,,,,5,2026-08-13
AI 505_Face 얼굴인식 로봇,AI 505_Face 얼굴인식 로봇,,,,16,2026-08-13
AI CLASS,AI CLASS,,,,7,2026-08-13
AI 진로 교육,AI 진로 교육,,,,6,2026-08-13
AI 펭톡,AI 펭톡,,,,4,2026-08-13
AI 플레도,AI 플레도,,,,5,2026-08-13
AI 한자몬,AI 한자몬,,,,5,2026-08-13
AI러닝,AI러닝,,,,4,2026-08-13
AI로봇 아티보,AI로봇 아티보,,,,7,2026-08-13
AI아크수학,AI아크수학,,,,6,2026-08-13
AI이거다,AI이거다,,,,5,2026-08-13
ALC 학습분석 시스템,ALC 학습분석 시스템,,,,10,2026-08-13
ANSYS,ANSYS,,,,5,2026-08-13
Adobe,Adobe,,,,5,2026-08-13
AutoCAD,AutoCAD,,,,7,2026-08-13
Bitly,Bitly,2090,1090,3180,5,2026-08-13
BookWidgets,BookWidgets,< 10,< 10,0,11,2026-08-13
CATIA,CATIA,900,510,1410,5,2026-08-13
CLASSVR,CLASSVR,10,< 10,10,7,2026-08-13
Canva,Canva,47900,15500,63400,5,2026-08-13
CapCut,CapCut,16100,3930,20030,6,2026-08-13
ChatGPT,ChatGPT,1107500,867300,1974800,7,2026-08-13
Claude,Claude,67700,21500,89200,6,2026-08-13
Cursor,Cursor,5500,2370,7870,6,2026-08-13
DBpia,DBpia,21200,33600,54800,5,2026-08-13
DG1S,DG1S,< 10,10,10,4,2026-08-13
EdgeCAM,EdgeCAM,10,< 10,10,7,2026-08-13
Figma,Figma,7920,1940,9860,5,2026-08-13
G-CNC,G-CNC,< 10,< 10,0,5,2026-08-13
GPT킬러,GPT킬러,1580,840,2420,5,2026-08-13
GV-CNC,GV-CNC,,,,6,2026-08-13
Gamma,Gamma,,,,5,2026-08-13
Gemini,Gemini,,,,6,2026-08-13
Ghost,Ghost,,,,5,2026-08-13
Google AI Pro,Google AI Pro,,,,11,2026-08-13
Google Colab,Google Colab,,,,11,2026-08-13
Google Workspace,Google Workspace,,,,15,2026-08-13
KAIST 공동 AP,KAIST 공동 AP,,,,9,2026-08-13
KISS,KISS,,,,4,2026-08-13
KRpia,KRpia,,,,5,2026-08-13
KT AI 코디니,KT AI 코디니,,,,7,2026-08-13
KT AICE,KT AICE,,,,6,2026-08-13
M-AI 코딩,M-AI 코딩,,,,6,2026-08-13
M-AI 학습플랫폼,M-AI 학습플랫폼,,,,9,2026-08-13
MATLAB,MATLAB,,,,6,2026-08-13
MS Office,MS Office,,,,8,2026-08-13
Mathematica,Mathematica,,,,11,2026-08-13
Meshy AI,Meshy AI,,,,7,2026-08-13
Midjourney,Midjourney,,,,10,2026-08-13
Miro,Miro,,,,4,2026-08-13
Movavi,Movavi,,,,6,2026-08-13
NE_Times,NE_Times,,,,8,2026-08-13
NE능률 AI·디지털 교육자료,NE능률 AI·디지털 교육자료,,,,14,2026-08-13
Notion,Notion,,,,6,2026-08-13
OrCAD,OrCAD,,,,5,2026-08-13
Padlet,Padlet,,,,6,2026-08-13
Perplexity,Perplexity,,,,10,2026-08-13
Quizlet,Quizlet,,,,7,2026-08-13
Readdy AI,Readdy AI,,,,8,2026-08-13
Replit,Replit,,,,6,2026-08-13
SW·플랫폼(제품명 미상),SW·플랫폼,,,,6,2026-08-13
SolidCAM,SolidCAM,,,,8,2026-08-13
SolidWorks,SolidWorks,,,,10,2026-08-13
Suno,Suno,,,,4,2026-08-13
Symantec,Symantec,,,,8,2026-08-13
Talking Class,Talking Class,,,,12,2026-08-13
Tinkercad,Tinkercad,,,,9,2026-08-13
Typecast,Typecast,,,,8,2026-08-13
V-AMT,V-AMT,,,,5,2026-08-13
VINU,VINU,,,,4,2026-08-13
WeToon,WeToon,,,,6,2026-08-13
WeeAI,WeeAI,,,,5,2026-08-13
Wolfram Alpha,Wolfram Alpha,,,,12,2026-08-13
Wordwall,Wordwall,,,,8,2026-08-13
XR쇼룸,XR쇼룸,,,,4,2026-08-13
XR스크린,XR스크린,,,,5,2026-08-13
YBM AI·디지털 교육자료,YBM AI·디지털 교육자료,,,,13,2026-08-13
YBM 리딩팜,YBM 리딩팜,,,,6,2026-08-13
Yennefer Labs,Yennefer Labs,,,,12,2026-08-13
Zoom,Zoom,,,,4,2026-08-13
e-NIE,e-NIE,,,,5,2026-08-13
e알리미,e알리미,,,,4,2026-08-13
inline AI,inline AI,,,,8,2026-08-13
강원아이로,강원아이로,,,,5,2026-08-13
고교학점제학사관리프로그램,고교학점제학사관리프로그램,,,,13,2026-08-13
곰믹스,곰믹스,,,,3,2026-08-13
곰이지패스 비즈니스,곰이지패스 비즈니스,,,,9,2026-08-13
곰캠,곰캠,,,,2,2026-08-13
교보문고 전자도서관,교보문고 전자도서관,,,,9,2026-08-13
교학사 AI·디지털 교육자료,교학사 AI·디지털 교육자료,,,,13,2026-08-13
구름EDU,구름EDU,,,,5,2026-08-13
그림한글 받아쓰기,그림한글 받아쓰기,,,,8,2026-08-13
금성출판사 AI·디지털 교육자료,금성출판사 AI·디지털 교육자료,,,,15,2026-08-13
기출탭탭,기출탭탭,,,,4,2026-08-13
김킷,김킷,,,,2,2026-08-13
네오봇,네오봇,,,,3,2026-08-13
네오봇 에듀 스마트,네오봇 에듀 스마트,,,,8,2026-08-13
네오쏘코,네오쏘코,,,,4,2026-08-13
네이버 웨일 스페이스,네이버 웨일 스페이스,,,,9,2026-08-13
네프론,네프론,,,,3,2026-08-13
넷서포트 스쿨 (NetSupport School),넷서포트 스쿨,,,,6,2026-08-13
넷클래스,넷클래스,,,,4,2026-08-13
누리놀이,누리놀이,,,,4,2026-08-13
니어팟,니어팟,,,,3,2026-08-13
다했니,다했니,,,,3,2026-08-13
닥터매쓰,닥터매쓰,,,,4,2026-08-13
대학입학정보프로그램 유니브,대학입학정보프로그램 유니브,,,,13,2026-08-13
독서화랑 클래스,독서화랑 클래스,,,,7,2026-08-13
동아출판 AI·디지털 교육자료,동아출판 AI·디지털 교육자료,,,,14,2026-08-13
듀오링고,듀오링고,,,,4,2026-08-13
디딤,디딤,,,,2,2026-08-13
따능AI,따능AI,,,,4,2026-08-13
뚜루뚜루,뚜루뚜루,,,,4,2026-08-13
띵커벨,띵커벨,,,,3,2026-08-13
라즈베리파이 피코 스타터 키트,라즈베리파이 피코 스타터 키트,,,,13,2026-08-13
라쿤봇,라쿤봇,,,,3,2026-08-13
라포라포,라포라포,,,,4,2026-08-13
