제품,조회어,PC,모바일,합계,글자수,확인일
ClassFin(클래스핀),ClassFin,10,< 10,10,8,2026-08-13
ClassLive(클래스 라이브),ClassLive,< 10,< 10,0,9,2026-08-13
ClassMana,ClassMana,< 10,< 10,0,9,2026-08-13
ClassPoint,ClassPoint,10,< 10,10,10,2026-08-13
Classkick,Classkick,< 10,< 10,0,9,2026-08-13
MS.SMT,MS.SMT,< 10,< 10,0,6,2026-08-13
MagicSchool,MagicSchool,30,30,60,11,2026-08-13
Mai-22AI,Mai-22AI,< 10,< 10,0,8,2026-08-13
Mai-22AIW,Mai-22AIW,< 10,< 10,0,9,2026-08-13
Mai-22AIWR,Mai-22AIWR,< 10,< 10,0,10,2026-08-13
Mai-22AIWS,Mai-22AIWS,< 10,< 10,0,10,2026-08-13
Mai-22DW,Mai-22DW,< 10,< 10,0,8,2026-08-13
Mai-22DWA,Mai-22DWA,< 10,< 10,0,9,2026-08-13
Mai-22STA,Mai-22STA,< 10,< 10,0,9,2026-08-13
Mai-270SP,Mai-270SP,< 10,< 10,0,9,2026-08-13
Pentalk_PBL_PRO,Pentalk_PBL_PRO,< 10,< 10,0,15,2026-08-13
Pentalk_PBL_STD,Pentalk_PBL_STD,< 10,< 10,0,15,2026-08-13
Pentalk_PRO_DP4,Pentalk_PRO_DP4,< 10,< 10,0,15,2026-08-13
Pentalk_PRO_DP6,Pentalk_PRO_DP6,< 10,< 10,0,15,2026-08-13
Pentalk_PRO_TC1,Pentalk_PRO_TC1,< 10,< 10,0,15,2026-08-13
SELUP(셀럽),SELUP,< 10,< 10,0,5,2026-08-13
"SEN스쿨(센스쿨, 서울교수학습플랫폼)",SEN스쿨,1090,540,1630,5,2026-08-13
SJCODE(에스제이코드),SJCODE,< 10,< 10,0,6,2026-08-13
SMILE (Stanford Mobile Inquiry-based Lerning Environment),SMILE,960,5450,6410,5,2026-08-13
SMP-AI,SMP-AI,< 10,< 10,0,6,2026-08-13
interai,interai,< 10,< 10,0,7,2026-08-13
issamGPT(아이쌤지피티),issamGPT,120,60,180,8,2026-08-13
klass,klass,30,70,100,5,2026-08-13
learn.concord.org,learn.concord.org,< 10,< 10,0,17,2026-08-13
lit---ry(릿---리),lit---ry,< 10,< 10,0,8,2026-08-13
schoolsms,schoolsms,30,< 10,30,9,2026-08-13
soopeh(수페),soopeh,170,950,1120,6,2026-08-13
tubeLXA,tubeLXA,< 10,< 10,0,7,2026-08-13
uCode4,uCode4,< 10,< 10,0,6,2026-08-13
uTradeEdu,uTradeEdu,10,< 10,10,9,2026-08-13
다문화교육포털,다문화교육포털,260,130,390,7,2026-08-13
다배움교실,다배움교실,< 10,< 10,0,5,2026-08-13
다음포털/카페/어학사전,다음포털/카페/어학사전,< 10,< 10,0,12,2026-08-13
다이어트카메라,다이어트카메라,20,20,40,7,2026-08-13
"다채움 (채움모니터, 채움책방, 채움수학, 채움영어, 채움코딩, 채움캔버스, 채움타자 등)",다채움,7830,22000,29830,3,2026-08-13
두피디아,두피디아,450,280,730,4,2026-08-13
드림AI스튜디오,드림AI스튜디오,50,20,70,8,2026-08-13
드림어필,드림어필,50,100,150,4,2026-08-13
듣는교실,듣는교실,< 10,< 10,0,4,2026-08-13
들샘클래스ON,들샘클래스ON,< 10,< 10,0,7,2026-08-13
맥스ai스쿨,맥스ai스쿨,< 10,< 10,0,6,2026-08-13
맥파분석기,맥파분석기,10,10,20,5,2026-08-13
머니머니,머니머니,50,330,380,4,2026-08-13
멀티터치테이블,멀티터치테이블,10,< 10,10,7,2026-08-13
메디세스,메디세스,< 10,< 10,0,4,2026-08-13
비트블록,비트블록,10,20,30,4,2026-08-13
비트팟화분키트,비트팟화분키트,< 10,< 10,0,7,2026-08-13
빅가든 (수박 외 3종),빅가든,< 10,< 10,0,3,2026-08-13
빅카인즈,빅카인즈,5220,5940,11160,4,2026-08-13
빈치봇,빈치봇,20,20,40,3,2026-08-13
아이스크림S,아이스크림S,160,110,270,6,2026-08-13
아이점프런,아이점프런,120,210,330,5,2026-08-13
아이캔노트,아이캔노트,610,150,760,5,2026-08-13
아이캔스크린,아이캔스크린,80,10,90,6,2026-08-13
아이캔줌잇,아이캔줌잇,70,< 10,70,5,2026-08-13
어피니티버블,어피니티버블,10,< 10,10,6,2026-08-13
에듀나비,에듀나비,1880,660,2540,4,2026-08-13
에듀넷,에듀넷,12000,7040,19040,3,2026-08-13
에듀덱,에듀덱,< 10,< 10,0,3,2026-08-13
에듀링커,에듀링커,< 10,< 10,0,4,2026-08-13
에듀집,에듀집,1380,430,1810,3,2026-08-13
에듀창고,에듀창고,< 10,< 10,0,4,2026-08-13
에듀칩(EDUCHIP),에듀칩,< 10,< 10,0,3,2026-08-13
에듀코디,에듀코디,< 10,< 10,0,4,2026-08-13
에듀트리,에듀트리,60,20,80,4,2026-08-13
위즈AI,위즈AI,< 10,< 10,0,4,2026-08-13
위즈덤박스,위즈덤박스,< 10,< 10,0,5,2026-08-13
위즈밴드,위즈밴드,< 10,< 10,0,4,2026-08-13
위즈윙에듀,위즈윙에듀,< 10,< 10,0,5,2026-08-13
위즈컨트롤러,위즈컨트롤러,< 10,< 10,0,6,2026-08-13
케이파닉스한글,케이파닉스한글,< 10,< 10,0,7,2026-08-13
케이핌즈,케이핌즈,< 10,< 10,0,4,2026-08-13
코그업플레이(CogUPlay),코그업플레이,< 10,< 10,0,6,2026-08-13
코답(CODAP),코답,210,110,320,2,2026-08-13
코드닷오알지,코드닷오알지,670,120,790,6,2026-08-13
코드스타트,코드스타트,< 10,< 10,0,5,2026-08-13
코드쌤봇,코드쌤봇,< 10,< 10,0,4,2026-08-13
코드온,코드온,100,10,110,3,2026-08-13
코드이썬,코드이썬,< 10,< 10,0,4,2026-08-13
코드코렉트,코드코렉트,< 10,< 10,0,5,2026-08-13
클래스메이트,클래스메이트,490,6670,7160,6,2026-08-13
클래스몬,클래스몬,30,< 10,30,4,2026-08-13
클래스뱅크,클래스뱅크,< 10,< 10,0,5,2026-08-13
클래스보드,클래스보드,920,1240,2160,5,2026-08-13
클래스뷰,클래스뷰,10,10,20,4,2026-08-13
티칭허브,티칭허브,360,40,400,4,2026-08-13
티코치,티코치,< 10,< 10,0,3,2026-08-13
티클래스,티클래스,1210,2460,3670,4,2026-08-13
티키타모바일,티키타모바일,< 10,< 10,0,6,2026-08-13
티키타미트,티키타미트,< 10,< 10,0,5,2026-08-13
(주)교문사 고등 정보 AI 디지털 교육자료,교문사고등정보AI디지털교육자료,< 10,< 10,0,16,2026-08-14
(주)교문사 중등 정보 AI 디지털 교육자료,교문사중등정보AI디지털교육자료,< 10,< 10,0,16,2026-08-14
(주)금성출판사 고등학교 정보 AI 디지털 교육자료,금성출판사고등학교정보AI디지털교육자료,< 10,< 10,0,20,2026-08-14
(주)금성출판사 중학교 정보 AI 디지털 교육자료,금성출판사중학교정보AI디지털교육자료,< 10,< 10,0,19,2026-08-14
(주)도서출판 성안당 교과서 교사용 자료,도서출판성안당교과서교사용자료,< 10,< 10,0,15,2026-08-14
(주)아침나라 교과서 학습자료,아침나라교과서학습자료,< 10,< 10,0,11,2026-08-14
1024.kr,1024.kr,< 10,< 10,0,7,2026-08-14
10대를 위한 데이터 과학 with 파이썬,10대를위한데이터과학with파이썬,< 10,< 10,0,18,2026-08-14
10대를 위한 데이터과학 with 엔트리,10대를위한데이터과학with엔트리,< 10,< 10,0,18,2026-08-14
121종 리딩캣 패키지 명작고전/위인,121종리딩캣패키지명작고전/위인,< 10,< 10,0,17,2026-08-14
124종 리딩캣 패키지 전세계 수상작,124종리딩캣패키지전세계수상작,< 10,< 10,0,16,2026-08-14
16 Personalities,16Personalities,1810,16000,17810,15,2026-08-14
1gram 저작도구,1gram저작도구,< 10,< 10,0,9,2026-08-14
2차원 운동 분석,2차원운동분석,< 10,< 10,0,7,2026-08-14
365PLAY 학교 전인교육 솔루션,365PLAY학교전인교육솔루션,< 10,< 10,0,16,2026-08-14
3DWOX Desktop,3DWOXDesktop,< 10,< 10,0,12,2026-08-14
56종 리딩캣 패키지 읽기창작,56종리딩캣패키지읽기창작,< 10,< 10,0,13,2026-08-14
A-City,A-City,< 10,< 10,0,6,2026-08-14
AI 505_Body 포즈인식 로봇,AI505_Body포즈인식로봇,< 10,< 10,0,16,2026-08-14
AI BMI & 악력,AIBMI&악력,< 10,< 10,0,8,2026-08-14
AI CRAFT,AICRAFT,< 10,< 10,0,7,2026-08-14
AI Class(AI 클래스),AIClass,20,10,30,7,2026-08-14
AI Edu Class,AIEduClass,< 10,< 10,0,10,2026-08-14
AI Feel,AIFeel,10,< 10,10,6,2026-08-14
AI Lab Newton,AILabNewton,< 10,< 10,0,11,2026-08-14
AI SPEAK 2.0 영어,AISPEAK2.0영어,< 10,< 10,0,12,2026-08-14
AI SPEAK 2.0 한국어,AISPEAK2.0한국어,< 10,< 10,0,13,2026-08-14
AI 과제탐구 프로그램,AI과제탐구프로그램,< 10,< 10,0,10,2026-08-14
AI 기반 교육행정·수업지원 자동화 솔루션 - SmoodyAI,AI기반교육행정·수업지원자동화솔루션-SmoodyAI,,,,28,2026-08-14
AI 기반 영문법 문항 생성기,AI기반영문법문항생성기,< 10,< 10,0,12,2026-08-14
AI 나눔이,AI나눔이,< 10,10,10,5,2026-08-14
AI 도면 탐험대 시리즈 8종 세트,AI도면탐험대시리즈8종세트,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 공통수학1,AI디지털교육자료공통수학1,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 공통영어1,AI디지털교육자료공통영어1,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 중학 수학 1,AI디지털교육자료중학수학1,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 중학 수학 2,AI디지털교육자료중학수학2,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 중학 수학1,AI디지털교육자료중학수학1,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 중학 수학2,AI디지털교육자료중학수학2,< 10,< 10,0,14,2026-08-14
AI 디지털 교육자료 중학 영어 1 윤정미,AI디지털교육자료중학영어1윤정미,< 10,< 10,0,17,2026-08-14
AI 디지털 교육자료 중학 영어 1 이병민,AI디지털교육자료중학영어1이병민,< 10,< 10,0,17,2026-08-14
AI 디지털 교육자료 중학 영어 2 윤정미,AI디지털교육자료중학영어2윤정미,< 10,< 10,0,17,2026-08-14
AI 디지털 교육자료 중학 영어 2 이병민,AI디지털교육자료중학영어2이병민,< 10,< 10,0,17,2026-08-14
AI 디지털 교육자료 중학 정보,AI디지털교육자료중학정보,< 10,< 10,0,13,2026-08-14
AI 디지털 교육자료 초등 수학 3-1,AI디지털교육자료초등수학3-1,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 3-2,AI디지털교육자료초등수학3-2,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 4-1,AI디지털교육자료초등수학4-1,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 4-2,AI디지털교육자료초등수학4-2,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 5-1,AI디지털교육자료초등수학5-1,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 5-2,AI디지털교육자료초등수학5-2,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 6-1,AI디지털교육자료초등수학6-1,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 수학 6-2,AI디지털교육자료초등수학6-2,< 10,< 10,0,16,2026-08-14
AI 디지털 교육자료 초등 영어 3,AI디지털교육자료초등영어3,< 10,< 10,0,14,2026-08-14
