계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
서울-9ca86dfb37cd,물품,SW선도학교 AI로봇 구입,2020-06-23,4900000,서울에듀파인교육청 서울문백초등학교,서울문백초등학교,(주)제이미디에이터,7041129,초등학교,서울특별시,
서울-d5190af439fc,물품,교육용 소프트웨어(Adobe) 사용료 지급,2020-12-18,4400000,서울에듀파인교육청 덕수고등학교,덕수고등학교,소프트코아,7010808,고등학교,서울특별시,
서울-d707f0ff26ed,물품,2020년 Adobe 소프트웨어 라이선스 공동구매,2020-12-15,1320000,서울에듀파인교육청 염광여자메디텍고등학교,염광여자메디텍고등학교,주식회사 소프트코아,,,서울에듀파인,
서울-f0f61b6b2186,용역,(학교회계)2020년 소프트웨어(Adobe) 사용 계약,2020-12-14,11352000,서울에듀파인교육청 동일여자상업고등학교,동일여자상업고등학교,주식회사 소프트코아,,,서울에듀파인,
서울-a343ede37df9,물품,어도비(Adobe) 소프트웨어 라이선스 구입비 지출,2020-12-11,1144000,서울에듀파인교육청 금호고등학교,금호고등학교,(주)소프트코아,7011319,고등학교,서울특별시,
서울-b22077b99920,물품,교육용 소프트웨어(Adobe CCT),2020-12-08,1100000,서울에듀파인교육청 해성여자고등학교,해성여자고등학교,주식회사 소프트코아,7010818,고등학교,서울특별시,
서울-eb8907b7aa77,용역,2020학년도 디자인과 NCS 실험실습기자재(Adobe 프로그램 연간 라이선스) 갱신,2020-12-07,5016000,서울에듀파인교육청 성동글로벌경영고등학교,성동글로벌경영고등학교,(주)인피네트,7010889,고등학교,서울특별시,
서울-a0c2cb562f67,물품,Adobe CCT K-12 라이센스 구입비,2020-12-04,1188000,서울에듀파인교육청 서울어울초등학교,서울어울초등학교,주식회사 소프트코아,7031285,초등학교,서울특별시,
서울-a5e3dd4de7e3,물품,[원인행위]2020학년도 Adobe 소프트웨어 라이선스 구입,2020-12-02,1540000,서울에듀파인교육청 석관고등학교,석관고등학교,주식회사 소프트코아,7010088,고등학교,서울특별시,
서울-425b6131257c,물품,영상편집 에듀테크 서비스(Adobe) 구입비 지출,2020-11-30,1100000,서울에듀파인교육청 한성과학고등학교,한성과학고등학교,주식회사 소프트코아,7010115,고등학교,서울특별시,
서울-cd16ddd32d61,물품,Adobe Creative Cloud License 계약 연장,2020-11-30,1320000,서울에듀파인교육청 명지중학교,명지중학교,주식회사 소프트코아,7031186,중학교,서울특별시,
서울-93b09540022f,물품,Adobe 소프트웨어 라이선스 연간 구매,2020-11-30,1100000,서울에듀파인교육청 신월중학교,신월중학교,주식회사 소프트코아,7081505,중학교,서울특별시,
서울-538f9ed1c9f5,물품,adobe 라이센스(Adobe CCT) 구입,2020-11-30,2200000,서울에듀파인교육청 해성국제컨벤션고등학교,해성국제컨벤션고등학교,소프트코아,7010811,고등학교,서울특별시,
서울-039eae530820,용역,2020년 Adobe 소프트웨어 라이선스 연간 공동구매,2020-11-28,1408000,서울에듀파인교육청 수도전기공업고등학교,수도전기공업고등학교,주식회사 소프트코아,7010346,고등학교,서울특별시,
서울-17d6e247124f,물품,소프트웨어(Adobe 프로그램-Creative Cloud For Teams All Apps,2020-11-28,1320000,서울에듀파인교육청 삼각산고등학교,삼각산고등학교,주식회사 소프트코아,7010985,고등학교,서울특별시,
서울-e27e5a297487,물품,Adobe 소프트웨어 라이선스 구매,2020-11-27,1100000,서울에듀파인교육청 서울국제고등학교,서울국제고등학교,주식회사 소프트코아,7010817,고등학교,서울특별시,
서울-7a390e767ddd,물품,정보교과 수업용 Adobe 프로그램 사용료 지급,2020-11-25,2640000,서울에듀파인교육청 동일여자고등학교,동일여자고등학교,주식회사 소프트코아,7010156,고등학교,서울특별시,
서울-bf464593ec0c,물품,2020학년도 첨단로봇시스템과 Adobe 라이선스 구매,2020-11-20,1320000,서울에듀파인교육청 서울로봇고등학교,서울로봇고등학교,주식회사 소프트코아,7010738,고등학교,서울특별시,
서울-92d51ec5224a,물품,교육용소프트웨어 그래픽프로그램(Adobe CCT) 구입,,1144000,서울에듀파인교육청 동산정보산업고등학교,동산정보산업고등학교,,,,서울에듀파인,
