계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
서울-54ddde7da83a,물품,[카드] 2026학년도 발명교육센터 수업물품(햄스터로봇 로봇경기장키트외 1종),2026-06-22,260080,서울특별시교육청 서울논현초등학교,서울논현초등학교,(주)11번가,7091373,초등학교,서울특별시,
서울-201699dfda73,물품,[카드]학생용 디벗(크롬북) 펜슬 구입비,2026-06-30,74000,서울특별시교육청 서울대도초등학교,서울대도초등학교,주식회사 삼보컴퓨터,7091375,초등학교,서울특별시,
서울-19b14eba96e8,물품,2026년도 전자칠판 및 보조장 구입,2026-06-16,96954000,서울특별시교육청 서울대도초등학교,서울대도초등학교,주식회사 현대아이티,7091375,초등학교,서울특별시,
서울-7c4d3a39741f,물품,5학년 전자칠판 구축 사업 폐기물 처리비 지급,2026-06-25,1430000,서울특별시교육청 서울대도초등학교,서울대도초등학교,이솔사이버 칠판,7091375,초등학교,서울특별시,
서울-2e56c7ab8b39,물품,태블릿 거치대 구입 비용 지출,2026-06-25,42600,서울특별시교육청 서울대왕초등학교,서울대왕초등학교,(주)아이존아이앤디,7091377,초등학교,서울특별시,
서울-e0810429d45c,물품,(카드) 크롬북 펜 수리비 지급,2026-06-16,2500,서울특별시교육청 서울대진초등학교,서울대진초등학교,주식회사 케이원,7091378,초등학교,서울특별시,
서울-02326dd24c18,물품,노트북 구입,2026-06-05,3125000,서울특별시교육청 서울대청초등학교,서울대청초등학교,서울지방조달청,7091379,초등학교,서울특별시,
서울-a0b994cc8c8d,물품,정보화기기 소모품(교실 컴퓨터 부품_파워 서플라이 1개) 구입,2026-06-18,66000,서울특별시교육청 서울대치초등학교,서울대치초등학교,(주)태영에스엔에스,7091380,초등학교,서울특별시,
서울-95d6cce43b39,물품,5-9반 전자칠판 수리비 지출,2026-06-01,698500,서울특별시교육청 서울대현초등학교,서울대현초등학교,(주)엠포트,7091381,초등학교,서울특별시,
서울-b5630a460e93,물품,AI·디지털 학교 안 교원학습공동체 소프트웨어 구입비 지출,2026-06-19,99000,서울특별시교육청 서울도곡초등학교,서울도곡초등학교,(주)한글과컴퓨터,7091382,초등학교,서울특별시,
서울-ece77a82dd05,물품,AI·디지털 학교 안 교원학습공동체 에듀테크 구독료 지출 S2B,2026-06-04,116000,서울특별시교육청 서울도곡초등학교,서울도곡초등학교,The-K 교직원나라(주)-학교장터,7091382,초등학교,서울특별시,
서울-d301321b507c,물품,"AI·디지털 학교 안 교원학습공동체 에듀테크 구독료 ,협의회비지출",2026-06-01,310000,서울특별시교육청 서울도곡초등학교,서울도곡초등학교,디저트39 대치점,7091382,초등학교,서울특별시,
서울-36968815a25e,물품,2026 AI·디지털 활용 선도학교 운영에 필요한 에듀테크 구독료 지출,2026-06-26,236000,서울특별시교육청 서울도성초등학교,서울도성초등학교,(주)아이스크림미디어,7091383,초등학교,서울특별시,
서울-b9b40b0637c1,물품,2026 AI·디지털 활용 선도학교 운영에 필요한 에듀테크 구독료 지출,2026-06-10,230000,서울특별시교육청 서울도성초등학교,서울도성초등학교,S2B학교장터,7091383,초등학교,서울특별시,
서울-dbb73fa2aacd,물품,2026 AI·디지털 활용 선도학교 운영에 필요한 에듀테크 구독료 지출,2026-06-04,460000,서울특별시교육청 서울도성초등학교,서울도성초등학교,S2B학교장터,7091383,초등학교,서울특별시,
서울-5fb3a6cff7f4,물품,2026학년도 AI 선도학교 에듀테크(리딩게이트 영어독후프로그램) 구독 계약 체결,2026-06-08,3000000,서울특별시교육청 서울도성초등학교,서울도성초등학교,주식회사 리딩게이트,7091383,초등학교,서울특별시,
서울-bfb975d29928,물품,(카드)구독형 교육용 소프트웨어 구입(년간이용권),2026-06-25,258000,서울특별시교육청 서울반원초등학교,서울반원초등학교,NICE_통신판매,7091385,초등학교,서울특별시,
서울-a301496a11ff,물품,"전자칠판(1-5, 4-5) 수리비 지출",2026-06-05,3869800,서울특별시교육청 서울방일초등학교,서울방일초등학교,주식회사 현대아이티,7091388,초등학교,서울특별시,
서울-d95a8dbf092b,물품,2026년 정보화기기(교실 데스크탑컴퓨터)구입비,2026-06-10,4546000,서울특별시교육청 서울봉은초등학교,서울봉은초등학교,에이텍컴퓨터,7091390,초등학교,서울특별시,
서울-e549125b9c70,물품,[카드]2026 융합교육(STEAM) 클럽 AI/SW 구독료 지출,2026-06-04,441400,서울특별시교육청 서울서원초등학교,서울서원초등학교,(주)아이스크림미디어,7091393,초등학교,서울특별시,
서울-991bb7a4da0f,물품,2026학년도 학교자율사업운영 5학년 AI 교육 프로그램비 지급,2026-06-23,2000000,서울특별시교육청 서울서일초등학교,서울서일초등학교,DO메이커,7091395,초등학교,서울특별시,
서울-5648dcfae46c,물품,2026 에듀테크 활용 영어·수업 평가 선도학교 소프트웨어 계정 구입비 지출,2026-06-11,275000,서울특별시교육청 서울서초초등학교,서울서초초등학교,바오스토어,7091396,초등학교,서울특별시,
서울-947102d84f5e,물품,2026학년도 학습지원 SW구독비 지출(패들렛),2026-06-10,822500,서울특별시교육청 서울세명초등학교,서울세명초등학교,한국교직원공제회 S2B,7091458,초등학교,서울특별시,
서울-8b6950894fa8,물품,(목적)2026학년도 전자칠판 보급 사업비 지출(전자칠판),2026-06-22,35289540,서울특별시교육청 서울신동초등학교,서울신동초등학교,(주)이제이정보시스템,7091399,초등학교,서울특별시,
서울-5b50f0ddfbc8,물품,(목적)2026학년도 전자칠판 보급 사업비 지출(칠판보조장),2026-06-18,24159760,서울특별시교육청 서울신동초등학교,서울신동초등학교,우드그린,7091399,초등학교,서울특별시,
