계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
울산-a789278fb045,물품,[계약] 2026학년도 AIㆍ디지털 선도학교 교원 에듀테크 프로그램 구매 계약(S2B),2026-05-12,15180000,울산광역시교육청 울산생활과학고등학교,울산생활과학고등학교,리프레쉬업,7480047,고등학교,울산광역시,
울산-c2de11157cfd,물품,[카드] 2026학년도 에듀테크 활용 수업을 위한 온라인 플랫폼(이음AI) 구입비 지출,2026-05-08,1550000,울산광역시교육청 학성중학교,학성중학교,(주)화이트소프트,7501024,중학교,울산광역시,
울산-059b1d726551,물품,2026 AI디지털 선도학교 운영을 위한 에듀테크 구입(패들렛 등 2종),2026-04-29,5176800,울산광역시교육청 내황초등학교,내황초등학교,테크빌교육(주),7491096,초등학교,울산광역시,
울산-2039b85cfc89,물품,2026 AI디지털 선도학교 운영을 위한 에듀테크 구입(젭퀴즈),2026-04-29,2100000,울산광역시교육청 내황초등학교,내황초등학교,주식회사 젭,7491096,초등학교,울산광역시,
울산-bb4ed4874c65,물품,[S2B]2026학년도 고교학점제 운영을 위한 교수학습 활동 에듀테크 도구 구입(패들렛 골,2026-04-28,3576000,울산광역시교육청 대송고등학교,대송고등학교,원자,7480069,고등학교,울산광역시,
울산-69e9b0e67748,물품,2026년 AI·디지털 활용 선도학교 -에듀테크 교육 플랫폼 구입(퀴즈앤 외 1종)(패들렛,2026-04-28,1350000,울산광역시교육청 현대중학교,현대중학교,테크빌교육(티처몰),7491173,중학교,울산광역시,
울산-9a7cfa9cbb10,물품,[S2B]AI 코스웨어 기반 에듀테크 도구 구입비 지출,2026-02-13,3716000,울산광역시교육청 강동초등학교,강동초등학교,위드테크,7491093,초등학교,울산광역시,
울산-7473b94d282a,물품,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 및 에듀테크 구입(아트봉봉 그림심리검사),2025-12-02,1449000,울산광역시교육청 다운초등학교,다운초등학교,주식회사 모노플로우,7491100,초등학교,울산광역시,
울산-738909bd595b,물품,[구입] 2025학년도 에듀테크(마이클) 구입 대금 지급,2025-10-27,1550000,울산광역시교육청 현대고등학교,현대고등학교,테크빌교육(주),7480039,고등학교,울산광역시,
울산-a8fd4d7673b0,물품,"[카드(S2B), 12] 2025학년도 공간재구조화 사업 학생 참여형 에듀테크 프로그램 구",2025-10-27,2550000,울산광역시교육청 울산양정초등학교,울산양정초등학교,올댓스쿨 주식회사,7491132,초등학교,울산광역시,
울산-14cbdb0868dc,물품,[법인카드]교수-학습활동 자료 개발을 위한 에듀테크(인공지능 프로그램) 사용권 구입(Cha,2025-07-16,1629600,울산광역시교육청 대현고등학교,대현고등학교,주식회사 교육의정석,7480093,고등학교,울산광역시,
울산-7be377740503,물품,"[카드(S2B), 27] 2025학년도 디지털 선도학교 교원 에듀테크(챗gpt) 구입비 지",2025-07-04,1783500,울산광역시교육청 울산양정초등학교,울산양정초등학교,스트로베리필즈,7491132,초등학교,울산광역시,
울산-bea1091eda92,물품,디지털 기반 학생 맞춤형 선도학교 운영 수업지원 에듀테크 구입(ZEP 퀴즈),2025-06-17,1200000,울산광역시교육청 다운초등학교,다운초등학교,주식회사 ZEP,7491100,초등학교,울산광역시,
울산-b20f5b93814f,물품,2025학년도 AI코스웨어 및 에듀테크 활용 수업 프로그램 구입,2025-05-21,2932800,울산광역시교육청 연암중학교,연암중학교,S2B(학교장터 선결제),7491161,중학교,울산광역시,
울산-0c8856ba65a9,물품,2025학년도 코스웨어 및 에듀테크 구입,2025-05-16,11562000,울산광역시교육청 호계초등학교,호계초등학교,나이스쿨,7491142,초등학교,울산광역시,
울산-47e2d0cd8dec,물품,2025학년도 영어과 에듀테크 학습 프로그램 구입(카드),2025-05-07,1200000,울산광역시교육청 달천고등학교,달천고등학교,주식회사 클래스카드,7480135,고등학교,울산광역시,
울산-fcfc6183ae66,물품,2024학년도 질문하는 수업 소프트웨어(에듀테크)(챗GPT) 구입,2024-09-19,1196000,울산광역시교육청 구영중학교,구영중학교,주식회사 모노플로우,7501025,중학교,울산광역시,
울산-c7d4f228df34,물품,2024학년도 AI기반 에듀테크 미래교실 운영 재료 구입,2024-05-22,1457000,울산광역시교육청 삼정초등학교,삼정초등학교,현대교재사,7501086,초등학교,울산광역시,
울산-2612a7853bbb,물품,2024학년도 AI기반 에듀테크 미래교실 운영 재료 추가 구입,2024-05-16,2845000,울산광역시교육청 삼정초등학교,삼정초등학교,"(주)이베이코리아(지마켓,옥션)",7501086,초등학교,울산광역시,
울산-24f10491422d,물품,2024학년도 AI기반 에듀테크 미래교실 운영 재료 구입,2024-05-16,1558000,울산광역시교육청 삼정초등학교,삼정초등학교,(주)로보메이션,7501086,초등학교,울산광역시,
울산-42eb64eca788,물품,2024학년도 AI 기반 에듀테크 미래교실 수업 운영 물품 구입(이동공구상자),2024-04-29,1540000,울산광역시교육청 삼정초등학교,삼정초등학교,승민테크,7501086,초등학교,울산광역시,
울산-b3c96927f740,물품,2024학년도 AI 기반 에듀테크 미래교실 수업 운영 물품 구입,2024-04-29,3499950,울산광역시교육청 삼정초등학교,삼정초등학교,"(주)이베이코리아(지마켓,옥션)",7501086,초등학교,울산광역시,
울산-9a5e946056e5,물품,에듀테크 활용 수업에 필요한 크롬북 구입,2024-04-15,1420000,울산광역시교육청 삼정초등학교,삼정초등학교,주식회사 에스인,7501086,초등학교,울산광역시,
울산-d1a8368feee8,물품,2024학년도 디지털 선도학교 에듀테크 매쓰홀릭 프로그램 구입,2024-04-15,10692000,울산광역시교육청 명촌초등학교,명촌초등학교,테크빌교육(주),7491108,초등학교,울산광역시,
울산-fe73c826e351,물품,2024년 에듀테크(패들렛) 구입비 지급(학교카드),2024-04-11,1068128,울산광역시교육청 현대고등학교,현대고등학교,PADLET* PADLET SOFTWAR,7480039,고등학교,울산광역시,
울산-7562278b373b,물품,2024학년도 에듀테크활용 수업을 위한 도구(소프트웨어) 구입비 지출,2024-04-03,1019160,울산광역시교육청 울산외국어고등학교,울산외국어고등학교,(주)미리디,7480141,고등학교,울산광역시,
울산-956fa2f09e51,물품,2023. 창의인성교육 및 놀이활동을 위한 에듀테크 기자재 구입,2024-02-28,9584000,울산광역시교육청 방어진초등학교,방어진초등학교,나라장터(조달청),7491112,초등학교,울산광역시,
울산-09cba089a161,물품,(카드)(창의재단내실화)2023 에듀테크 활용교육 SW AI 재료 구입비 지출,2023-11-13,1320000,울산광역시교육청 울산과학고등학교,울산과학고등학교,생물나라,7480110,고등학교,울산광역시,
울산-188e15992c6e,물품,2023학년도 정책연구학교 에듀테크 기자재 구입,2023-04-04,6935390,울산광역시교육청 방어진초등학교,방어진초등학교,나라장터(조달청),7491112,초등학교,울산광역시,
울산-edac45a27959,물품,2022 에듀테크 선도고교 메이커룸 환경개선 격벽 설치비 지급,2023-01-31,2608760,울산광역시교육청 성신고등학교,성신고등학교,(주)경진건설,7480034,고등학교,울산광역시,
