정식명,구분,제품 태그,표기,건수,제품 태그 없는 건수,근거
아이스크림미디어,개발사,,(주) 아이스크림 미디어 / (주) 아이스크림미디어 / (주)아이스크림 미디어 / (주)아이스크림미디어 / 아이스크림 미디어 / 아이스크림미디어 / 아이스크림미디어(아이스크림몰) / 주식회사 아이스크림미디어 / 주식회사아이스크림미디어 / 아이스크림몰,3307,2075,띵커벨·AI교과서·교구 등 여러 제품 (아이스크림몰은 같은 회사의 판매 사이트)
학교종이,개발사,학교종이,(주)학교종이 / 주식회사 학교종이 / 주식회사학교종이 / 학교종이,1343,25,단일 제품 100%
클래스카드,개발사,클래스카드,(주)클래스카드 / 주식회사 클래스카드 / 주식회사클래스카드 / 클래스카드,963,322,단일 제품 95%
천재교과서,개발사,,(주) 천재교과서 / (주)천재교과서,1066,139,AI교과서·밀크T·지니아튜터 등 여러 제품
리딩게이트,개발사,리딩게이트,(주)리딩게이트 / 주)리딩게이트 / 주식회사 리딩게이트,684,24,단일 제품 100%
클래스팅,개발사,클래스팅,(주)클래스팅 / 주식회사 클래스팅 / 주식회사클래스팅 / 클래스팅,654,283,단일 제품 99%
이지에듀정보,개발사,이지에듀,(주)이지에듀정보 / 이지에듀 / 이지에듀정보 / 이지에듀정보 주식회사 / 이지에듀정보(주) / 이지에듀정보주식회사,1237,145,단일 제품 99%
비상교육,개발사,,(주)비상교육,314,16,AI교과서·비상 옥수수 등 여러 제품
반디캠컴퍼니,개발사,,반디캠캠퍼니 유한회사 / 반디캠컴퍼니 / 반디캠컴퍼니 유한회사 / 반디캠컴퍼니(유) / 반디캠컴퍼니유한회사,381,163,반디캠·반디컷 두 제품
엘리스그룹,개발사,엘리스,(주)엘리스그룹 / 엘리스쿨 / 주식회사 엘리스그룹,295,87,단일 제품 99%
Padlet,개발사(해외),Padlet,PADLET / PADLET SOFTWAR / PADLET SOFTWARE / PADLET(패들렛) / PADLET* PADLED SOFTWAR / PADLET* PADLET SOFTWAR / PADLET* PADLET SOFTWARE / PADLET* PADLET SOFTWOR / PADLET*PADLET SOFTWAR / PADLET*PADLET SOFTWARE / PADLET*PADLETSOFTWAR / PADLET.COM / Padlet / Padlet(패들렛) / padlet / padlet(패들렛),731,0,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
스쿨마스터,개발사,스쿨마스터,스쿨마스터,216,51,단일 제품 100%
미리캔버스,개발사,미리캔버스,(주)미리캔버스 / 미리캔버스,221,64,단일 제품 99%
동아출판,개발사,,동아출판(주),195,14,AI교과서·클래스무비 등 여러 제품
미래엔,개발사,,(주)미래엔 / 주식회사 미래엔,196,82,AI교과서·초코클래스 등 여러 제품
쿨메신저,개발사,쿨메신저,쿨메신저,142,3,단일 제품 100%
Adobe,개발사(해외),Adobe,Adobe / Adobe Systems Software Ireland Ltd / Adobe(어도비) / KCP-결제-Adobe / adobe,186,7,해외 서비스 — 결제 표기가 곧 제품명(기존 VENDOR_RULES)
클라썸,개발사,클라썸,주식회사 클라썸 / 클라썸,134,23,단일 제품
스쿨닥터,개발사,스쿨닥터,(주)스쿨닥터 / 스쿨닥터,117,2,단일 제품 100%
컴시간,개발사,컴시간,(주)컴시간 / 주식회사 컴시간,118,72,단일 제품 100%
