회계연도,기관명,계약방법,계약명,계약일,계약금액,계약상대자,키워드
2025,금오초등학교,1인수의,[S2B] 2025년 에듀테크 콘텐츠 구입,2025-06-30,9600000,엘위드,에듀테크
2025,한국원자력마이스터고등학교,1인수의,[S2B]025년 에듀테크(콘텐츠) 구입,2025-06-30,1440000,가온인테크,에듀테크
2025,유강초등학교,1인수의,(S2B) 에듀테크 기기 구입비 지급,2025-06-27,2686000,듀이몰,에듀테크
2025,부구초등학교,1인수의,(S2B) 에듀테크 기기(LG27인치 스탠바이미 모니터) 구입,2025-06-27,1760000,에듀플러스,에듀테크
2025,부구초등학교,1인수의,(S2B) 에듀테크 기기(액션캠) 및 콘텐츠 구입,2025-06-27,3881400,위드플러스,에듀테크
2025,진성중학교,1인수의,"디지털 선도학교 운영을 위한 에듀테크 소프트웨어(유클래스, 패들렛, 코스페이시스) 및 3D",2025-06-27,7169000,하나정보시스템,에듀테크
2025,포항영신고등학교,1인수의,에듀테크 활용 기기(스탠바이미2) 구입비,2025-06-27,6510000,LG전자/하이프라자/BEST SHOP,에듀테크
2025,석포초등학교,1인수의,2025년 에듀테크(기기 및 콘텐츠) 구입,2025-06-26,1802300,위드플러스,에듀테크
2025,문성중학교,1인수의,2025학년도 김천시 교육발전특구 시범사업(디지털 교육혁신) 에듀테크(Chat GPT 외3,2025-06-26,3910000,우진정보시스템,에듀테크
2025,김천부곡초등학교,1인수의,2025학년도 에듀테크 구입,2025-06-26,5841800,엘위드,에듀테크
2025,한국철도고등학교,1인수의,2025학년도 에듀테크 디지털 툴 및 에듀테크 기기 구입,2025-06-26,3900000,엘위드,에듀테크
2025,김천부곡초등학교,1인수의,2025 김천교육발전특구 AI디지털창의학교 에듀테크 구입(1차),2025-06-25,1155000,아이티존(주),에듀테크
2025,연일초등학교,1인수의,교과수업용 이동식 스마트모니터 스탠드 구입_에듀테크(기기 및 콘텐츠)지원,2025-06-25,5250000,지마켓글로벌 유한책임회사,에듀테크
2025,포항대흥초등학교,1인수의,2025년 에듀테크 활용 기기 구입(S2B),2025-06-24,3083400,픽스,에듀테크
2025,포항대흥초등학교,1인수의,2025년 에듀테크 활용 콘텐츠 구입(S2B),2025-06-24,3023800,위드플러스,에듀테크
2025,저동초등학교,1인수의,[S2B] 2025학년도 디지털 선도학교 에듀테크 AI코스웨어 구입,2025-06-24,1260000,엘위드,에듀테크
2025,도송중학교,1인수의,[S2B]2025학년도 에듀테크 물품 구입(홀로매직XR),2025-06-24,7920000,중앙교육산업,에듀테크
2025,청도초등학교,2인이상수의,디지털 선도학교 운영을 위한 AI코스웨어 및 에듀테크 구입,2025-06-24,14400000,삼성교재,에듀테크
2025,의성여자중학교,1인수의,에듀테크 콘텐츠 구입,2025-06-24,2200000,주식회사 타임리,에듀테크
