등급,업체명(표기 변형),제품·근거,전체 건수,제품 태그 없는 건수
A 업체명=제품명,(주) 아이스크림 미디어 / (주) 아이스크림미디어 / (주)아이스크림 미디어 / (주)아이스크림미디어 / 아이스크림 미디어 / 아이스크림미디어 / 아이스크림미디어(아이스크림몰) / 주식회사 아이스크림미디어 / 주식회사아이스크림미디어,아이스크림미디어 AI·디지털 교육자료,3307,2075
A 업체명=제품명,포스쿨,리드포스쿨,330,325
A 업체명=제품명,(주)클래스카드 / 주식회사 클래스카드 / 주식회사클래스카드 / 클래스카드,클래스카드,963,322
A 업체명=제품명,(주)클래스팅 / 주식회사 클래스팅 / 주식회사클래스팅 / 클래스팅,클래스팅,654,283
A 업체명=제품명,스쿨투,스쿨투게더,526,243
A 업체명=제품명,반디캠컴퍼니 / 반디캠컴퍼니 유한회사 / 반디캠컴퍼니(유) / 반디캠컴퍼니유한회사,반디캠,376,163
A 업체명=제품명,(주) 교보문고 / (주)교보문고 / 교보문고,교보문고 전자도서관,215,155
A 업체명=제품명,하이파이브,하이파이브,343,145
A 업체명=제품명,(주) 천재교과서 / (주)천재교과서,천재교과서 AI·디지털 교육자료,1066,139
A 업체명=제품명,(주)이지에듀정보 / 이지에듀정보 / 이지에듀정보 주식회사 / 이지에듀정보(주) / 이지에듀정보주식회사,이지에듀,1195,130
A 업체명=제품명,주식회사 온리원,온리원,233,121
A 업체명=제품명,스쿨톡,스쿨톡 교원안심번호,110,96
A 업체명=제품명,(주)메타스쿨 / 메타스쿨 / 주식회사메타스쿨,메타스쿨,113,92
A 업체명=제품명,(주)미래엔 / 주식회사 미래엔,미래엔 AI·디지털 교육자료,196,82
A 업체명=제품명,(주)엘리스그룹 / 주식회사 엘리스그룹,엘리스,275,80
A 업체명=제품명,(주)컴시간 / 주식회사 컴시간,컴시간,118,72
A 업체명=제품명,(주)미리캔버스 / 미리캔버스,미리캔버스,221,64
A 업체명=제품명,올리브,올리브AI,67,57
A 업체명=제품명,플러스,모디 플러스 마스터 키트,53,53
A 업체명=제품명,스쿨마스터,스쿨마스터,216,51
A 업체명=제품명,주식회사 타임리,타임리GPT,54,45
A 업체명=제품명,지니스쿨,지니스쿨,55,36
A 업체명=제품명,스쿨런,아이스크림 스쿨런,32,27
A 업체명=제품명,(주)학교종이 / 주식회사 학교종이 / 주식회사학교종이 / 학교종이,학교종이,1343,25
A 업체명=제품명,(주)리딩게이트 / 주식회사 리딩게이트,리딩게이트,672,24
A 업체명=제품명,주식회사 클라썸 / 클라썸,클라썸,134,23
A 업체명=제품명,주식회사 플랫폼,인공지능 맞춤형 교수학습 플랫폼(11개 시도교육청 공동 구축),29,18
A 업체명=제품명,주식회사 넷클래스,넷클래스,65,17
A 업체명=제품명,(주)비상교육,비상교육 AI·디지털 교육자료,314,16
A 업체명=제품명,ZOOM / ZOOM(줌) / zoom,DocZoom,82,16
A 업체명=제품명,주식회사 파이브,하이파이브,16,16
A 업체명=제품명,이지에듀,이지에듀,42,15
A 업체명=제품명,주식회사 케이티밀리의서재,밀리의서재,24,15
A 업체명=제품명,동아출판(주),동아출판 AI·디지털 교육자료,195,14
A 업체명=제품명,아이런,에이아이런,12,12
A 업체명=제품명,ZOOM.US,Zoom,65,11
A 업체명=제품명,주식회사 케이지에듀원,이지에듀,10,10
A 업체명=제품명,북크리에이터,북크리에이터(Bookcreator),16,9
A 업체명=제품명,(주)아이스크림,아이스크림미디어 AI·디지털 교육자료,9,9
