회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,고운고등학교,1인수의,물품,(원인)2026학년도 세종이도리더프로그램 에듀테크 구입(최단거리탐구팀),2026-07-27,148000,가온이테크,에듀테크
2026,소정초등학교,1인수의,물품,2026학년도 AI 디지털 활용 선도학교 하반기 에듀테크 구입비 지급,2026-07-14,1120000,(주) 아이스크림미디어,에듀테크
2026,세종도원초등학교,1인수의,물품,[카드]2026학년도 성장지원 프로그램 운영 물품 구입(에듀테크를 활용한 학습놀이),2026-07-13,17400,지마켓,에듀테크
2026,세종도원초등학교,1인수의,물품,[카드]2026학년도 성장지원 프로그램 운영 물품 구입(에듀테크를 활용한 학습놀이),2026-07-10,132040,지마켓,에듀테크
2026,한솔중학교,1인수의,물품,[S2B] AI중점학교 에듀테크 관련 프로그램(클로드) 구입,2026-07-10,252000,S2B(학교장터_선결제),에듀테크
2026,다정중학교,1인수의,물품,2026학년도 AI 디지털 활용 선도학교 에듀테크 상품 구매(GPT 2차),2026-06-29,912000,나이스쿨,에듀테크
2026,종촌중학교,1인수의,물품,[S2B-카드원행] 2026학년도 교사용 에듀테크 코스웨어 구입(클로드 1종),2026-06-26,148000,가온인테크,에듀테크
2026,대평초등학교,1인수의,물품,AI 중점학교 에듀테크 구입,2026-06-26,36000,위드현 에듀테크,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(패들렛),2026-06-23,1169000,위멘토피아,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(아트봉봉스쿨),2026-06-23,519000,주식회사 아이스크림미디어,에듀테크
2026,고운고등학교,1인수의,물품,(원인)2026학년도 전문적 학습공동체 '고운마음 에듀테크' 물품(도서),2026-06-19,484400,알라딘커뮤니케이션,에듀테크
2026,나성초등학교,1인수의,물품,디지털활용선도학교 에듀테크(토도한글) 추가 구입비 지출,2026-06-19,94500,아이티존(주),에듀테크
2026,부강중학교,1인수의,물품,생성형 AI 및 에듀테크 소프트웨어 구입,2026-06-19,1005000,바이에듀,에듀테크
2026,두루초등학교,1인수의,용역,2026학년도 AI·디지털 활용 선도학교 운영을 위한 에듀테크(클래스툴) 구입비 지급,2026-06-19,720000,(주)아이스크림미디어,에듀테크
2026,두루초등학교,1인수의,용역,2026학년도 AI·디지털 활용 선도학교 운영을 위한 에듀테크(띵커벨) 구입비 지급,2026-06-19,760000,(주)아이스크림미디어,에듀테크
2026,새롬고등학교,1인수의,물품,[카드] 2026학년도 AI 디지털 선도학교 에듀테크 및 코스웨어 서비스 등 추가 구독(생,2026-06-18,1414300,OPENAI *CHATGPT SUBSCR,에듀테크
2026,고운고등학교,1인수의,물품,(원인)2026학년도 세종이도리더프로그램 에듀테크구입(언제나초록불팀),2026-06-16,200000,주식회사 교육의정석,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(수페 플러스) 구입,2026-06-15,89000,라기,에듀테크
2026,솔빛초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(패들렛),2026-06-15,1336000,위멘토피아,에듀테크
2026,아름고등학교,1인수의,물품,2026학년도 AI디지털 활용 선도학교 에듀테크(Claude) 구입비 지급,2026-06-15,2852670,ANTROPIC*CLAUDE TEAM,에듀테크
2026,나성초등학교,1인수의,물품,디지털활용선도학교 에듀테크(멘티미터) 사용료 지출,2026-06-12,280000,가온인테크,에듀테크
2026,조치원중학교,1인수의,물품,[S2B] AI디지털활용 선도학교 관련 에듀테크 및 AI코스웨어 구입,2026-06-10,2163000,올댓스쿨 주식회사,에듀테크
2026,고운고등학교,1인수의,물품,(원인)2026학년도 디지털 선도학교 에듀테크 계정 구입,2026-06-09,1455000,테크홍,에듀테크
2026,나성초등학교,1인수의,물품,디지털활용선도학교 에듀테크(키네마스터) 추가 사용료 지출,2026-06-08,3168000,넥스터시스템즈 주식회사,에듀테크
2026,새롬고등학교,1인수의,물품,"[카드] 2026학년도 AI 디지털 선도학교 에듀테크 서비스 구독(PADLET, 생성형 A",2026-06-07,817490,PADLET.COM,에듀테크
2026,반곡고등학교,1인수의,물품,2026학년도 AI중점학교 연구 개발 목적 에듀테크 구입,2026-06-04,1584000,위드플러스,에듀테크
2026,보람중학교,1인수의,물품,[카드 5838] [S2B] 2026년 AI중점학교 운영 에듀테크 구입(2차),2026-06-01,2392000,엘위드,에듀테크
2026,의랑초등학교,1인수의,물품,[카드] 6월 5학년 AI 에듀테크 코스웨어 사용권 및 운영물품 구입,2026-06-01,166900,주안테크,에듀테크
2026,종촌초등학교,1인수의,물품,2026학년도 에듀테크 구입,2026-05-28,255000,테크빌교육(주),에듀테크
2026,보람중학교,1인수의,물품,[카드 5838] [S2B] 2026년 AI중점학교 운영 에듀테크 구입,2026-05-22,9457000,엘위드,에듀테크
2026,도담초등학교,1인수의,물품,[S2B] 2026학년도 1학기 AI 중점학교 AI 코스웨어 및 에듀테크 추가 구입(클로드,2026-05-21,111000,에듀포트,에듀테크
2026,바른초등학교,1인수의,물품,[카드] 2026학년도 주제전학공(에듀테크 로보랩)운영을 위한 물품(코드마스터 외 1종),2026-05-21,210600,주식회사 삼화문구 세종점,에듀테크
2026,바른초등학교,1인수의,물품,[카드] 2026학년도 주제전학공(에듀테크 로보랩)운영을 위한 물품(아이클레이 외 1종),2026-05-19,38000,아이스크림몰(아이스크림미디어),에듀테크
2026,새롬초등학교,1인수의,물품,[카드] 2026학년도 AI중점학교 에듀테크 구매(6학년 1차),2026-05-18,1485000,한국교직원공제회 S2B,에듀테크
2026,소정초등학교,1인수의,물품,2026년 AI 디지털 활용 선도학교 에듀테크 및 생성형 AI 구입비 지급,2026-05-13,1401000,학교장터(S2B),에듀테크
2026,나성초등학교,1인수의,물품,디지털활용선도학교 에듀테크(구글 제미나이) 사용료 지출,2026-05-13,4356000,주안테크,에듀테크
2026,고운고등학교,1인수의,물품,(원인)2026학년도 디지털 선도학교 에듀테크 계정 구입,2026-05-13,268000,위드스쿨(주),에듀테크
2026,보람고등학교,1인수의,물품,[S2B] 2026 AI 디지털 활용 선도학교] 에듀테크(패들렛) 구독,2026-05-12,5400000,클라스온 주식회사,에듀테크
2026,아름중학교,1인수의,물품,[2캠퍼스]2026학년도 학교단체용 및 교사 개인 교육활동 지원 에듀테크 구입_제미나이 프,2026-05-12,2112000,바오스토어,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(김킷 외 1종) 구입,2026-05-11,455000,올아이피정보통신 주식회사,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(워드월) 구입,2026-05-11,174400,로그테크,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(클로드) 구입,2026-05-11,1406000,에듀포트,에듀테크
2026,해밀고등학교,1인수의,물품,2026학년도 디지털 기반 교육혁신 선도학교 에듀테크 물품구입(2차_딥엘 번역기),2026-05-11,300000,에듀스쿨(강원),에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(팅커벨) 구입,2026-05-11,300000,(주)아이스크림미디어,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(일프로연산) 구입,2026-05-11,138000,(주)매쓰마스터,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(Zep퀴즈) 구입,2026-05-11,66000,올댓스쿨 주식회사,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(패들렛) 구입,2026-05-11,1422000,행복장터,에듀테크
2026,도담초등학교,1인수의,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(카훗) 구입,2026-05-11,134000,위드현 에듀테크,에듀테크
