회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,여수중앙여자고등학교,1인수의,물품,2026. 국어과 에듀테크활용프로그램 사용권 구입,2026-07-24,179400,테크빌교육(주),에듀테크
2026,강진중앙초등학교,1인수의,물품,[S2B] 연구학교 과제수행을 위한 에듀테크 구독료 지출(메쉬AI),2026-07-24,175000,나이스쿨,에듀테크
2026,강진중앙초등학교,1인수의,물품,[S2B] 연구학교 과제수행을 위한 에듀테크 구독료 지출(힉스필드),2026-07-24,180000,스쿨잼,에듀테크
2026,산포초등학교,1인수의,물품,2030교실 운영 연구회 회원 에듀테크 플랫폼 구독료,2026-07-21,600000,주식회사 아이스크림미디어,에듀테크
2026,화순제일중학교,1인수의,물품,[카드]정보교과 교육활동 에듀테크 구입,2026-07-20,300000,위드플러스,에듀테크
2026,의신초등학교,1인수의,물품,2026.정보교육 운영물품 및 작은학교 특색교육(에듀테크) 운영물품 구입,2026-07-20,171100,주식회사 지마켓,에듀테크
2026,담양동초등학교,1인수의,물품,2026. 너Do 나Do 통(通)하는 에듀테크 영어교육 교구자료 구입,2026-07-21,376100,(주)아이스크림미디어,에듀테크
2026,의신초등학교,1인수의,물품,(S2B)2026.정보교육 운영물품 및 작은학교 특색교육(에듀테크) 운영물품 구입,2026-07-20,94800,(주)청정민국,에듀테크
2026,구례북초등학교,1인수의,물품,구례미래교육과정 에듀테크 활용 소프트웨어(감마) 사용권 구입,2026-07-10,309000,스쿨메이트,에듀테크
2026,구례북초등학교,1인수의,물품,구례미래교육과정 에듀테크 활용 소프트웨어(퍼플렉시티) 사용권 구입,2026-07-10,288000,주식회사 레드포인트,에듀테크
2026,증도초등학교,1인수의,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(듀오링,2026-07-08,666000,주안테크,에듀테크
2026,증도초등학교,1인수의,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(클로드,2026-07-08,220000,주안테크,에듀테크
2026,증도초등학교,1인수의,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(모션엘,2026-07-08,330000,주안테크,에듀테크
2026,증도초등학교,1인수의,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(캡컷,2026-07-08,492000,사자곰,에듀테크
2026,증도초등학교,1인수의,물품,[원인] 2026학년도 AI디지털 활용 선도학교 AI코스웨어 및 에듀테크 추가 구독(필모라,2026-07-08,300000,주안테크,에듀테크
2026,순천제일고등학교,1인수의,물품,2026. 기후변화와 순천만 공동교육과정 운영 에듀테크 구입,2026-07-07,1619000,스트로베리필즈,에듀테크
2026,목포유달중학교,1인수의,물품,2026. 에듀테크 콘텐츠(비디오스튜) 구입,2026-07-07,1498000,비디오스튜 주식회사,에듀테크
2026,염산초등학교,1인수의,물품,2026. AI코스웨어 및 에듀테크(키위런) 구입,2026-06-23,1409000,(주)투블럭에이아이,에듀테크
2026,강진중앙초등학교,1인수의,물품,[S2B] 연구학교 과제 수행을 위한 에듀테크(chatGPT Pro) 구독료 지출,2026-07-03,380000,주식회사 레드포인트,에듀테크
2026,미력초등학교,1인수의,물품,수업용 AI활용 에듀테크 스쿨마스터 구독료 지출,2026-07-01,50000,파프리카,에듀테크
2026,장성중앙초등학교,1인수의,물품,2026. 2030교실 수업자료 개발을 위한 에듀테크 구입,2026-06-26,220000,(주)아이스크림미디어,에듀테크
2026,순천승남중학교,1인수의,용역,[S2B] 2026학년도 작은학교 특성화교육 학기말 취약시기 특별 프로그램 에듀테크(AI,2026-06-25,480000,주식회사 교육의정석,에듀테크
2026,순천승남중학교,1인수의,용역,[S2B] 2026학년도 작은학교 특성화교육 학기말 취약시기 특별 프로그램 에듀테크(영상,2026-06-25,207000,주식회사 레드포인트,에듀테크
2026,아산초등학교,1인수의,물품,[S2B]2026. AI 중점학교 에듀테크 구독료 지급자작자작),2026-06-24,320000,(주)팀플백,에듀테크
