회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2026,이리서초등학교,늘봄학교 물품 구입(3D스팀펜부),2026-07-01,3102000,,주식회사 제트플레이,3D스팀펜
2026,군산상일고등학교,2026학년도 과학문화융합 교육과정 첨단 과학 기자재(스마트 AI 천체망원경 시스타 S30,2026-05-15,1050000,,클리프7.3,AI 천체망원경
2026,남원용성고등학교,(AI역량강화) 5-1 인공지능(AI) 모델링 및 성능평가 실무 과정(AICE 자격연계) 용역 계약,2026-06-29,5969100,,(주)케이티,AICE
2026,임실초등학교,2026학년도 AI 디지털 활용 선도학교 1학기 AIDT 구매 계약,2026-04-16,3206500,,주식회사 아이스크림미디어,AIDT
2026,이리팔봉초등학교,AI 디지털 교육자료(구AIDT) 구매 요청,2026-04-10,2197200,,(주) 천재교과서,AIDT
2026,전주동초등학교,"AI·디지털 활용 선도학교 AI디지털교육자료 및 AI코스웨어, 에듀테크 구독",2026-05-13,8243840,,주식회사 아이스크림미디어,AI디지털교육자료
2026,전주동초등학교,"AI·디지털 활용 선도학교 AI디지털교육자료 및 AI코스웨어, 에듀테크 구독1",2026-04-30,2329500,,(주)아이젠테크,AI디지털교육자료
2026,정읍남초등학교,AI코스웨어 수학학습프로그램 이용권 지급(AI마타수학),2026-04-10,3979800,,마타에듀 주식회사,AI마타수학
2026,정읍남초등학교,AI코스 수학코스웨어 구독료 지급(AI아크수학),2026-04-21,1161000,,(주)아이스크림미디어,AI아크수학
2026,회현초등학교,AI 디지털 선도학교 에듀테크 추가 구입(Chat GPT),2026-05-15,1197600,,으뜸스쿨,Chat GPT
2026,전북과학고등학교,"2026학년도 전북과학고 에듀테크 생성형 AI 구독료(Chat GPT, Gemini)(S2",2026-03-30,11596000,,아이티존(주),Chat GPT
2026,덕암정보고등학교,2026년 AI·디지털 활용 선도학교 교사용 생성형 AI구독료 지출(Claude ),2026-05-22,1302000,,주식회사 스쿨온담,Claude
2026,배영고등학교,2026학년도 AI 선도학교 운영을 위한 DBpia 학술 DB 및 AI 코스웨어 프로그램 구입비 지출,2026-08-25,3028000,,(주)누리미디어,DBpia
2026,군산제일고등학교,[G2B] 2026학년도 과학중점학교 교육 프로그램(DBpia) 구독 [지출],2026-04-24,1090000,,(주)누리미디어,DBpia
2026,호남고등학교,2026 AI 디지털 활용 선도학교 에듀테크(DBpia AI) 라이센스 구독권 구입,2026-04-21,2563500,,(주)누리미디어,DBpia
2026,전라고등학교,2026학년도 DBpia 구독,2026-04-16,1090000,,(주)누리미디어,DBpia
2026,군산여자고등학교,2026. 학술논문사이트(DBpia) 구독료 지급,2026-04-07,1090000,,(주)누리미디어,DBpia
2026,이리계문초등학교,2026 학년도 교원용 에듀테크 구독료 지급(Gemini pro),2026-05-08,2040000,,스마트에듀,Gemini
2026,군산기계공업고등학교,2026학년도 AI 디지털 활용 선도학교 관련 소프트웨어(Gemini) 구입,2026-04-07,5174000,,나이스쿨,Gemini
2026,전주공업고등학교,2026. 기계과 CAD실 의자 구입,2026-07-10,1930360,,전북지방조달청,Or CAD
2026,군산기계공업고등학교,2026학년도 공학2관 2층 전기시스템제어과 전기CAD실 PC수리,2026-03-24,1092000,,군산IT,Or CAD
2026,전주동신초등학교,2026학년도 디지털선도학교 에듀테크 도구-Padlet(패들렛) 이용권 구입,2026-09-09,1120000,,아이티존(주),Padlet
2026,운주중학교,2026 지능형 과학실 비품 및 운영용품(SMART LED 전자칠판) 구입,2026-07-09,5120000,,주식회사 국제스쿨,SMART
2026,임실초등학교,2026년 AI 디지털 활용 선도학교 교사용 에듀테크(Suno) 구입 계약,2026-06-01,2760000,,리프레쉬업,Suno
2026,군산동원중학교,2026년 AI·디지털 활용 선도학교 소프트웨어(ZEP) 구입,2026-05-18,4950000,,주식회사 젭,ZEP
