회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2023,오현중학교,교내 폐기물 처리 용역,2024-02-29,2032000,1인수의,세진환경개발,(전수)
2023,대정여자고등학교,교실 및 관리실 표찰교체,2024-02-29,1305000,1인수의,주식회사 한솔,(전수)
2023,대기고등학교,다목적학습관 증축 건축공사 계약,2024-02-29,54120610,1인수의,원담종합건설,(전수)
2023,인화초등학교,"(카드) 돌봄1반,4반,5반 활동물품구입",2024-02-29,1183310,1인수의,(주)아이스크림미디어,(전수)
2023,월랑초등학교,"신학기 교육 및 업무용 소모품(토너, 잉크) 구입",2024-02-29,13935000,1인수의,주식회사 해피넷,(전수)
2023,서귀포초등학교,2023학년도 유치원 구성놀이 블럭 구입대금 지급,2024-02-29,2014250,1인수의,제주보육사,(전수)
2023,도남초등학교,신학기 준비를 위한 폐기물품 이동 및 폐기물 처리,2024-02-29,2837000,1인수의,토탈종합건축,(전수)
2023,백록초등학교,행정실 프린터 토너 구입,2024-02-29,2563000,1인수의,첨단오피스,(전수)
2023,백록초등학교,복사용지 구입,2024-02-29,2021800,1인수의,주식회사 제주이앤지,(전수)
2023,신성여자중학교,(카드) 시설관리 소모품(비닐외) 구입,2024-02-29,1856980,1인수의,쿠팡(주),(전수)
2023,노형초등학교,돌봄교실 칠판 구입,2024-02-29,1200000,1인수의,중앙교재상사,(전수)
2023,더럭초등학교,"5, 6학년 교실 씽크대 구입",2024-02-29,1100000,1인수의,우성가구,(전수)
2023,서귀포대신중학교,신학기 맞이 사무용품 구입,2024-02-29,1477400,1인수의,오피스디포 서귀포점(주),(전수)
2023,안덕중학교,2023학년도 복사기 유지보수 계약에 따른 렌탈 추가사용료 지급,2024-02-29,2102400,1인수의,주식회사 해피넷,(전수)
2023,남주중학교,발간소모품 및 사무용품 구입(A4외6종),2024-02-29,2113600,1인수의,봉수컴넷,(전수)
2023,귀일중학교,체육관 스탠드냉난방기 설치,2024-02-28,14907000,1인수의,엘지전자 주식회사,(전수)
2023,귀일중학교,음악실 천정형냉난방기 설치,2024-02-28,9682110,1인수의,엘지전자 주식회사,(전수)
2023,제주중앙고등학교,2023학년도 학교 관리실 석면공사에 따른 문서함구매 지출,2024-02-28,10450000,1인수의,제주한빛,(전수)
2023,제주중앙고등학교,본관동 소방펌프 전기분전함 교체 공사 계약,2024-02-28,5200000,1인수의,제주이앤씨주식회사,(전수)
2023,남주중학교,남주중학교 환기설비 재배치 및 지하공간 환기설비 설치계약,2024-02-28,6200000,1인수의,(주)우성기계공조,(전수)
2023,세화중학교,체육시설 안전보강 모래 교체,2024-02-28,4547000,1인수의,(주)대웅건설,(전수)
2023,서귀포고등학교,운동장 비구방지 스펀지 보호대 구입,2024-02-28,4680000,1인수의,스포츠마켓,(전수)
2023,이도초등학교,2024학년도 입학식 운영물품 구입,2024-02-28,1200000,1인수의,청화꽃집,(전수)
2023,탐라중학교,시설관리용 소모품(반코팅장갑외 18종) 구입,2024-02-28,1299000,1인수의,주식회사 청은,(전수)
2023,한라초등학교,방과후도움실 및 관리실(학년협의실 등) 토너 외 1종구입,2024-02-28,8317000,1인수의,제주정보기술,(전수)
2023,사계초등학교,학교시설관리 운영물품 구입,2024-02-28,1070500,1인수의,평화공구백화점,(전수)
2023,외도초등학교,교내 환경 위생 용품 구입(점보롤화장지 외),2024-02-28,3026500,1인수의,제주특별자치도 장애인생산품판매시설,(전수)
2023,삼양초등학교,학교 화장실용 핸드타올 구입,2024-02-28,1116500,1인수의,제주특별자치도장애인생산품판매시설,(전수)
2023,삼양초등학교,"교실 복도 신발장, 보관장 제작",2024-02-28,1000000,1인수의,제주OA,(전수)
2023,삼양초등학교,교실 벽면 페인트 도장 공사,2024-02-28,3300000,1인수의,제주산업(노루대리점),(전수)
2023,도남초등학교,전산네트워크 시설 및 소모품 구입,2024-02-28,1375000,1인수의,(주)대성정보기술,(전수)
2023,도남초등학교,"학교 책상 유리커버 제작,설치 작업 실시",2024-02-28,1390000,1인수의,현대유리.알미늄,(전수)
2023,세화중학교,(카드) 학교출입문 자동개폐시스템 구축에 따른 현관문 교체,2024-02-28,4700000,1인수의,창문나라,(전수)
2023,세화중학교,행정용 사무용품(결재판 외 52종) 구입,2024-02-28,1783480,1인수의,신동아문구 시청점,(전수)
2023,세화중학교,화장실 핸드페이퍼 및 점보롤 화장지 구입,2024-02-28,2295000,1인수의,주식회사 혼디,(전수)
2023,노형초등학교,행정실 사무용품 구입(보드마카 외 24종),2024-02-28,1997100,1인수의,주식회사 신동아문구,(전수)
2023,노형초등학교,2023학년도 여자축구부 동계강화훈련관련 훈련용품 구입(훈련용 가방),2024-02-28,1021800,1인수의,상우정,(전수)
2023,노형초등학교,돌봄교실 운영물품 구입(전기주전자 외 71종),2024-02-28,2638440,1인수의,올레오피스,(전수)
2023,서귀북초등학교,학교 폐기물 처리,2024-02-28,1588000,1인수의,성진산업(주),(전수)
2023,법환초등학교,도서관 큐브형 분류표시판 구입,2024-02-28,2550000,1인수의,(주)DLS,(전수)
2023,구엄초등학교,유치원 재료(네임스키커 외 4종)구입,2024-02-28,1080380,1인수의,아이꿈터,(전수)
2023,구엄초등학교,행정실 프린터 및 팩스 토너 구입,2024-02-28,1580000,1인수의,주식회사 해피넷,(전수)
2023,신제주초등학교,(원인)본관동 중앙현관 2층~3층 화단 꽃 구입 및 정비,2024-02-28,2426000,1인수의,향운꽃집,(전수)
2023,물메초등학교,교무실 및 행정실 복사기 컬러 토너 구입,2024-02-28,1188000,1인수의,주식회사 해피넷,(전수)
2023,신촌초등학교,시설유지보수용 자재 구입,2024-02-28,1584100,1인수의,한영종합상사,(전수)
2023,신촌초등학교,학급 및 교무실 운영에 따른 사무용품 구입,2024-02-28,1675000,1인수의,주식회사 해피넷,(전수)
2023,남주중학교,2024학년도 준비 1학년학급교실 내부 및 야외음수대 비가림 도장작업,2024-02-28,3200000,1인수의,서귀포삼화페인트,(전수)
2023,한림공업고등학교,2024 지방기능경기대회 대비 전기과 전기제어 재료 구입,2024-02-28,2776000,1인수의,보현전기,(전수)
2023,함덕고등학교,음악관 환경 조성을 위한 공기정화식물 구입,2024-02-28,1450000,1인수의,주희네꽃집,(전수)
2023,제주중앙초등학교,시설관리 용품 구입,2024-02-28,1203500,1인수의,한영종합상사,(전수)
2023,광양초등학교,학교 폐기물 처리 용역,2024-02-28,1687400,1인수의,삼다종합용역,(전수)
2023,함덕고등학교,학교 혼합폐기물 처리용역,2024-02-28,2114200,1인수의,세화환경자원,(전수)
2023,함덕고등학교,행정실 복사기 토너 구입 및 노트북 수리,2024-02-28,1725000,1인수의,주식회사 해피넷,(전수)
2023,제주중앙고등학교,고교학점제 대비 공간재구성사업에 따른 본관 강당 리모델링공사 준공후...,2024-02-28,3400000,1인수의,클린제주,(전수)
2023,함덕고등학교,음악관 복합기 토너 및 정보화기기 소모품 구입,2024-02-28,1254000,1인수의,주식회사 해피넷,(전수)
2023,함덕고등학교,학교 시설관리를 위한 시설물 물품 구입,2024-02-28,1477000,1인수의,신화종합상사,(전수)
2023,화북초등학교,복사용지 구입,2024-02-28,2100000,1인수의,제주특별자치도 장애인생산품판매시설,(전수)
2023,제주중앙여자고등학교,교무실 재배치에 따른 통신선로 및 행정실 통신랙 정비 공사,2024-02-28,2000000,1인수의,주식회사 제주이앤지,(전수)
2023,광양초등학교,2024학년도 입학식 행사장 풍선장식 설치 용역,2024-02-28,1100000,1인수의,제주상상이벤트,(전수)
2023,신성여자고등학교,학생화장실용 화장지 및 핸드타올 구입,2024-02-28,7130000,1인수의,유한D&S,(전수)
2023,신성여자고등학교,학년실 복사기 소모품(토너 외) 구입,2024-02-28,1300000,1인수의,그린오에이시스템,(전수)
2023,표선고등학교,"학교 불용,폐기물품 폐기물 처리 및 신학기 준비 이사용역 실시",2024-02-28,3326400,1인수의,삼다종합용역,(전수)
2023,삼성여자고등학교,학교 쓰레기 및 혼합폐기물 처리 용역,2024-02-28,1960860,1인수의,(주)칠십리환경산업,(전수)
2023,남주고등학교,2024학년도 학생용 교과서대 지급[국어 외 59종],2024-02-28,50171980,1인수의,사단법인 한국검인정교과서협회,(전수)
2023,남주고등학교,2024학년도 학생용 교과서대 지급[음악 외 9종],2024-02-28,9429390,1인수의,서귀포교과서공급소,(전수)
2023,영평초등학교,교장실 및 문서고 등 이사작업 실시,2024-02-28,1440000,1인수의,보람환경,(전수)
2023,제주동초등학교,교내 폐기물 처리비 지급,2024-02-28,2350500,1인수의,제이클린,(전수)
2023,도리초등학교,시설관리용품 구입,2024-02-28,3800000,1인수의,한영종합상사,(전수)
2023,도리초등학교,방과후학교 운영 물품(건전지 외 33종) 구입,2024-02-28,2063300,1인수의,주식회사신동아문구,(전수)
2023,저청중학교,저청중학교 골프연습장 증축공사에 따른 관급자재(타일단열패널) 구입( ...,2024-02-28,1495000,1인수의,제주지방조달청,(전수)
2023,제주중앙여자고등학교,(카드) 학생 진로학업 설계 지원을 위한 학습 플래너 구입,2024-02-28,4579000,1인수의,주식회사 인디고,(전수)
2023,남주중학교,학교 안전사고예방 출입문 유리파손방지필름 작업 실시,2024-02-28,1440000,1인수의,와이제이광고기획,(전수)
2023,장전초등학교,사무용품 구매,2024-02-28,1990660,1인수의,주식회사 신동아문구,(전수)
2023,남주중학교,학교 교실 바닥타일 및 출입문 수리작업 실시,2024-02-28,1650000,1인수의,주식회사 수목테크,(전수)
2023,남주중학교,교실 학생용 책상 상판 구입,2024-02-28,1750000,1인수의,탐라퍼니처,(전수)
2023,강정초등학교,학교 화단 조성용 봄꽃모종 구매,2024-02-28,1600000,1인수의,애플플라워,(전수)
2023,종달초등학교,종달초등학교 천연잔디 운동장 개보수 공사에 따른 철근콘크리트용봉강 ...,2024-02-27,2485040,1인수의,제주지방조달청,(전수)
2023,종달초등학교,종달초등학교 천연잔디 운동장 개보수 공사에 따른 레미콘,2024-02-27,11890350,1인수의,제주지방조달청,(전수)
2023,종달초등학교,종달초등학교 천연잔디 운동장 개보수 공사에 따른 스틸그레이팅 외 1종,2024-02-27,6646600,1인수의,제주지방조달청,(전수)
