회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,청주혜원학교,1인수의,물품,[카드] 2026. 에듀테크 선진지 견학 및 AI디지털 활용 선도학교 교직원 연수 운영 물,2026-07-23,39920,(주)한국마트 금천점,에듀테크
2026,옥천고등학교,1인수의,물품,[원인] 교육발전특구(AI 융합교육) 사업을 위한 교직원 에듀테크 구독권 구입(CHat G,2026-07-21,1716000,비케이 에듀,에듀테크
2026,옥천고등학교,1인수의,물품,[원인] 교육발전특구(AI 융합교육) 사업을 위한 교직원 에듀테크 구독권 구입(클로드),2026-07-21,2856000,에듀넥스트,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(과학과),2026-07-21,43800,11번가(주),에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(과학과),2026-07-20,116800,주식회사 지마켓,에듀테크
2026,제천디지털전자고등학교,1인수의,물품,2026. AI선도학교 에듀테크 프로그램 구입,2026-07-16,6662500,위드스쿨(주),에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(국어과),2026-07-16,361990,주식회사 지마켓,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(과학과),2026-07-16,9900,11번가(주),에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(수학과),2026-07-16,81990,11번가(주),에듀테크
2026,감곡초등학교,1인수의,물품,[원인]영상 제작을 위한 에듀테크(모션엘리먼츠) 구입비 지출,2026-07-16,348500,아이티존(주),에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(생활교양특수교과),2026-07-15,379150,주식회사 지마켓,에듀테크
2026,청주혜원학교,1인수의,물품,2026. 에듀테크 선진지 견학 및 AI디지털 활용 선도학교 교직원 연수 운영 현수막 구입,2026-07-15,40000,나눔의터,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(예술과),2026-07-14,183120,주식회사 지마켓,에듀테크
2026,용아중학교,1인수의,물품,[원인] 2026. AI 디지털 선도학교 국제교류 동아리 활동 에듀테크 구입비 지급,2026-07-14,684000,올아이피정보통신 주식회사,에듀테크
2026,제천여자중학교,1인수의,물품,"[원인,s2b] 과학과 교과활동 에듀테크 프로그램(ZEP Quiz Pro) 라이선 구입",2026-07-14,330000,올댓스쿨 주식회사,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(체육과),2026-07-13,4980,주식회사 지마켓,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(영어과),2026-07-13,24840,주식회사 지마켓,에듀테크
2026,성암초등학교,1인수의,물품,AI. 디지털 활용 선도학교 에듀테크 구입(패들렛),2026-07-13,1421000,올댓스쿨 주식회사,에듀테크
2026,서전중학교,1인수의,물품,2026. AI중점학교 운영 및 수업 지원을 위한 에듀테크 구입,2026-07-13,294000,클라스온 주식회사,에듀테크
2026,충주혜성학교,1인수의,물품,에듀테크 액션캠 구입,2026-07-13,819000,(주)정원클래스,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(영어과),2026-07-10,340750,주식회사 지마켓,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 추가 구입,2026-07-08,195000,주안테크,에듀테크
2026,동성고등학교,1인수의,물품,[카드_원인] 2026. 디지털선도학교 운영을 위한 에듀테크 라이선스(ChatGPT(학생용,2026-07-07,456000,아이티존(주),에듀테크
2026,오창중학교,1인수의,물품,[원인-카드] 2026년 전문적학습공동체(AI와 에듀테크) 연구활용 물품(AI오답노트 프린,2026-07-07,295000,주식회사지마켓,에듀테크
2026,청원초등학교,1인수의,물품,[AI디지털활용선도학교]보드형 에듀테크(띵커벨),2026-07-06,60000,아이스크림미디어,에듀테크
2026,동성고등학교,1인수의,물품,2026. 디지털선도학교 운영 에듀테크 라이선스 구입(어도비),2026-07-03,871200,(주)바움아이티,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입(토도한글),2026-07-03,175500,주식회사 에누마코리아,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입(마인크래프트),2026-07-03,268200,에듀넥스트,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입,2026-07-03,95000,주식회사 성주코퍼레이션,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입(알공영어 및 수학),2026-07-03,966000,주식회사 디엔소프트,에듀테크
2026,양청중학교,1인수의,물품,[원인] 2026. AI·디지털 활용 선도학교 운영 에듀테크(클래스카드 teacher),2026-07-03,960000,주식회사 클래스카드,에듀테크
2026,봉명고등학교,1인수의,물품,[원인] 2026. 에듀테크 수업을 위한 물품 구입(사회과),2026-07-02,343740,주식회사 지마켓,에듀테크
2026,증평중학교,1인수의,물품,2026. 증평중학교 SW영재학급 운영 에듀테크 플랫폼 구입,2026-07-02,297000,행복장터,에듀테크
2026,제천상업고등학교,1인수의,물품,[AI선도] 2026. 디지털 선도학교 활용 에듀테크 프로그램(ChatGPT) 구입(S2B,2026-07-02,228000,아이티존(주),에듀테크
2026,대소초등학교,1인수의,물품,[원인] 2026. AI·디지털 연구학교 에듀테크 라이센스(사용권) 계정 연장,2026-06-30,190000,아이티존(주),에듀테크
2026,진천상신초등학교,1인수의,물품,2026. 디지털선도학교 운영 AI코스웨어 및 에듀테크 (투닝),2026-06-29,2340000,툰스퀘어,에듀테크
2026,옥천고등학교,1인수의,물품,[원인] 교육발전특구(AI 디지털 융합교육) 운영을 위한 에듀테크 구독권 구입(S2B),2026-06-26,648000,제이로이,에듀테크
2026,새터초등학교,1인수의,물품,디지털 선도학교 에듀테크 프로그램 구입(제미나이 플러스),2026-06-25,92400,올아이피정보통신 주식회사,에듀테크
2026,새터초등학교,1인수의,물품,디지털 선도학교 에듀테크 프로그램 구입(GPT GO),2026-06-25,129500,위드현 에듀테크,에듀테크
2026,새터초등학교,1인수의,물품,디지털 선도학교 에듀테크 프로그램 구입(아트봉봉스쿨),2026-06-25,2940000,주식회사 모노플로우,에듀테크
2026,제천상업고등학교,1인수의,물품,"[AI선도] 2026. 디지털 선도학교 활용 에듀테크 프로그램(제미나이울트라, 챗지피티 프",2026-06-25,3150000,위드플러스,에듀테크
2026,흥덕고등학교,1인수의,물품,교육용 에듀테크 도구 라이센스(퀴즈앤프로) 구입,2026-06-24,1440000,나이스쿨,에듀테크
2026,흥덕고등학교,1인수의,물품,교육용 에듀테크 도구 라이센스(클리포) 구입,2026-06-24,792000,주식회사 데이터드리븐,에듀테크
2026,감곡초등학교,1인수의,물품,[원인]생성형 AI 및 교육용 에듀테크 소프트웨어 구입비 지출,2026-06-24,5856000,아이티존(주),에듀테크
2026,단양고등학교,1인수의,물품,AI 디지털 활용 선도학교 활동을 위한 에듀테크 구매(인라인AI),2026-06-19,750000,위멘토피아,에듀테크
2026,청주하이텍고등학교,1인수의,용역,2026. AI 선도학교 자격증 및 공무원반 에듀테크(오르조) 구독,2026-06-17,8000000,주식회사 슬링,에듀테크
2026,진천상업고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크 이용료(Chat GPT Plus 1개월 구,2026-06-17,2148000,아이티존(주),에듀테크
2026,서원고등학교,1인수의,물품,(원인) 2026. 디지털 선도학교 에듀테크 구입비 지출,2026-06-16,3268000,(주)누리미디어,에듀테크
2026,옥천고등학교,1인수의,물품,[원인] 교육발전특구(AI 융합교육) 사업을 위한 에듀테크 추가 구입,2026-06-16,2880000,에듀테크나인,에듀테크
2026,청주하이텍고등학교,1인수의,용역,[카드]2026. AI 선도학교 영어 에듀테크(원아워) 구독,2026-06-16,900000,주식회사 제로엑스플로우,에듀테크
2026,오송솔미초등학교,1인수의,물품,[원인] 2026학년도 에듀테크(AI 코스웨어) 구독비 지급(Zep Quiz Basic),2026-06-16,2178000,주식회사 교육의정석,에듀테크
2026,오송솔미초등학교,1인수의,물품,[원인] 2026학년도 에듀테크(AI 코스웨어) 구독비 지급(제미나이프로),2026-06-16,1005000,(주)에듀에이드,에듀테크
2026,오송솔미초등학교,1인수의,물품,[원인] 2026학년도 에듀테크(AI 코스웨어) 구독비 지급(Padlet),2026-06-16,810000,나이스쿨,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크(젭퀴즈) 구입,2026-06-16,385000,올댓스쿨 주식회사,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크(팅크벨) 구입,2026-06-16,252000,스쿨팜(SchoolFarm),에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크(아트봉봉심리) 구입,2026-06-16,252000,위드플러스,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크(아트봉봉) 구입,2026-06-16,252000,케이제이파크시스템,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크(타입캐스트) 구입,2026-06-16,72000,주식회사루트온,에듀테크
2026,영춘초등학교,1인수의,물품,[S2B]맞춤형 학습지원을 위한 에듀테크(코드모스) 구입,2026-06-16,300000,주식회사 로지브라더스,에듀테크
